시도,시군구,읍면동,시간대,혼잡도,z_score,min_max,fixed_level,quantile_level,final_level
경기도,가평군,가평읍,00시,408.375,-0.290629821,0.311725446,보통,여유,여유
경기도,가평군,가평읍,01시,112.4166667,-0.0846620616,0.498606977,보통,보통,보통
경기도,가평군,가평읍,02시,66.20833333,0.218279869,0.677755116,붐빔,붐빔,붐빔
경기도,가평군,가평읍,03시,6.916666667,0.0706539814,0.66102229,붐빔,붐빔,붐빔
경기도,가평군,가평읍,04시,-94.70833333,0.247461049,0.735938242,붐빔,붐빔,붐빔
경기도,가평군,가평읍,05시,-584,0.280977977,0.803533644,붐빔,매우 붐빔,매우 붐빔
경기도,가평군,가평읍,06시,-1013.5,0.185229908,0.44669946,붐빔,보통,보통
경기도,가평군,가평읍,07시,-1643.375,0.173447357,0.364320128,붐빔,보통,보통
경기도,가평군,가평읍,08시,2982.25,-0.011472682,0.231674448,보통,여유,여유
경기도,가평군,가평읍,09시,1542.041667,-0.0289272861,0.16377236,보통,여유,여유
경기도,가평군,가평읍,10시,174.75,-0.0166349201,0.181449156,보통,여유,여유
경기도,가평군,가평읍,11시,-744.125,-0.0380477111,0.336127605,보통,보통,보통
경기도,가평군,가평읍,12시,814.875,0.191213687,0.338639896,붐빔,보통,보통
경기도,가평군,가평읍,13시,1451.166667,0.233757013,0.302143028,붐빔,여유,보통
경기도,가평군,가평읍,14시,532.0416667,0.275195214,0.393404752,붐빔,보통,보통
경기도,가평군,가평읍,15시,-520.2083333,0.123698999,0.758937423,붐빔,매우 붐빔,매우 붐빔
경기도,가평군,가평읍,16시,-2499.666667,-0.0313434116,0.831054727,보통,매우 붐빔,붐빔
경기도,가평군,가평읍,17시,-3211.916667,-0.0126732092,0.841584313,보통,매우 붐빔,붐빔
경기도,가평군,가평읍,18시,-1632,-0.0298267722,0.760439689,보통,매우 붐빔,붐빔
경기도,가평군,가평읍,19시,847.8333333,-0.152869238,0.645166596,보통,붐빔,붐빔
경기도,가평군,가평읍,20시,389.2916667,-0.0186935629,0.743070156,보통,붐빔,붐빔
경기도,가평군,가평읍,21시,282.0416667,0.000967704512,0.770701693,붐빔,매우 붐빔,매우 붐빔
경기도,가평군,가평읍,22시,629.4166667,-0.0459419736,0.740288052,보통,붐빔,붐빔
경기도,가평군,가평읍,23시,788.75,-0.175132398,0.601998935,보통,보통,보통
경기도,가평군,북면,00시,0,-0.408482698,0.305209574,여유,여유,여유
경기도,가평군,북면,01시,0,-0.304340379,0.487437956,여유,보통,보통
경기도,가평군,북면,02시,0,-0.088223277,0.662539619,보통,붐빔,붐빔
경기도,가평군,북면,03시,0,0.0271098947,0.658748099,붐빔,붐빔,붐빔
경기도,가평군,북면,04시,0.208333333,0.302434262,0.739268822,매우 붐빔,붐빔,붐빔
경기도,가평군,북면,05시,-24,0.354801912,0.806902313,매우 붐빔,매우 붐빔,매우 붐빔
경기도,가평군,북면,06시,-26.79166667,0.257502188,0.450947337,붐빔,보통,보통
경기도,가평군,북면,07시,-437.9583333,0.205463562,0.365850832,붐빔,보통,보통
경기도,가평군,북면,08시,-456.0833333,-0.0653054324,0.229222291,보통,여유,여유
경기도,가평군,북면,09시,-91,-0.0660214407,0.162377008,보통,여유,여유
경기도,가평군,북면,10시,-136.5833333,-0.0334811429,0.18075958,보통,여유,여유
경기도,가평군,북면,11시,-357.6666667,-0.00172739024,0.338246785,보통,보통,보통
경기도,가평군,북면,12시,221.875,0.120502525,0.33521207,붐빔,보통,보통
경기도,가평군,북면,13시,-192.0833333,-0.0101278238,0.291918406,보통,여유,여유
