addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,geometry,index_right,BASE_DATE,ADM_CD,ADM_NM
경기도 가평군 가평읍,"북면, 하면",31,0.0,자연,자연관광지,도립공원,126859,12,20030331090000,http://tong.visitkorea.or.kr/cms/resource/74/1591274_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1591274_image3_1.jpg,Type3,127.4145411,37.89850688,6.0,20240808155132,1.0,,연인산도립공원,12408,POINT (127.4145411 37.89850688),3226,20240630,31570350,북면
경기도 가평군 가평읍 가화로 173-16,,31,,음식,음식점,한식,1192688,39,20110131225346,,,,127.5101148,37.83485772,6.0,20250106103232,1.0,031-582-1441,늘봄,12413,POINT (127.5101148 37.83485772),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 가화로 55-18,,31,,음식,음식점,한식,1215489,39,20110224222416,,,,127.5146258,37.82496451,6.0,20250113105629,1.0,031-582-3751,여흥춘천닭갈비,12420,POINT (127.5146258 37.82496451),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 경반안로 223,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2791750,28,20211210194951,http://tong.visitkorea.or.kr/cms/resource/56/2791756_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2791756_image3_1.jpg,Type3,127.4831175,37.82784415,6.0,20241223151954,1.0,,우니메이카 가평점,12415,POINT (127.4831175 37.82784415),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 경반안로 229,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2755625,28,20211012230242,http://tong.visitkorea.or.kr/cms/resource/27/2797227_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2797227_image2_1.jpg,Type3,127.4824592,37.82776081,6.0,20240808132519,1.0,,칼봉산카라반캠핑장,12415,POINT (127.4824592 37.82776081),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 경반안로 454,,31,0.0,자연,자연관광지,계곡,2763773,12,20211027231626,,,,127.4655439,37.83592899,6.0,20250315133054,1.0,,경반계곡,12415,POINT (127.4655439 37.83592899),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 경반안로 454,,31,0.0,자연,자연관광지,자연휴양림,1060129,12,20100715191334,,,,127.4658883,37.83492912,5.0,20240808154908,1.0,,칼봉산자연휴양림,12415,POINT (127.4658883 37.83492912),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 경춘로 1793,,31,,음식,음식점,한식,1210481,39,20110222013428,,,,127.4823518,37.79910303,6.0,20250206171340,1.0,031-582-9809,시골밥상닭갈비,12426,POINT (127.4823518 37.79910303),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 경춘로 2045-65,,31,0.0,인문(문화/예술/역사),산업관광지,기타,1200751,12,20110210194837,,,,127.4980943,37.81585693,6.0,20240926193141,1.0,,가평군목공예영농조합,12424,POINT (127.4980943 37.81585693),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 경춘로 2055,,31,,음식,음식점,한식,1210366,39,20110222004517,,,,127.5016606,37.81540705,6.0,20241210133456,1.0,031-582-7644,무교동 미락낙지,12424,POINT (127.5016606 37.81540705),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 광장로 5,,31,,음식,음식점,한식,1214552,39,20110223230336,,,,127.5111817,37.82620597,6.0,20250110153750,1.0,031-581-7272,가평장원추어탕,12416,POINT (127.5111817 37.82620597),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 금대리,,31,,레포츠,레포츠소개,수상레포츠,3006242,28,20230901121819,http://tong.visitkorea.or.kr/cms/resource/08/3000408_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/3000408_image3_1.jpg,Type3,127.5352199,37.77415413,6.0,20241128110031,1.0,,모비딕수상레저,12428,POINT (127.5352199 37.77415413),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 능모루길 20,,31,,음식,음식점,한식,1208202,39,20110218022628,,,,127.5275232,37.87450343,6.0,20241203152110,1.0,031-581-1150,뚝마루가든,12410,POINT (127.5275232 37.87450343),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 달전리,627-1,31,,레포츠,레포츠소개,수상레포츠,3018553,28,20231006153614,http://tong.visitkorea.or.kr/cms/resource/02/3002102_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/02/3002102_image3_1.JPG,Type3,127.5083184,37.81505443,6.0,20240926195340,1.0,,가평역레져,12422,POINT (127.5083184 37.81505443),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 달전리,,31,,레포츠,육상 레포츠,번지점프,3006200,28,20230901115810,http://tong.visitkorea.or.kr/cms/resource/36/3001836_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/36/3001836_image3_1.JPG,Type3,127.5260004,37.80576695,6.0,20241111161218,1.0,,가평탑랜드(KTOPLAND),12422,POINT (127.5260004 37.80576695),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 달전리,,31,,음식,음식점,카페/전통찻집,3006249,39,20230901133803,http://tong.visitkorea.or.kr/cms/resource/96/3002096_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/96/3002096_image3_1.JPG,Type3,127.5257309,37.80586694,6.0,20241126152218,1.0,,더스틸카페,12422,POINT (127.5257309 37.80586694),2531,20240630,31570110,가평읍
경기도 가평군 가평읍 당목가일길 515,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2764893,28,20211029193808,http://tong.visitkorea.or.kr/cms/resource/28/2797428_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2797428_image2_1.jpg,Type3,127.5658337,37.8726238,6.0,20250116092222,1.0,,별드림캠핑장,12410,POINT (127.5658337 37.8726238),2531,20240630,31570110,가평읍
