addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,ADM_NM
인천광역시 계양구 황어로 66 (갈현동),,2,,인문(문화/예술/역사),휴양관광지,공원,3061205,12,20231100000000.0,http://tong.visitkorea.or.kr/cms/resource/37/3001237_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/3001237_image3_1.jpg,Type3,126.7285768,37.57772071,6,20241100000000.0,2,,갈현체육공원,21002,계양1동
인천광역시 서구 가정로98번길 18,(가좌동),2,0,인문(문화/예술/역사),휴양관광지,공원,2767573,12,20211100000000.0,http://tong.visitkorea.or.kr/cms/resource/10/3395610_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/10/3395610_image3_1.JPG,Type3,126.6736203,37.49323789,6,20250300000000.0,7,,감중공원,22838,가좌1동
인천광역시 강화군 강화읍 해안동로1366번길 18,,2,0,인문(문화/예술/역사),역사관광지,성,1254680,12,20110400000000.0,http://tong.visitkorea.or.kr/cms/resource/71/3364171_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/3364171_image3_1.jpg,Type3,126.517114,37.7335377,6,20250300000000.0,1,,갑곶돈대,23027,강화읍
인천광역시 강화군 강화읍 해안동로1366번길 35,,2,0,인문(문화/예술/역사),역사관광지,종교성지,2768133,12,20211100000000.0,,,,126.5174945,37.73419597,6,20240500000000.0,1,,갑곶순교성지,23027,강화읍
인천광역시 강화군 강화읍 동문로 119,(강화읍),2,0,자연,관광자원,희귀동.식물,1619788,12,20120500000000.0,http://tong.visitkorea.or.kr/cms/resource/80/1579080_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/1579080_image3_1.jpg,Type3,126.4948544,37.75414602,6,20240600000000.0,1,,강화 갑곶리 탱자나무,23022,강화읍
인천광역시 강화군 하점면 부근리,,2,1,인문(문화/예술/역사),역사관광지,유적지/사적지,125565,12,20060300000000.0,http://tong.visitkorea.or.kr/cms/resource/97/3309797_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/3309797_image3_1.jpg,Type3,126.437473,37.77343442,6,20250300000000.0,1,,강화 고인돌 유적 [유네스코 세계유산],23014,하점면
인천광역시 강화군 양도면 강화남로921번길 10-6,,2,0,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,800798,12,20090900000000.0,http://tong.visitkorea.or.kr/cms/resource/51/3351651_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/3351651_image3_1.jpg,Type3,126.416497,37.68030325,6,20250300000000.0,1,,강화 달빛동화마을,23056,양도면
인천광역시 강화군 불은면 덕진로 31-9,,2,0,인문(문화/예술/역사),역사관광지,성,127185,12,20040200000000.0,http://tong.visitkorea.or.kr/cms/resource/91/3307391_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3307391_image3_1.jpg,Type3,126.5256656,37.64920602,6,20250300000000.0,1,,강화 덕진진,23047,불은면
인천광역시 강화군 화도면 해안남로 1481,,2,0,자연,자연관광지,해수욕장,127291,12,20060300000000.0,http://tong.visitkorea.or.kr/cms/resource/87/1577287_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/1577287_image3_1.jpg,Type3,126.4570623,37.59329188,6,20241200000000.0,1,,강화 동막해변,23062,화도면
인천광역시 강화군 화도면 해안남로1114번길 6,,2,0,자연,관광자원,희귀동.식물,128817,12,20060300000000.0,http://tong.visitkorea.or.kr/cms/resource/33/3383833_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/33/3383833_image3_1.JPG,Type3,126.4567228,37.61650306,6,20250300000000.0,1,,강화 사기리 탱자나무,23059,화도면
인천광역시 강화군 서도면 주문도길 256-1,,2,0,인문(문화/예술/역사),역사관광지,종교성지,250326,12,20071000000000.0,,,,126.2442777,37.64368507,6,20240500000000.0,1,,강화 서도 중앙교회,23008,서도면
인천광역시 강화군 강화읍 국화리,,2,0,인문(문화/예술/역사),역사관광지,문,128813,12,20060300000000.0,http://tong.visitkorea.or.kr/cms/resource/94/3351994_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/3351994_image3_1.jpg,Type3,126.4756786,37.74682431,6,20250300000000.0,1,,강화 석수문,23033,강화읍
인천광역시 강화군 선원면 선원사지로 222,,2,0,인문(문화/예술/역사),역사관광지,유적지/사적지,250304,12,20071000000000.0,http://tong.visitkorea.or.kr/cms/resource/15/3352015_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3352015_image3_1.jpg,Type3,126.4924889,37.7188251,6,20250300000000.0,1,,강화 선원사지,23042,선원면
인천광역시 강화군 불은면 중앙로 742-2,,2,0,인문(문화/예술/역사),체험관광지,이색체험,971122,12,20100300000000.0,http://tong.visitkorea.or.kr/cms/resource/51/3351051_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/3351051_image3_1.jpg,Type3,126.4347558,37.70292593,6,20240800000000.0,1,,강화 아르미애월드,23038,불은면
인천광역시 강화군 내가면 황청포구로385번길 8,,2,0,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,128385,12,20050400000000.0,http://tong.visitkorea.or.kr/cms/resource/79/3388779_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/79/3388779_image3_1.JPG,Type3,126.3604122,37.71847559,6,20250300000000.0,1,,강화 용두레마을,23017,내가면
인천광역시 강화군 강화읍 관청길27번길 10,,2,0,인문(문화/예술/역사),체험관광지,이색체험,2684765,12,20201100000000.0,,,,126.4861109,37.7484743,6,20241200000000.0,1,,강화 원도심 스토리워크,23031,강화읍
인천광역시 강화군 하점면 장정리,산 122,2,0,인문(문화/예술/역사),역사관광지,유적지/사적지,128823,12,20060300000000.0,,,,126.4256211,37.78094167,6,20240600000000.0,1,,강화 장정리 석조여래입상,23014,하점면
인천광역시 강화군 하점면 장정리,산 193,2,0,인문(문화/예술/역사),건축/조형물,기념탑/기념비/전망대,128824,12,20060300000000.0,http://tong.visitkorea.or.kr/cms/resource/05/183105_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/183105_image3_1.jpg,Type3,126.4203938,37.77984726,6,20240600000000.0,1,,강화 장정리 오층석탑,23014,하점면
인천광역시 강화군 길상면 전등사로 37-41,,2,0,인문(문화/예술/역사),역사관광지,사찰,125534,12,20040200000000.0,http://tong.visitkorea.or.kr/cms/resource/24/3422224_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/3422224_image3_1.jpg,Type1,126.4829145,37.63169342,6,20250300000000.0,1,,강화 전등사,23050,길상면
인천광역시 강화군 화도면 흥왕리,산 42-1번지,2,1,인문(문화/예술/역사),역사관광지,종교성지,127802,12,20040200000000.0,,,,126.4315613,37.61401957,6,20240600000000.0,1,,강화 참성단,23062,화도면
인천광역시 강화군 길상면 해안동로 58,,2,1,인문(문화/예술/역사),역사관광지,성,128030,12,20040200000000.0,http://tong.visitkorea.or.kr/cms/resource/11/3307811_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3307811_image3_1.jpg,Type3,126.5322544,37.6326164,6,20250300000000.0,1,,강화 초지진,23049,길상면
인천광역시 강화군 강화읍 국화리,산180번지,2,0,인문(문화/예술/역사),역사관광지,유적지/사적지,125566,12,20040200000000.0,,,,126.439307,37.74256583,6,20240500000000.0,1,,강화 홍릉,"417-804,1",강화읍
인천광역시 강화군 교동면 교동동로471번길 6-60,,2,,인문(문화/예술/역사),체험관광지,이색체험,3061177,12,20231100000000.0,http://tong.visitkorea.or.kr/cms/resource/43/3000843_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/3000843_image3_1.jpg,Type3,126.2902251,37.7837223,6,20241100000000.0,1,,강화 화개산 모노레일,23001,교동면
인천광역시 강화군 송해면 전망대로468번길 11,,2,0,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,129291,12,20061000000000.0,http://tong.visitkorea.or.kr/cms/resource/01/3389401_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/01/3389401_image3_1.JPG,Type3,126.4584675,37.80200368,6,20250300000000.0,1,,강화 화문석마을,23013,송해면
인천광역시 강화군 화도면 여차리,,2,0,자연,자연관광지,자연생태관광지,1705415,12,20120800000000.0,,,,126.3830826,37.60893321,6,20240600000000.0,1,,강화갯벌 및 저어새번식지,23061,화도면
인천광역시 강화군 강화읍 강화대로,,2,0,자연,자연관광지,섬,125502,12,20060300000000.0,http://tong.visitkorea.or.kr/cms/resource/41/3352041_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/3352041_image3_1.jpg,Type3,126.4877441,37.74650234,6,20250300000000.0,1,,강화도,23031,강화읍
인천광역시 강화군 길상면 해안남로 331,,2,,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,3061178,12,20231100000000.0,http://tong.visitkorea.or.kr/cms/resource/06/3000906_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/3000906_image3_1.jpg,Type3,126.5178814,37.60775793,6,20241100000000.0,1,,강화도 자연체험농장,23052,길상면
인천광역시 강화군 양도면 해안서로 508,,2,0,자연,자연관광지,자연생태관광지,2755455,12,20211000000000.0,,,,126.4023067,37.67741723,6,20250300000000.0,1,,강화도동부해안도로,23056,양도면
인천광역시 강화군 송해면 강화대로 891,,2,0,인문(문화/예술/역사),산업관광지,기타,2599177,12,20190400000000.0,http://tong.visitkorea.or.kr/cms/resource/28/2672628_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2672628_image3_1.jpg,Type3,126.4457502,37.7678991,6,20250300000000.0,1,,강화도령 화문석 체험장,23019,송해면
인천광역시 강화군 양사면 전망대로 797,(양사면),2,0,인문(문화/예술/역사),건축/조형물,유명건물,631066,12,20081000000000.0,http://tong.visitkorea.or.kr/cms/resource/03/3306503_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/3306503_image3_1.jpg,Type3,126.4329664,37.82632539,6,20250300000000.0,1,,강화도제적봉 평화전망대,23012,양사면
인천광역시 강화군 길상면 장흥로 217,,2,0,인문(문화/예술/역사),체험관광지,이색체험,2612802,12,20190700000000.0,http://tong.visitkorea.or.kr/cms/resource/44/3369644_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/3369644_image3_1.jpg,Type3,126.4981274,37.61717593,6,20250300000000.0,1,,강화루지(강화씨사이드리조트),23052,길상면
인천광역시 강화군 강화읍 국화리 산3번지,"국화리, 신문리, 관청리, 남산리",2,1,인문(문화/예술/역사),역사관광지,성,125564,12,20060300000000.0,http://tong.visitkorea.or.kr/cms/resource/87/3383787_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/87/3383787_image3_1.JPG,Type3,126.483897,37.75604005,6,20250300000000.0,1,,강화산성,"417-800,1",강화읍
인천광역시 강화군 내가면 강화서로416번길 53-37,,2,0,인문(문화/예술/역사),역사관광지,유적지/사적지,2765210,12,20211100000000.0,http://tong.visitkorea.or.kr/cms/resource/24/2780924_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/24/2780924_image3_1.png,Type3,126.4009025,37.73238024,6,20250300000000.0,1,,강화오상리고인돌군,23018,내가면
인천광역시 강화군 강화읍 북문길 42,,2,0,인문(문화/예술/역사),역사관광지,고궁,1614793,12,20120400000000.0,http://tong.visitkorea.or.kr/cms/resource/46/1575646_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/1575646_image3_1.jpg,Type3,126.4854359,37.75088512,6,20240600000000.0,1,,강화유수부동헌,23030,강화읍
인천광역시 강화군 강화읍 북문길 42,,2,0,인문(문화/예술/역사),역사관광지,고궁,1615571,12,20120400000000.0,,,,126.4846998,37.75153503,6,20240600000000.0,1,,강화유수부이방청,23030,강화읍
인천광역시 강화군 강화읍 해안동로1366번길 18,,2,0,인문(문화/예술/역사),역사관광지,성,125567,12,20060300000000.0,http://tong.visitkorea.or.kr/cms/resource/05/3383805_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/05/3383805_image3_1.JPG,Type3,126.5160197,37.7335599,6,20250300000000.0,1,,강화전적지,23027,강화읍
인천광역시 강화군 내가면 해안서로 855,,2,,인문(문화/예술/역사),체험관광지,이색체험,3340348,12,20240700000000.0,http://tong.visitkorea.or.kr/cms/resource/09/3340209_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3340209_image3_1.jpg,Type3,126.3840494,37.70016148,6,20250300000000.0,1,,강화함상공원,23054,내가면
