contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
2733967,12,가회동성당,20210817184103,20250312152659,,,"<a href=""https://gahoe.or.kr"" target=""_blank"" title=""새창 : 가회동성당 공식 홈페이지로 이동"">https://gahoe.or.kr</a>",0.0,http://tong.visitkorea.or.kr/cms/resource/09/3303909_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3303909_image3_1.jpg,Type3,1,23.0,A02,A0201,A02010900,서울특별시 종로구 북촌로 57 (가회동),,03052,126.9846616856,37.5820858828,6.0,"가회동성당이 위치한 북촌 일대는 최초의 선교사 주문모(周文謨, 야고보) 신부가 조선에 밀입국하여 1795년 4월 5일 부활 대축일에 최인길(崔仁吉, 마티아)의 집에서 조선 땅에서의 ‘첫 미사’를 집전한 지역이다. 본당 관할구역은 주문모 신부가 강완숙(姜完淑, 골롬바)의 집에 숨어 지내면서 사목활동을 펼쳤던 지역으로서 한국 교회사에서 매우 중요한 의미가 있다.
정식으로 본당이 된 것은 1949년이고, 이후 1954년에 성전이 완공되었다. 하지만 성전이 낡아 2011년부터 옛 성전을 허물고 현재의 새 성전을 짓게 되었다. 2013년 11월 21일 준공되었고, 준공 3일 후인 24일(그리스도 왕 대축일)에 입주하여 입주 미사를 봉헌하였다. 현재의 동서양 건축양식이 어우러진 새 성전은 과거의 역사를 되살리고자 2014년 4월 20일 부활 대축일에 서울교구장 염수정 추기경님에 의하여 축성되었다.

(출처 : 가회동성당 홈페이지)"
2763807,12,간데메공원,20211027233001,20250401092206,,,,0.0,,,,1,11.0,A02,A0202,A02020700,서울특별시 동대문구 서울시립대로2길 59 (답십리동),,02595,127.0490783005,37.5728353382,6.0,"간데메공원은 서울 동대문구 답십리 천변에 위치한 근린공원이다. 어린이 놀이터와 연못, 팔각정 정자, 장미 넝쿨 터널, 소나무 쉼터, 맨발산책로까지 작지만 아기자기하게 조성된 공원이다. 농구장과 배드민턴장도 있다. 전매청 자리를 공원으로 조성하면서 옛날 답십리 일대 간데메(中山) 자연 부락 마을의 토박이 이름을 따서 간데메공원이라 이름을 정했다고 한다."
3483083,12,간송옛집,20250324132519,20250324132532,,,"<a href=""https://kansonghouse.kr/"" target=""_blank"" title=""새창 : 간송옛집 홈페이지로 이동"">https://kansonghouse.kr/</a>",,http://tong.visitkorea.or.kr/cms/resource/81/3483081_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/3483081_image3_1.jpg,Type3,1,10.0,A02,A0201,A02010400,서울특별시 도봉구 시루봉로 149-18 (방학동),,01316,127.0282025819,37.6649464754,6.0,"간송옛집은 우리 문화재 수호에 큰 공을 세운 간송의 자취가 남아 있는 100여 년 역사의 전통한옥으로 간송 전형필(1906~1962)의 묘소와 어우러져 자리하고 있다. 옛집은 19세기 말 그의 양부 전명기(1870~1919)가 인근에 자리한 농장 및 경기 북부, 황해도에서 오는 소출 관리를 목적으로 지은 것으로, 부친의 사망 이후 한옥 부근에 묘소를 꾸미고 제사나 차례를 지낼 때 필요한 제구를 보관하며, 일기가 좋지 않으면 본 한옥의 대청마루에서 제사를 지내는 등 재실로도 사용되었다. 간송은 양주군의 농장을 방문할 때나 부친의 제사를 모실 때 자주 이곳에 들러 생활하였다. 한국전쟁 당시 대문과 담장 일부 및 건물이 피해를 입었고, 전쟁 이후 종로구 본가 및 보화각의 피해 복구로 이곳의 수리가 지연되다가 1962년 간송이 세상을 떠나고 종로의 본가가 철거되면서 나온 자재를 활용하여 부분적 수리가 이루어졌다."
1116925,12,갈산근린공원,20101026223528,20250113113433,,,"<a href=""http://www.yangcheon.go.kr/"" target=""_blank"" title=""새창: 양천구 "">http://www.yangcheon.go.kr/</a>",0.0,http://tong.visitkorea.or.kr/cms/resource/90/3467490_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/3467490_image3_1.jpg,Type3,1,19.0,A02,A0202,A02020700,서울특별시 양천구 신정동 162-56,,08104,126.8684105358,37.5061176314,6.0,"대체로 산세가 둥근 양천구의 다른 산들과는 달리 갈산은 동쪽 부분이 벼랑처럼 깎인 절경을 뽐낸다. 안양천의 오랜 침식작용으로 산 정상이 칼날처럼 변한 것으로 ‘칼산’이라는 이름으로 불리다가 ‘갈산’으로 순화되었다. 갈산 입구에는 어린이 교통공원이 들어서 있고, 중턱에는 중심광장과 산책로 등의 쉼터 그리고 정상에는 전망대가 있어 양천을 한눈에 감상할 수 있다. 갈산 정상에는 ‘갈산정’과 함께 그 옆으로 우리나라 최초의 ‘대삼각본점’이 설치되어 있다. 이 삼각점은 모든 측량의 기준이 되는 중요한 국가시설물로 1910년 6월 우리나라 최초로 토지조사 사업을 위해 설치한 측량기준점으로 서울시 미래유산으로 지정된 양천구의 중요한 문화유산이다."
294439,12,감로암(서울),20071127005251,20250311172529,,,,0.0,http://tong.visitkorea.or.kr/cms/resource/22/3481922_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/3481922_image3_1.jpg,Type3,1,23.0,A02,A0201,A02010800,서울특별시 종로구 율곡로23길 16 (충신동),,03099,127.0066515383,37.5753815016,6.0,"동대문에서 대학로로 들어가는 율곡로 대로변에 자그마한 사찰이 있다. 그 이름도 특이하게 목마른 중생에게 구제의 감로를 준다는 ‘감로암’이다. 도심 속 삭막한 빌딩 숲 사이에 아직 개발되지 않은 주택가에 정말 도심에서 보기 힘든 자그마한 암자가 있다. 감로암의 역사는 벌써 100여 년이 흘렀다. 대로변에서 주택가로 나 있는 골목길을 따라 들어서면 보이는 곳에 여느 주택과 별반 차이 없이 건물을 지어 불상을 봉안하고 예배하고 있다. 하지만 여법하게 산문을 만들고 단청을 하며, 기와를 엮어 고풍스러운 가람의 멋을 느끼게 한다. 예부터 관음영험도량으로 알려진 감로암은 동네 어르신들, 특히 할머니들의 다담방, 기도처로 알려져 있다. 감로암은 사찰의 이름처럼 누군가 구제받을 수 있고, 고통에서 벗어날 수 있는 감로가 있는 곳이다. 지금은 마시지 못하지만 보타전 아래에는 여전히 그 옛날 감로의 맛을 느끼게 했던 감로가 흐르고 있다."
264570,12,강남,20050623224701,20250327142817,,,"<a href=""https://visitgangnam.net/"" target=""_blank"" title=""새창 : 비짓강남으로 이동"">https://visitgangnam.net</a>",0.0,http://tong.visitkorea.or.kr/cms/resource/08/1984608_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/1984608_image3_1.jpg,Type3,1,1.0,A02,A0203,A02030400,서울특별시 강남구 역삼동,(역삼동),06232,127.0281573537,37.4970465429,6.0,"강남역 주변은 강남 지역에 있어서 교통의 핵심인 곳이다. 강남대로를 중심으로 동쪽으로는 테헤란로가 뻗어 있어 잠실 방향과 이어지며, 서쪽으로는 사당 방면으로 연결된다. 교보타워 사거리에서 좌측으로는 고속터미널과 이어져 노량진 및 서부 서울로 연결되며, 그대로 북쪽으로는 한남대교를 거쳐 강북으로 연결된다. 그리고 남쪽으로는 양재를 거쳐 분당 등의 신도시와 성남시 등 수도권으로 연결된다. 많은 유동인구가 강남역으로 모이는 이유는 강남역 부근이 만남을 위한 약속장소로 적합하기 때문이다. 각종 모임이나 행사 또는 개인적인 만남을 갖기에 좋은 지역적, 상권적 특성을 지니고 있다. 따라서 평일에는 주로 저녁 시간대, 주말의 경우는 낮부터 강남역 10, 11번 출구, 롯데시네마 앞(구, 시티극장), 지오다노 매장 앞 등에서 많은 사람들로 붐비는 것을 흔히 볼 수 있다.

편리한 교통과 다수의 패션 관련 매장, 극장, 대형서점 등 소비를 하기 좋은 이러한 환경이 거리가 먼 지역의 소비자들까지 강남역으로 모이게 하고 있다. 강남구에서는 내·외국인 관광객에게 종합관광서비스는 물론, 강남구의 우수 인프라인 의료와 한류에 대하여 보고, 느끼고, 즐길 수 있는 체험형 관광거점시설인 강남메디컬투어센터를 운영하고 있다. 강남메디컬투어센터는 외국인 의료관광객을 위해 강남의료관광과 관련된 제반 서비스를 종합적으로 제공하는 의료관광 안내센터로, 병원(협력기관) 안내, 통역연결, 텍스프리, 공항픽업, 주변 관광지 안내, 호텔예약 등 의료관광에 관련된 모든 서비스를 제공받을 수 있다. 이외에도 관광 안내 리플릿 등을 통해 여행 정보를 쉽게 얻을 수 있으며 잠시 쉬어갈 수 있는 휴게공간과 무료로 짐을 보관할 수 있는 물품 보관함 등의 편의시설도 이용할 수 있다."
2456536,12,강남 마이스 관광특구,20161214231140,20250108161021,,,,0.0,http://tong.visitkorea.or.kr/cms/resource/13/3464913_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/3464913_image3_1.jpg,Type3,1,1.0,A02,A0202,A02020200,서울특별시 강남구 영동대로 513,(삼성동),06164,127.0591318945,37.5118092746,6.0,"일찍이 무역센터가 자리 잡으며 국제 교류의 메카로 손꼽혀온 강남 삼성동 일대는, 세계에서 모여든 최첨단 비즈니스맨에게 한국을 알리는 창구 역할을 해왔다. 여기에 1990년대부터 강남 특유의 젊은 문화가 유입되면서 무역센터 일대는 비즈니스의 장이자 젊은 문화의 랜드마크라는 복합적인 성격을 띠며 발전했다. 

2014년 싸이의 ‘강남스타일’ 열풍과 더불어 국제교류 비즈니스 산업과 한류문화의 공생을 강화하기 위해 이 일대가 강남 마이스 관광특구로 지정되었다. 강남 마이스 관광특구는 전시와 컨벤션, 세미나, 국제 전시회, 콘퍼런스 등이 이어지는 코엑스를 중심으로 자리 잡고 있고, 백화점, 호텔, 면세점, 도심공항터미널이 유기적으로 모여 있어, 국내뿐만이 아니라 외국인 관광객이 끊이지 않는다. 강남 마이스 관광특구 일대는 한국판 타임스퀘어로 조성되어 최첨단 디스플레이를 활용해 홀로그램과 증강현실을 체험하고, 건물 외벽에 설치된 초대형 LED 전광판에서 표출되는 화려한 미디어아트와 광고를 감상할 수 있다."
127377,12,강동예찬시비,20040227090000,20240430094525,,,"<a href=""https://www.gangdong.go.kr/web/culture/contents/gdc020_050_010"" target=""_blank"" title=""새창 : 강동문화포털 홈페이지로 이동"">https://www.gangdong.go.kr</a>",0.0,,,,1,2.0,A02,A0205,A02050200,서울특별시 강동구 천호동,,05246,127.120700414,37.5426873535,6.0,"강동예찬시비는 서울 정도 600년을 기념하기 위하여, 조선 초기의 서거정이 지은 해 질 무렵의 한강변과 강동지역의 아름다운 전원충경을 노래한 시를 옛 광나루였던 광진교 입구에 한강의 쌍돛배의 모습으로 건립한 것이다. 
일찍이 6,000년 전에 선사시대의 조상들이 살았으며 삼국시대에 국가의 요충지로 중요시되었던 광나루는, 조선시대에 한강의 5대 나루터의 하나로 번성하였으며 한양에서 한양 뱃길을 건너 구천면 길을 지나는 왕의 능 참배길로도 이용되었다. 이처럼 광나루는 역사적 의미가 클 뿐만 아니라 주변 경관이 수려하여 많은 시민, 묵객 등이 즐겨 찾던 곳이다. 따라서 강동예찬시비는 한강을 조망하는 훌륭한 쉼터이자 지방자치시대를 맞아 지역주민들이 고장에 대한 자긍심과 애향심을 간직할 수 있는 한강변의 문화명소이다."
128961,12,강변스파랜드,20060508090000,20250328153350,,,"<a href=""http://ispaland.co.kr/""target=""_blank"" title=""새창:강변스파랜드 홈페이지로 이동"">http://ispaland.co.kr/</a>",0.0,http://tong.visitkorea.or.kr/cms/resource/98/3401698_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/98/3401698_image3_1.JPG,Type3,1,6.0,A02,A0202,A02020400,서울특별시 광진구 구의강변로 45 (구의동),,05049,127.0913227521,37.5349377239,6.0,"강변스파랜드는 지하 1·2층, 9917.4m²(3,000평) 규모의 사우나를 즐길 수 있는 대규모 스파 시설이다. 재래식 불한증막과 찜질방, 사우나 등의 시설 이용과 함께 한 차원 높은 문화공간 체험이 가능한 곳이다. 지하 2층은 사우나, 지하 1층은 공용 찜질방이다. 세련된 인테리어와 유황 성분이 함유된 지하수 사우나 물은 매끄럽고 피부에도 좋다고 한다. 재래식 소나무장작불한증막, 넓은 공용 홀을 비롯하여 숯방, 소금방, 은피라미드방, 여성전용황토불가마, 황토방, 이글루체험방 등 다양한 찜질방과 온탕, 냉탕, 아쿠아워킹, 마사지탕, 습식사우나, 건식사우나 등 각종 사우나시설을 즐길 수 있다. 부대시설로는 모임방, 어린이놀이방, 당구장, 탁구장, 대형게임장, 충전카페, 피부관리실이 있으며, 한식당과 치킨·스낵코너에서 식사와 간단한 요깃거리를 해결할 수 있다."
809490,12,강서습지생태공원,20090924090047,20240612085631,,서울특별시 한강사업본부,"▪ <a href=""https://hangang.seoul.go.kr/www/contents/675.do?mid=482"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://hangang.seoul.go.kr</a>",0.0,,,,1,4.0,A01,A0101,A01010500,서울특별시 강서구 양천로27길 279-23,(방화동),07518,126.8171490732,37.5860879769,6.0,"방화대교 남쪽 끝에서 행주대교 남쪽 끝 사이 한강 둔치에 있는 생태공원이다. 서울시 생태관광명소 30개소 중 하나로 선정된 강서습지생태공원은 담수지·저습지 등을 조성하고 습생·수생식물을 심은 습지 공원으로 2002년 7월에 개원되었다. 
물억새 등 습지식물을 식재하여 새들이 휴식을 취할 수 있도록 하였으며 하중도, 자연관찰로, 습초지 등 습지 생태계를 복원하여 하천의 자연정화 기능을 극대화하고 있다. 습지를 가로질러 두 곳의 탐방로와 조류 조망대 등이 있는데 조류전망대에서는 행주대교와 방화대교, 한강을 한눈에 볼 수 있다. 또한 방화대교 하부, 가족 피크닉장 앞, 행주대교 하부에는 체력단련기구 등을 갖춰 시민의 여가 활동과 스포츠 공간으로의 기능을 하고 있다. 한강을 따라 자전거길과 산책로가 조성되어 있어 다양한 방법으로 강서습지생태공원을 즐길 수 있다.
강서습지생태공원은 생태학습프로그램도 운영하고 있으므로 아이들과 함께 습지생태공원의 프로그램을 참여하여 자연을 공부해 보는 것도 좋다. 생태학습프로그램 참여는 [서울시 공공서비스예약사이트]접속>교육강좌>자연과학>[공원명]으로 검색>프로그램 예약신청 을 하면 된다."
