시도,시군구,읍면동,시간대,혼잡도,z_score,min_max,fixed_level,quantile_level,final_level
경기도,가평군,가평읍,00시,408.375,-0.2906298213064067,0.3117254464745744,보통,여유,여유
경기도,가평군,가평읍,01시,112.41666666666669,-0.0846620616401147,0.4986069771196509,보통,보통,보통
경기도,가평군,가평읍,02시,66.20833333333333,0.2182798688493951,0.6777551157201267,붐빔,붐빔,붐빔
경기도,가평군,가평읍,03시,6.916666666666667,0.0706539813501554,0.6610222898086118,붐빔,붐빔,붐빔
경기도,가평군,가평읍,04시,-94.70833333333331,0.247461049130935,0.7359382424539267,붐빔,붐빔,붐빔
경기도,가평군,가평읍,05시,-584.0,0.2809779773731236,0.8035336438324028,붐빔,매우 붐빔,매우 붐빔
경기도,가평군,가평읍,06시,-1013.5,0.1852299079915724,0.4466994595665052,붐빔,보통,보통
경기도,가평군,가평읍,07시,-1643.375,0.173447356976532,0.3643201277389652,붐빔,보통,보통
경기도,가평군,가평읍,08시,2982.25,-0.0114726819940506,0.2316744483730864,보통,여유,여유
경기도,가평군,가평읍,09시,1542.0416666666667,-0.0289272860892562,0.1637723603286071,보통,여유,여유
경기도,가평군,가평읍,10시,174.75,-0.0166349201432809,0.1814491557356935,보통,여유,여유
경기도,가평군,가평읍,11시,-744.125,-0.0380477111317573,0.3361276050496585,보통,보통,보통
경기도,가평군,가평읍,12시,814.875,0.1912136867111732,0.3386398959705947,붐빔,보통,보통
경기도,가평군,가평읍,13시,1451.1666666666667,0.2337570127293761,0.3021430275124703,붐빔,여유,보통
경기도,가평군,가평읍,14시,532.0416666666666,0.2751952138444453,0.3934047515868363,붐빔,보통,보통
경기도,가평군,가평읍,15시,-520.2083333333334,0.1236989991439848,0.7589374230252001,붐빔,매우 붐빔,매우 붐빔
경기도,가평군,가평읍,16시,-2499.6666666666665,-0.0313434116010124,0.8310547274632166,보통,매우 붐빔,붐빔
경기도,가평군,가평읍,17시,-3211.9166666666665,-0.012673209188621,0.8415843125900376,보통,매우 붐빔,붐빔
경기도,가평군,가평읍,18시,-1632.0,-0.0298267722360681,0.7604396888479835,보통,매우 붐빔,붐빔
경기도,가평군,가평읍,19시,847.8333333333334,-0.1528692379384535,0.6451665961170363,보통,붐빔,붐빔
경기도,가평군,가평읍,20시,389.2916666666667,-0.0186935629187638,0.7430701556603226,보통,붐빔,붐빔
경기도,가평군,가평읍,21시,282.0416666666667,0.0009677045121841,0.7707016931408596,붐빔,매우 붐빔,매우 붐빔
경기도,가평군,가평읍,22시,629.4166666666666,-0.0459419736006907,0.7402880520748392,보통,붐빔,붐빔
경기도,가평군,가평읍,23시,788.75,-0.1751323975072661,0.6019989350096571,보통,보통,보통
경기도,가평군,북면,00시,0.0,-0.4084826976815278,0.3052095736328202,여유,여유,여유
경기도,가평군,북면,01시,0.0,-0.3043403790784344,0.4874379556302549,여유,보통,보통
경기도,가평군,북면,02시,0.0,-0.0882232770097136,0.6625396187029003,보통,붐빔,붐빔
경기도,가평군,북면,03시,0.0,0.027109894650275,0.6587480991327935,붐빔,붐빔,붐빔
경기도,가평군,북면,04시,0.2083333333333333,0.3024342624890985,0.7392688222350559,매우 붐빔,붐빔,붐빔
경기도,가평군,북면,05시,-24.0,0.3548019119107194,0.80690231310277,매우 붐빔,매우 붐빔,매우 붐빔
경기도,가평군,북면,06시,-26.791666666666668,0.2575021879814105,0.4509473371524349,붐빔,보통,보통
경기도,가평군,북면,07시,-437.9583333333333,0.205463561568932,0.3658508323345129,붐빔,보통,보통
경기도,가평군,북면,08시,-456.0833333333333,-0.0653054323861354,0.2292222911433322,보통,여유,여유
경기도,가평군,북면,09시,-91.0,-0.0660214407279755,0.1623770081795768,보통,여유,여유
경기도,가평군,북면,10시,-136.58333333333334,-0.0334811428948565,0.1807595799309446,보통,여유,여유
경기도,가평군,북면,11시,-357.6666666666667,-0.0017273902359925,0.3382467854717673,보통,보통,보통
경기도,가평군,북면,12시,221.875,0.1205025247523978,0.335212070224184,붐빔,보통,보통
경기도,가평군,북면,13시,-192.0833333333333,-0.0101278237701053,0.2919184062885647,보통,여유,여유
경기도,가평군,북면,14시,-25.83333333333333,0.1458542851697641,0.3891384562441051,붐빔,보통,보통
경기도,가평군,북면,15시,54.333333333333336,0.1941677563864149,0.7615830825146832,붐빔,매우 붐빔,매우 붐빔
경기도,가평군,북면,16시,-182.16666666666663,0.1429288449502946,0.8384207475437662,붐빔,매우 붐빔,매우 붐빔
경기도,가평군,북면,17시,413.8333333333333,0.109730511338949,0.8472538060982141,붐빔,매우 붐빔,매우 붐빔
경기도,가평군,북면,18시,127.25,0.0093365295031709,0.7622930738962994,붐빔,매우 붐빔,매우 붐빔
경기도,가평군,북면,19시,146.41666666666666,-0.1781659344542002,0.6441085716386715,보통,붐빔,붐빔
