contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
3482667,12,가금철교 문화공원,20250318170121,20250318170732,,,,,http://tong.visitkorea.or.kr/cms/resource/68/3482668_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/3482668_image3_1.jpg,Type3,31,25,A02,A0202,A02020700,경기도 의정부시 가능동,15-28,11685,127.0455151412,37.7533531645,6,"가금철교 문화공원은 경기도 의정부시 가능동 을지대학병원 맞은편에 위치해 있다. 원래 폐철도 부지(미39보급선로)로 아파트 등 주택밀집지역과 중랑천을 연결하는 위치에 있어 유동인구가 많았지만, 철거 이후 장기간 나대지로 방치되어 도심 경관을 저해하고 있었던 곳에 새롭게 조성된 공원이다. 벚꽃산책길, 운동시설, 메모리얼 공간 등 역사·문화적 가치를 지닌 도심 속 공원녹지 공간으로 재탄생하였다."
129194,12,가나아트파크,20060807090000,20241011153024,,,"<a href=""http://www.artpark.co.kr/"" target=""_blank"" title=""새창: 가나아트파크 홈페이지로 이동"">http://www.artpark.co.kr</a>",0,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image3_1.jpg,Type3,31,18,A02,A0202,A02020600,경기도 양주시 장흥면 권율로 117,,11520,126.9497496852,37.7254519094,6,"가나아트파크(전, 장흥아트파크)는 1984년 국내 최초 사립미술관인 토탈미술관이 그 전신으로서, 2005년 모회사 가나아트센터에서 인수하여 조각공원을 중심으로 설립되었다. 가나아트파크는 어린이를 비롯하여 전 계층을 아우르는 예술복합공간으로 자리매김 하였다. 가나아트파크는 신진·중견·원로 작가들에게는 보다 나은 창작 공간과 전시 기회를 부여하고, 대중에게는 미술을 비롯한 다양한 예술 장르를 수용함으로써, “인간과 자연 그리고 예술이 공존하는 예술복합공간”을 실현하고자 한다.

(출처 : 가나아트파크 홈페이지)"
2777865,12,가남체육공원,20211123182854,20250113102045,,,,0,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,Type3,31,20,A02,A0202,A02020700,경기도 여주시 가남읍 대명산길 98,,12662,127.5349142281,37.2017093544,6,"가남체육공원은 가남면 태평리에 위치한 주민들을 위한 다목적 체육활동 공원이다. 2003년 설립되어 2010년 확장 준공을 마쳤으며 태극기공원과 운동장으로 이루어져 있다. 이곳은 축구장, 족구장, 테니스장을 모두 보유하고 있는 공원으로 축구장은 약 500석의 관람석과 1,200명의 수용이 가능한 인조잔디 축구장이다. 다양한 시설을 갖추고 있어 많은 시민들이 이용하는 공원이다. 또한, 봄이면 공원에 피는 벚꽃들로 인한 절경을 감상할 수 있는 곳으로 알려져 있다."
125462,12,가덕산,20030331090000,20250315120932,,가평군청,,0,http://tong.visitkorea.or.kr/cms/resource/24/1900124_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/1900124_image3_1.jpg,Type3,31,1,A01,A0101,A01010400,경기도 가평군 북면,,"477-840,1",127.5683098007,37.9202321907,6,"경기 제1봉인 화악산(1,468m)에서 동남쪽으로 뻗어 내린 능선 위에 솟아있는 가덕산(858m)은 몽덕산과 북배산의 능선 중간에 자리 잡고 있다. 사계절 아름다운 이곳은 봄에는 온갖 꽃들과 새순이 피어나고, 여름에는 초록색 수풀과 함께 유난히 많은 싸리나무가 보랏빛 꽃을 피워 그 아름다움에 반하게 된다. 가을에는 초록빛 초원 지대가 억새군락을 이뤄 출렁이는 물결을 볼 수 있고 겨울에는 눈 내린 설경이 일품이다. 가덕산 정상에 오르면 서북 방향으로 화악산이 보이고, 남쪽으로는 목동 평야와 북배산과 계관산 너머 삼악산으로 이어지는 능선이 한눈에 들어온다. 동쪽으로는 의암호와 춘천호, 그리고 호반의 도시 춘천시가 보인다."
1553085,12,가루매마을,20120216000046,20250109160817,,,,0,http://tong.visitkorea.or.kr/cms/resource/48/3465848_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/3465848_image3_1.jpg,Type3,31,19,A02,A0203,A02030100,경기도 양평군 지평면 옥현리,1452-7,12544,127.6145192906,37.4519513148,6,"가루매마을은 서울에서 6번 국도를 타면 한 시간 이내에 당도할 수 있는 거리에 위치하고 있으며, 용산에서 출발하는 중앙선 전철이 용문까지 운행되고 있어 접근성이 좋은 입지를 가지고 있다. 가루매마을이 행정구역상 속한 양평군 지평면은 예부터 의향이라 불리어지는 고장으로, 구한말 을미년에 일본의 횡포에 항거, 전국 최초로 의병을 일으켜 전국으로 확산되게 한 곳이다. 가루매마을은 칠보산의 산줄기 사이로 골짜기 4곳에 속고개 마을, 부일마을, 사일마을, 가루매마을이라는 부락마을로 흩어져 분포하고 있다. 칠보산은 현재 폐광되었지만 은, 구리, 주석 등을 생산하는 광산이 있었고, 이에 7가지 보석이 나온다 하여 붙여진 명칭이다. 이 칠보산 산자락 능선 아래 대들보와 서까래 이음같이 마을이 분포되어 있다고 하여 붙여진 이름이 ‘가루메’였다. 그러나 지형적으로 부락마을이 흩어져 있는 데다 가루메의 ‘메’ 자가 ‘메칠 메’ 자여서 단결의 해친다 하여 체험마을을 시작하면서 ‘매화 매’ 자로 바꾸고 가르마처럼 골짜기 마을들이 한 군데로 모이며 단결하자고 지금의 가루매마을로 개명하였다."
125463,12,가리산(포천),20030725090000,20241206153454,,포천시청,,0,,,,31,29,A01,A0101,A01010400,경기도 포천시 이동면 도평리,,11110,127.4080179724,38.0450563404,6,"백운산과 국망봉 사이에 위치한 신로봉에서 서쪽인 이동면 장암리 방면으로 뻗어 내린 능선상에 우뚝 솟은 가리산(774.3m)은 험준한 암릉으로 이루어진 산이다. 산 아래에서 볼 때 정상 주위는 두 개의 암봉으로 되어 있으며 정상에서 서쪽과 북쪽 지역은 민간인 출입금지구역으로 주의를 요하는 곳이다.
정상에서의 사방 조망은 경기 제일의 고봉인 화악산, 명지산에 이어 세 번째로 높은 국망봉(1,168m)과 신로봉으로 이어지는 능선이 파노라마를 이룬다. 도평교를 하산 지점으로 잡을 경우 하산길은 지루함을 느낄 만큼 계곡길의 연속이다. [가리산]이란 명칭은 현재 폐광된 산 입구의 가리광산에서 유래됐다는 설이 전해진다. 가리란 바로 비료의 주성분 가운데 하나인 칼륨의 일본식 발음이다.
가리산은 200대 명산으로 지정되어 있으나 등산 길이 영농조합에서 장뇌삼을 기르는 바람에 접근금지 표시판으로 도배가 되어있을 정도로 들어갈 수 없는 곳이 많다. 또한 사람들의 인적이 드물어서 풀들이 많아 헤치고 나가는데 어려움이 있는 산이긴 하지만, 남쪽으로는 국망봉과 한북정맥이 보이고, 북쪽으로는 백운산 흥룡봉, 향적봉, 도마치봉 등 이 모든 곳들을 한 번에 조망할 수 있는 정상뷰가 아름다운 곳이다."
2745573,12,가막들공원,20210915232109,20250321174112,,,,0,,,,31,24,A02,A0202,A02020700,경기도 의왕시 양지편로 41-2,(청계동),16007,126.9956966089,37.3916915204,6,가막들 공원은 경기도 의왕시 청계동에 위치한 공원이다. 어린이 놀이터는 물론 어린이들이 탈 수 있는 집라인과 상징이라고 할 수 있는 긴 미끄럼틀이 있는 것이 특징이다. 가족과 아이와 함께 나들이 가기에 좋은 공원이다. 또한 쉼터와 산책로가 있으며 곳곳에 운동 기구가 있어 간단한 운동과 휴식을 취할 수 있다.
3023389,12,가실벚꽃길,20231024111746,20240530140345,,,"<a href=""https://www.yongin.go.kr/home/yitour/ytour01/yttour02/yttourmn01_06.jsp"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.yongin.go.kr/home/yitour/ytour01/yttour02/yttourmn01_06.jsp</a>",,,,,31,23,A02,A0203,A02030600,경기도 용인시 처인구 포곡읍 가실리,212-1,17021,127.1923454131,37.2933147810,6,"가실벚꽃길은 에버랜드 옆 호암미술관 일원으로 봄마다 벚꽃의 향연이 펼쳐지는 꽃구경 명소이다. 용인8경 중 제7경으로 손꼽힌다. 
향수산 물줄기가 이어진 삼만육천지(호암저수지) 주변은 용인 최고의 벚꽃나무 군락지다. 호암미술관 입구의 왕벚꽃나무 터널과 함께 호수 주변으로 환상적인 벚꽃나무 숲이 조성돼 있다. 미술관 옆, 한국 정원의 진수를 보여주는 희원(熙園)과 함께 봄철 벚꽃 나들이 명소로 자리매김 했다. 가을에는 주변 단풍나무 어우러져 만추의 풍경도 감상할 수 있다.
마성IC에서 차량으로 약 4분 소요된다. 가실리 일원으로 정확한 주소가 없으나 TMAP 또는 카카오맵에 가실벚꽃길을 검색하면 드라이브 코스로 안내한다. 또는 호암미술관을 목적지로 두고 찾아가면 된다. 별도의 주차장은 마련되어 있지 않다. 호암미술관 관람 시 미술관 내 주차장을 무료로 이용할 수 있다."
2569494,12,가월리 · 주월리 구석기 유적,20181125002330,20250327091509,,,"<a title=""새창으로 열기"" href=""https://tour.paju.go.kr/user/tour/place/BD_tourPlaceInfoView.do?menuCode=55&areaSe=&cntntsSn=98&q_gubun=thema1&q_rowPerPage=30&q_currPage=1&q_sortName=&q_sortOrder=&q_searchKey=ALL&q_searchVal="" target=""_blank"">tour.paju.go.kr</a>",0,http://tong.visitkorea.or.kr/cms/resource/67/2567367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2567367_image3_1.jpg,Type3,31,27,A02,A0201,A02010700,경기도 파주시 적성면 달빛길 345,,10802,126.9042297694,37.9841931357,6,"가월리·주월리 구석기유적[佳月里·舟月里 舊石器遺跡]는 임진강 하안단구 일대에 형성된 구석기시대 유적으로 1988년에 유적이 최초로 발견된 후 5년이 지난 1993년 유적의 일부 지역에 대한 정식 발굴조사가 이루어졌다. 일반적으로 구석기시대란 처음 인류가 등장한 때부터 약 1만년 전까지의 시기를 말한다. 가월리·주월리 구석기유적은 전곡리, 금파리 등 임진 - 한탄강 유역의 다른 유적과 기본적인 성격을 같이한다. 이 곳에서 주로 확인되는 유물은 주먹도끼, 가로날도끼, 찍개, 몸돌, 격지 등 주로 대형석기이며 발굴과정에서는 망치돌, 소형석기, 사용된 석재도 다수 발견되었는데 무엇보다 당시 도구 제작과정을 알 수 있게 하는 자료들이다. 현재 이 지역 화층이 있어 매우 중요하다. 전곡리 유적과 함께 우리나라를 비롯한 동아시아 구석기시대 연구에 중요한 유적으로 평가받는곳이다."
630461,12,가평 아홉마지기마을,20081001023346,20250315122025,,,"<a href=""http://www.9majigi.kr/""target=""_blank"" title=""새창: 아홉마지기마을 "">http://www.9majigi.kr/</a>",0,http://tong.visitkorea.or.kr/cms/resource/21/3346921_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/3346921_image3_1.jpg,Type3,31,1,A02,A0203,A02030100,경기도 가평군 가평읍 용추로 238,,12408,127.4877442849,37.8475697154,6,"아홉마지기마을은 가평 팔경 중 제  3경인 용추구곡이 있는 곳이다. 해발 1,068m의 연인산을 발원지로 형성된 용추구곡은 용이 하늘로 날아오르며 아홉 굽이의 그림 같은 경치를 수놓았다는 데서 유래되었으며, 자연 친화적인 체험으로 자연을 통한 건강한 경험을 해볼 수 있는 곳이다. 건강미 넘치는 마을로 가평 여행지 및 관광지에 가까운 거리에 있어 입지 조건이 좋다. 가평의 아름다운 자연을 벗 삼아 다양한 체험도 운영하고 있어 행복한 웃음과 추억을 만들 수 있다."
