contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
2743845,28,가래골 농원캠핑장2,20210913233017,20240731095635,,,"<a href=""http://garaegol.com/"" target=""_blank"" title=""새창 : 가래골 농원캠핑장2 사이트로 이동"">http://garaegol.com/</a>",,http://tong.visitkorea.or.kr/cms/resource/78/2743978_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2743978_image2_1.jpg,Type3,31,29,A03,A0302,A03021700,경기도 포천시 창수면 포천로2811번길 178,,11134,127.1549676193,37.9941326372,6,"가래골 농원캠핑장2는 가래골 농원 안에 있는 느낌이 다른 캠핑장이다. 캠핑장 내의 조경 시설과 조형물들의 멋진 조화로 아름다운 정원과 미니 동물농장이 있는 캠핑장이다. 경사가 있는 산에 조성된 캠핑장이어서 아름다운 벚나무와 소나무, 영산홍 등이 있는 정원은 보는 것만으로도 가슴이 확 트이는 기분이다. 잣나무 숲과 조경수 아래에 데크 사이트로 되어 있으며, 사이트 간 거리가 있어 이웃 간의 불편함 없이 편안하게 보낼 수 있다. 사이트 구역 내이지만 반려견 동반 입장이 가능하다. 반려견과 산책을 하려면 제한된 사이트 구역 내에서만 가능하다. 미니 동물농장에는 염소, 토끼, 양, 돼지, 공작, 오리, 강아지, 말 등이 있어 자연스레 먹이를 주면서 동물들과 친해지는 자연학습 시간도 갖는다. 캠핑장 내 승마장이 있어 조랑말 타기 체험도 하며, 아이들 놀이 공간인 트램펄린이 있어 마음껏 하늘로 뛰어오르며 즐거워한다. 여름에는 24m의 워터슬라이드 수영장이 있어 물놀이를 할 수 있다."
2743224,28,가래골농원 캠핑장,20210910191713,20240809095333,,,"<a href=""http://www.garaegol.com/index.php/"" target=""_blank"" title=""새창 : 소나무농원 캠핑장 사이트로 이동"">http://www.garaegol.com/index.php/</a>",,http://tong.visitkorea.or.kr/cms/resource/04/2743504_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2743504_image2_1.jpg,Type3,31,29,A03,A0302,A03021700,경기도 포천시 창수면 포천로2811번길 152-70,,11134,127.1571812703,37.9953519801,6,"가래골농원 캠핑장은 가래골농원 안에 있는 느낌이 다른 캠핑장으로 울창한 소나무 그늘이 드리워진 숲 속 사이로 잘 정비되어 있는 캠핑장이다. 깨끗한 데크 사이트로만 이루어진 캠핑장은 아름드리 소나무들이 주는 그늘로 시원하고 쾌적한 캠핑을 할 수 있다. 소나무농원 캠핑장은 펜션이 같이 있는 캠핑장으로 대가족 위주나 단체가 많이 이용하는 캠핑장이다.  잣나무와 소나무가 우거진 조용한 숲길의 산책로와 팔각정 길을 걷고 있노라면, 가슴이 편안해지고 건강해짐을 느낀다. 캠핑장에는 어린이들의 최고 놀이장소인 트램펄린이 있어, 마음껏 소리 지르며 하늘로 뛰어오른다. 여름철에는 25미터 길이의 워터슬라이드 수영장이 있어 즐거운 물놀이를 할 수 있다."
2726655,28,가래골캠핑장,20210722181010,20240805000001,,,"<a href=""http://www.garaegol.com/"" target=""_blank"" title=""새창 : 가래골캠핑장 사이트로 이동"">http://www.garaegol.com/</a>",,http://tong.visitkorea.or.kr/cms/resource/22/2726922_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2726922_image2_1.jpg,Type3,31,29,A03,A0302,A03021700,경기도 포천시 창수면 포천로2811번길 178,경기도 포천시 창수면 추동리 821번지,11134,127.1576007349,37.9933272239,6,"가래골농원 캠핑장은 포천시 창수면에 위치한 종현산 자락에 있다.  총면적 148,000m² 달하는 대지에 가족농원 캠핑장을 모토로 조성되었다. 텃밭과 동물농장이 구비돼 있으며, 펜션과 오토캠핑장으로 구성돼 있는 복합 캠핑장이다. 이곳은 테마별로 조성된 사이트를 가지고 있는데, 잣나무와 소나무가 우거져있는 소나무 사이트와 팔각정, 그리고 제한된 구역이긴 하지만 반려견 동반입장이 가능한 알프스 사이트가 있다. 캠핑장 입구에서부터 눈길을 끄는 인공연못과 조형물들은 잘 가꾸어진 정원 속에서 빛을 발한다. 뿐만 아니라 이곳은 놀거리와 체험거리가 많은 캠핑장이다. 아이들을 위한 미니농장이 있어, 양, 사슴, 토끼, 염소, 말, 공작새 등, 동물들에게 먹이주기 체험도 할 수 있고, 승마장에선 조랑말을 타보는 승마체험도 할 수 있다. 여름이면 25미터 길이의 워터슬라이드 미끄럼틀 수영장에서 짜릿한 물놀이도 즐길 수 있다.  또한 산책로가 잘 조성되어 있어 맑은 공기를 마시며 산책을 즐기기에도 좋다."
2752670,28,가산낚시터 (구 우금저수지),20211005184038,20240708135330,,,,,http://tong.visitkorea.or.kr/cms/resource/15/2752815_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2752815_image2_1.jpg,Type3,31,29,A03,A0303,A03030500,경기도 포천시 가산면 우금길 13-32,,11166,127.2126505779,37.8255311253,6,"약 191,735㎡ (58,000여 평)의 대형 저수지로 1급 수준의 청정수질을 자랑한다. <br> 만수 시에는 수심이 4~5m에 이르고 낚시터에서 왕방산을 바라보는 아름다운 풍광이 특징이다."
2361081,28,가평 레일바이크,20160113005508,20250315131205,,,"공식 홈페이지 <a href=""http://www.gprailpark.com/rail/rail3_01.php""title=""새창: 가평 레일바이크""target=""_blank"">http://www.gprailpark.com/</a><br>공식 인스타그램 <a href=""https://www.instagram.com/railpark/""target=""_blank"" title=""새창 : 강촌레일바이크 이동"">https://www.instagram.com/railpark/</a>",,http://tong.visitkorea.or.kr/cms/resource/45/3096245_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3096245_image3_1.jpg,Type1,31,1,A03,A0302,A03022700,경기도 가평군 가평읍 장터길 14,,12419,127.5158755988,37.8290223933,6,"가평 레일바이크는 가평역을 출발해 북한강 철교, 계절 따라 그 모습을 달리하는 느티나무터널, 영화 <편지>의 촬영지 경강역에서 회차, 가평역으로 돌아오는 왕복코스다. 북한강을 가로지르는 높이 30m의 아찔한 북한강 철교를 따라 페달을 밟다 보면 한적한 시골마을과, 푸른 빛깔의 아름다운 강변이 번갈아가면서 눈앞에 펼쳐진다. 레일바이크는 일반 자전거와 달리 차체가 무거워 안전사고에 유의해야 하는데 승차정원을 초과하여 탑승할 수 없으며 레일바이크 운행 중 급정지, 무단하차, 옆사람과의 장난은 삼가야 한다. 그리고 레일바이크 운행 중 음주나 흡연은 금지되며 하차할 때에는 완전히 정차한 후에 내려야 한다."
2752045,28,가평 사과나무 캠핑장,20210930234246,20240718172421,,,"<a href=""http://cafe.naver.com/appletreecamping/"" target=""_blank"" title=""새창 :  가평 사과나무 캠핑장 사이트로 이동"">http://cafe.naver.com/appletreecamping/</a>",,http://tong.visitkorea.or.kr/cms/resource/69/2752069_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/69/2752069_image2_1.JPG,Type3,31,1,A03,A0302,A03021700,경기도 가평군 상면 한사간길 85-107,,12445,127.3584688745,37.7895490907,6,"서울에서 가까운 경기도 가평군 상면에 위치한 사과나무 캠핑장은 숲이 우거진 작은 동산을 계단식으로 구축한 캠핑장으로, 가족 단위나 2~3팀이 머무르며 청량감을 느끼기에 더없이 좋다.  이곳은 펜션을 지으려던 개인 소유의 동산을 캠핑장으로 조성해 전망이 좋고, 사이트 끝 쪽에 나무 데크를 설치해서 사이트를 편안하게 구축할 수 있다는 장점을 가지고 있다.
1층에  5~6개 정도 사이트를 구축할 수 있고, 2층엔 사무실과 공용 시설이 있는 관리동이 있는데 이곳 역시 나무 데크가 설치되어 있다. 특히 2층 나무 데크 난간에서 아래로 펼쳐지는 전망이 좋아 포토존으로 제격이다.  3층 중앙에는 어린이들을 위한 트램펄린이 설치되어 있고, 최상층 과수원에 오르면 ‘밤나무’라고 부르는 사이트가 나온다.  이곳은 가족들과 함께 혹은 혼자서도 여유로움을 즐길 수 있는 최적의 장소이다. 또한 이곳에는 사과나무, 포도나무 등의 유실수와 함께 계절의 정취를 느낄 수 있는 산책로가 조성되어 있다. 뿐만 아니라 가을에는 들꽃이 지천으로 피어 계절의 정취를 더해 준다. 매점은 따로 없지만 장작은 판매한다."
2792265,28,가평무릉도원캠핑장,20211211023540,20240801102257,,,,,http://tong.visitkorea.or.kr/cms/resource/75/2800075_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/75/2800075_image2_1.JPG,Type3,31,1,A03,A0302,A03021700,경기도 가평군 상면 임초밤안골로 207,,12447,127.3680913236,37.7516009037,6,"경기도 가평에 있는 무릉도원캠핑장은 깨끗한 계곡을 옆에 둔 가족 친화형 캠핑장이다. 마치 신선들이 사는 이상 세계 같다고 하여 이름 붙여질 정도로 사계절 내내 아름다운 자연 풍경을 감상할 수 있다. 캠핑장 주변은 밤에 은하수가 선명하게 보일 정도로 매우 깨끗한 청정 지역으로 산속의 맑은 공기와 산새 소리, 계곡과 폭포 등 자연 속에서 즐길 거리, 볼거리가 많다. 
사이트는 나무 데크와 파쇄석, 오토 캠핑 사이트로 구분되며, 계곡 바로 앞에 있는 계곡 사이트도 마련돼 있다. 또한, 나무데크 사이트는 개별 철제 울타리가 쳐져 있어 다른 이용객들과 겹칠 일 없이 프라이빗하게 캠핑하기 좋다. 부대시설로는 어린이를 위한 실내 놀이방과 개수대, 샤워실, 매점이 있다. 실내 놀이방에는 어린이를 위한 클라이밍 시설도 있어 특히 인기가 좋다. 여름에는 바로 앞 물이 맑고 깨끗한 계곡이 있어 여름철 피서지로 물놀이 하기에도 매우 좋은 곳이다."
131810,28,가평베네스트 골프클럽,20041013090000,20250317203738,,,"<a href=""https://www.benestgolf.com/reve/pc/gp-club-intro/main.do"" target=""_blank"" title=""새창 : 가평베네스트 골프클럽 홈페이지로 이동"">https://www.benestgolf.com</a>",,,,,31,1,A03,A0302,A03020700,경기도 가평군 상면 둔덕말길 232,,12443,127.3070427718,37.7976999779,6,"경기도 가평 개주산 자락에 위치한 가평베네스트는 자연의 품에 안겨 있는 편안함과 여유로움을 느낄 수 있으며, 사계절 자연의 다채로운 변화를 감상할 수 있는 뛰어난 조망을 자랑한다. 하늘에 맞닿은 듯한 산세와 계곡 사이의 구름을 보는 것만으로도 가슴이 탁 트인다. 자연지형을 최대한 살려 섬세한 디자인을 바탕으로 메이플, 버치, 파인 3개의 코스로 구성되어 있으며, 매 홀마다 세계적인 설계자 잭 니클라우스의 열정과 경륜을 느낄 수 있다."
2726702,28,가평보리산캠핑장,20210722225638,20240805091701,,,"<a href=""http://www.boricamp.co.kr/"" target=""_blank"" title=""새창 : 가평보리산캠핑장 사이트로 이동"">http://www.boricamp.co.kr/</a>",,http://tong.visitkorea.or.kr/cms/resource/36/2726836_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2726836_image2_1.jpg,Type3,31,1,A03,A0302,A03021700,경기도 가평군 설악면 한서로 421-259,,12463,127.5373255447,37.6691524828,6,"가평보리산캠핑장은 경기도 가평군 설악면 위곡리에 위치해 있다. 이곳은 보리산 중턱 아래 어린이를 위한 시설을 특화해놓았다. 반려견 입장도 가능하고, 2개의 수영장이 준비되어 있으며 여느 캠핑장과 는 규모가 다른 대형 키즈카페가 마련돼 있어 반려동물과 함께 온 가족이 행복한 시간을 보낼 수 있다. 글램핑은 총 5개 동으로 사이즈는 4m×6m이다. 캠핑장 넓이나 시설에 비해 글램핑 사이트가 적은 편이지만, 사이트 시설 내부는 깨끗하며 필요한 비품들도 잘 갖춰져 있다. 관리실은 본관 관리동에 있으며 이곳엔 공용 부대시설이 잘 관리되어 있다. 특히 개수대와 전자레인지 등을 갖추어져 있어 편리성을 더했다. 통나무 캐빈과 펜션을 운영 중이며, 프랜차이즈 통닭 세트를 사전 예약하여 즐길 수도 있다."
2763418,28,가평썬캠핑,20211027185812,20240812094126,,,"<a href=""http://cafe.naver.com/suncamp/"" target=""_blank"" title=""새창 : 가평썬 캠핑 사이트로 이동"">http://cafe.naver.com/suncamp/</a>",,http://tong.visitkorea.or.kr/cms/resource/51/2797351_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2797351_image2_1.jpg,Type3,31,1,A03,A0302,A03021700,경기도 가평군 상면 청군로 1579-14,,12442,127.3213850811,37.8261330417,6,경기도 가평군 현리에 소재하는 아담한 캠핑장이다. 신생캠핑장으로 깨끗함과 넉넉한 사이트면적을 추구하고 있다. 어린이와 조용하게 캠핑을 즐기시기에 좋은 캠핑장이다.<br>(내용 및 사진 출처 : 해당 홈페이지)
