contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
2714751,14,가원미술관,20210428192402,20250313113941,,,"<a href=""https://www.instagram.com/gallerycafe_gawon/"" target=""_blank"" title=""홈페이지로 이동"">https://www.instagram.com/gallerycafe_gawon/</a>",0,,,,31,3,A02,A0206,A02060500,경기도 과천시 새빛로 24 (문원동),,13826,126.9992398229,37.4240072797,6,"청계산 자락에 위치한 가원미술관은 3개의 전시관, 갤러리카페, 자연스럽고 편안한 정원이 있는 미술관으로 전시뿐아니라 모임, 웨딩, 음악회, 드라마 촬영 등 다양한 행사가 가능한 복합 공간이다. 지하 1층에는 수채화 및 유화 강좌가 열리는 가원아카데미와 아틀리에가 있으며, 1층은 제1전시실과 휴게실, 2층은 제2전시실과 제3전시실, 큐레이터실이 있다. 가원미술관은 가원[佳苑, 아름다운 뜰]이란 이름답게 정원 또한 아름답기로 유명하다."
130611,14,가일미술관,20050628090000,20240611170832,,,,0,,,,31,1,A02,A0206,A02060500,경기도 가평군 청평면 북한강로 1549,,12458,127.3794096039,37.6604061569,6,"북한강을 따라 아름다운 길을 드라이브하다 보면 양수리에서 청평호수로 가는 중간쯤에 가일미술관이 있다.
가평군 최초의 사립 미술관인 가일미술관의 강건국 관장은 건축가이자 인테리어 디자이너로 30년 동안 활동하였으며 2003년 개관하여 2020년 기준 매달 1회 정기음악회를 전시장 또는 아트홀에서 개최하고 있으며, 장르는 대중가요, 재즈, 클래식 등을 다양한 분양의 콘서트를 기획하고 있다. 또한, 음악은 미술과 함께 어린이에게 최고의 인성교육이라는 사고에서 출발하여 지속적으로 개최하고 있으며, 특히 문화 소외지역인 가평의 어린이들을 위해 미술 체험교실도 열고 있다. 
가일미술관의 전시는 대형 미술관과 차별성을 두기 위하여 가족 중심의 전시회로 기획되고 있다.
미술관을 찾아오는 방문객의 하루하루가 [아름다운 날]이 되길 바란다는 뜻의 가일 미술관은 국내외의 예술작품 전시와 실내악, 재즈 등의 여러 가지 공연이 열리는 아트홀, 그리고 맞춤형 콘서트로 대중이 직접 참여할 수 있는 야외 공연장 등 다양한 시설이 마련되어 있는 복합문화공간이다."
130220,14,가평문화예술회관,20060608090000,20240823153354,,,"<a href=""http://www.gpfmc.or.kr"" target=""_blank"" title=""새창 : 가평군시설관리공단 홈페이지로 이동"">http://www.gpfmc.or.kr</a>",0,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image3_1.jpg,Type3,31,1,A02,A0206,A02060600,경기도 가평군 가평읍 문화로 131,,12416,127.5085264086,37.8242478130,6,"가평 문화 예술 회관은 가평군의 유일한 극장으로서 지역주민의 문화적 욕구를 충족시키려 노력하고 있다. 이곳은 지하 3층부터 지상 2층까지 총 면적 4천 801㎡ 규모로 1998년 준공되었다.
주요 시설은 대공연장, 다목적 전시실, 야외 공연장, 영사실, 연습실, 관리 사무실, 전기·기계실 등이 갖춰져 있고 대공연장은 641석, 야외공연장은 동시에 250명을 수용할 수 있다.
공연장 도착은 20분 전, 객석 입장은 10분 전에 해야 하고, 사전 협의 없는 사진촬영은 금지하고 있으니 관람 시 주의해야 한다.
건축물 및 무대 기계장치 정밀 안전 진단 결과 하자 보수가 필요함에 따라 2024년 말까지 리모델링 사업을 추진한다.
특히 가평군은 2025년 경기도 체육대회 및 2026년 경기도 생활체육대축전 가평 유치 시, 문예회관이 보디빌딩 대회장으로 사용될 것에 대비해 신속한 개보수를 진행한다는 방침이다."
129877,14,가평문화원,20071106103359,20250315121025,,,"<a href=""http://www.gpc.or.kr"" target=""_blank"" title=""새창 : 가평문화원 홈페이지로 이동"">http://www.gpc.or.kr</a>",0,http://tong.visitkorea.or.kr/cms/resource/94/3475694_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/94/3475694_image3_1.JPG,Type3,31,1,A02,A0206,A02060700,경기도 가평군 가평읍 문화로 131,,12416,127.5085264086,37.8242478130,6,"가평문화원은 군민과 함께 전통문화를 발굴하고 육성시키며 문화 예술의 기회 제공을 통한 전승 보존을 활성화하고자 설립하였다. 이를 통해 지역 문화에 대한 인식을 새롭게 하고 우리 고유문화를 지속적으로 계승하고 발전시키고자 하는 곳이다.
문화원에서는 문화 예술교육 사업 지원뿐 아니라 다문화 가족에 대한 문화활동을 지원하고 그 밖에 지역 문화 활성화를 위하여 국가 또는 지방자치단체가 위탁하는 사업을 지원하고 있다. 
이곳에서 실시하는 프로그램은 평생교육의  의미를 접목시켜 군민들의 여가를 활용하여 진행하며 잠재적 소질을 계발하고 풍요로운 취미생활을 통하여 일상생활에 활력소를 불어 넣어 질 높은 삶을 운영하는 계기를 마련하고자 한다.
또한 가평지역의 다양한 문화행사를 통하여 가평을 알리고 우리 문화를 알리는데 공헌하고 있다. 문화로 따뜻하고 예술로 빛나게 하는 삶을 지향하는 곳이다."
130915,14,가평현암 농경박물관,20070710090000,20250110150554,,,"<a href=""https://www.gptour.go.kr/tour/tour_view.jsp?menu=tour&submenu=culture&l_code=&paramidx=TL0000063&page=10&pageBlock=3"" target=""_blank"" title=""새창 : 가평군청 공식홈페이지로 이동"">https://www.gptour.go.kr/tour</a>",0,http://tong.visitkorea.or.kr/cms/resource/50/1090950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/1090950_image3_1.jpg,Type3,31,1,A02,A0206,A02060100,경기도 가평군 북면 석장모루길 13,,12407,127.5480323037,37.8792143684,6,"경기도 가평군 북면에 위치한 가평현암 농경박물관은 가속화되는 도시화와 산업화로 인해 사라져가는 농업 문화유산을 보존하기 위해 설립되었다. 가평교육청에서 가평 북중학교, 가평 목동초등학교 교내에 박물관을 설립하여 누구나 쉽게 방문하여 조상들의 지혜와 얼을 배우고 전통문화에 관심을 가질 수 있도록 마련된 곳이다. 농경유물 위주로 2,000여 점이 전시되고 있으며 농기구를 체험할 수도 있다. 
이곳은 5개의 전시관으로 나뉘어 있으며 정해진 시간에 해설사 선생님의 설명을 들을 수 있다. 연출관은 조상들의 일상생활을 엿볼 수 있는 농촌 가옥을 재현한 곳으로 민속자료가 전시되어 있고, 농경사회에 주 가사 도구가 되었던 소품이 전시된 민속관, 지역에 따라 농기구 형태가 어떻게 다른지를 보여주는 밭갈이관, 수확의 기쁨을 누릴 수 있는 추수 연장이 전시된 추수관, 곡식을 가공할 수 있는 민속품이 전시된 가공관으로 나누어져 있다. 책에서만 보던 농경 유물들을 직접 볼 수 있어 아이들의 학습에도 도움이 될 것이다."
2654476,14,갤러리 MOA,20200427225602,20250324162615,,,,0,http://tong.visitkorea.or.kr/cms/resource/60/3383660_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/60/3383660_image3_1.JPG,Type3,31,27,A02,A0206,A02060500,경기도 파주시 탄현면 헤이리마을길 48-37,,10859,126.7002790678,37.7877540724,6,"갤러리 MOA에서는 가능성 있는 신진작가의 성공적 활동을 위하여 엄정한 선별을 통해 매년 1회의 기획전을 진행하고 있으며, 동시에 현대건축의 흐름을 인식할 수 있는 국내외 유명 건축가들을 위한 드로잉 전, 건축 사진전 등을 정기적으로 개최하고 있다. 개관한 이래 지금까지 약 100회 이상의 기획전을 개최했다. 주로 21세기 국내외 예술계를 선도할 실험정신이 강한 작가들을 선별하여 전시 및 세미나를 개최해오고 있는데, 뉴미디어 아트, 설치, 조각, 판화, 드로잉, 사진, 영상, 평면화 등 그 범위가 다양하다.
갤러리 MOA 건물은 2005년 한국건축가 협회상을 받았으며, 영국 유니버스 사에서 출판한 1001개 죽기 전에 꼭 보아야 할 세계 건축물에 선정됨으로써, 건축미학을 감상하기 위해 많은 이들이 찾고 있는 명소가 되고 있다."
2713397,14,갤러리 더 화,20210408232958,20250325140831,,,"<a href=""https://www.instagram.com/gallerythehwa/"" target=""_blank"" title=""갤러리 더 화 인스타그램 페이지로 이동"">www.instagram.com/gallerythehwa</a>",0,http://tong.visitkorea.or.kr/cms/resource/78/3392178_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/3392178_image3_1.jpg,Type3,31,26,A02,A0206,A02060500,경기도 이천시 신둔면 도자예술로99번길 41,,17306,127.3844974951,37.2916490012,,"갤러리 내 작품은 모두 우리나라 최초로 도자와 회화를 접목하여 새로운 표현법을 모색한 김순식 작가의 작품이다. 도자기 소품, 도판 뿐만 아니라 회화, 조각 등 작품 제작을 목적으로 운영되고 있다. 규모가 큰 그림 외에도 시계, 그릇, 머그컵 등 생활 자기로도 제작되어 있어 갤러리를 감상하는 재미가 꽤 쏠쏠하다."
3012455,14,갤러리 위,20230919174218,20240926192954,,,"<a href=""http://www.gallerywe.com/"" target=""_blank"" title=""새창 : 홈페이지로 이동"">http://www.gallerywe.com</a>",,,,,31,23,A02,A0206,A02060300,경기도 용인시 수지구 고기동,,16801,127.0688716267,37.3521640800,6,"갤러리 위는 미금역 부근에 위치한 미술관으로 건축과 예술이 하모니를 이룬 다양한 풍경 속에서 작품 감상과 미술시장의 정보를 제공하는 문화, 예술 비즈니스 센터이다.
2009년 서울시 강남구 청담동에 개관한 이래 국내외 현대미술작가 초대전 등 다양한 전시를 기획하고 국제 행사에 꾸준히 참여해 미술시장 교류와 활성화에 기여해온 갤러리위는 미술 애호가들을 위한 현대미술의 거장 앤디워홀, 데미안허스트 등 세계적인 아티스트들의 작품 전시와 전도유망한 청년작가들을 발굴하고, 해외 아트페어 참가 기회를 제공함으로써 해외 진출을 위한 교두로 역할을 수행 해왔다.
또한, 기업 및 공공기관과 연계하여 생활과 연관된 다양한 공간에서 누구나 부담 없이 편안하게 작품을 감상하며 미술을 체험할 수 있는 기회를 제공하고자 [찾아가는 미술관] 컨셉의 외부 특별 전시 프로젝트 [무브展]를 통하여 미술문화의 대중화에 기여하고 있다.
그러던 갤러리 위가 현대 미술의 새로운 미래와 미술공간 확장을 위해 도심을 벗어나 2020년 용인시 수지구에 갤러리 위 수지(Gallery We SUJI)를 신축 개관하였다.
낙생 저수지, 광교산 전망을 품고 있어 맑은 공기와 바람, 사계적 시시각각 변화하는 자연의 품에서 삶의 여유와 휴식을 만끽할 수 있는 건축과 예술이 하모니를 이룬 문화예술복합공간으로 2개의 각 층에 1관, 2관 총 2개의 갤러리로 구성되어 있으며, 프라이빗하고 쾌적한 관람을 위해 사전예약 후 방문을 원칙으로 운영된다. 입장료에는 음료가 포함되어 전시 관람 후 2층 실내 또는 야외 테라스에서 멋진 경치를 바라보며 힐링할 수 있다.
수인분당선 미금역에서 차량으로 약 8분, 대장 IC에서 약 5분 거리에 위치하고 있다. 인근에 청계산, 광교산, 율동공원, 에버랜드, 한국민속촌, 코코몽에코파크 등이 있다."
749479,14,갤러리박영,20090608221657,20241204203533,,,"<a href=""http://www.gallerybakyoung.com/"" target=""_blank"" title=""새창 : 갤러리박영 홈페이지로 이동"">http://www.gallerybakyoung.com/</a>",0,http://tong.visitkorea.or.kr/cms/resource/10/737810_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/737810_image3_1.jpg,Type3,31,27,A02,A0206,A02060500,경기도 파주시 회동길 37-9,,10881,126.6843189512,37.7058411153,6,"갤러리박영은 2008년에 개관한 파주출판단지 내의 1호 갤러리이다. 박영(博英)의 뜻은 널리 인재를 양성한다는 의미로 창업주의 기업 정신을 담고 있다. 파주출판단지는 책을 기반으로 한 미술, 음악, 건축, 교육, 가구, 엔터테인먼트 등 다양한 문화 콘텐츠가 모인 미술 문화 특구로 형성되었으며, 현재 300명이 넘는 미술인들이 모일 수 있기까지는 작가지원을 위해 개관한 박영사의 갤러리박영의 시작으로 이루어진 결과이기도 하다
작가 레지던스 프로그램이었던 작가 지원 사업은 현재 박영 더 시프트라는 이름으로 매년 공모전을 통해 다양한 장르의 미술인들과의 전시를 이어가고 있으며 박영 작가들의 작품을 소개하고 있다. 
갤러리박영은 30년이 넘는 기간 동안 미술 수집을 통해 인연을 맺어온 한국 대표 작가들과의 기획전, 박영 소장품전 등 알찬 전시를 통해 대중과 소통하며 미술 문화의 저변확대를 위해 노력하고 있는 갤러리이다."
130832,14,경기과천교육도서관,20060510090000,20241113165429,,,"<a href=""https://www.gccity.go.kr/dept/contents.do?mId=0806020200"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.gccity.go.kr</a>",0,,,,31,3,A02,A0206,A02060900,경기도 과천시 도서관길 36,(별양동),13836,126.9965953850,37.4323257114,6,"경기과천교육도서관은 과천 신도시 조성 시기인 1984년 설립되었다. 좋은 환경과 지하철 등 교통이 편리하고 지적, 정보적 욕구가 높은 과천 시민에게 평생교육과 문화향상을 위한 유용한 장소로 사랑받고 있다. 경기도교육청 직속기관으로 운영되는 도서관이다. 전체 연면적 5,779㎡ 지상 3층 건물로 지어졌으며, 1층에는 종합자료실, 어린이실, 2층은 청소년실, 교육자료실, 3층은 강의실, 사무실로 구성되어 있다.
매주 월요일과 법정 공휴일은 휴관한다. 도서관 이용시간은 종합정보자료실의 경우 평일 기준 오전 9시부터 오후 10시까지 운영하며, 1인당 5권까지 14일간 대출 가능하다.  4호선 과천역 5번 출구 바로 앞이다."
