contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
131845,28,갈매기배낚시,20060412090000,20250315145547,032-765-4191,갈매기배낚시,"<a href=""http://www.sehongnet.com"" target=""_blank"" title=""새창 : 갈매기배낚시 홈페이지로 이동"">http://www.sehongnet.com</a>",,http://tong.visitkorea.or.kr/cms/resource/43/3477043_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/43/3477043_image3_1.JPG,Type3,2,5,A03,A0303,A03030600,인천광역시 동구 보세로 6-1,,22501,126.6229917663,37.4876876432,6,"바다낚시의 장점은 우선 민물낚시와 달리 한 곳에서 기다리지 않고 잘 잡히는 곳을 찾아 이동이 가능하기 때문에 기다리는 지루함이 없다는 것이다. 그리고 어장이 무궁무진하기 때문에 시간만 넉넉하다면 원하는 만큼 잡을 수도 있다. 낚시와 더불어 주변경관을 구경할 수 있는 덤도 주어진다.
처음부터 배를 빌려 나가도 좋지만 경험 없는 초보자라면, 무턱대고 배를 빌려 나가기보다는 유람선을 이용하는 것이 낫다. 장거리 우럭낚시의 경우 개인 출조요금을 받으며 대선료와 잡은 고기를 즉석에서 회를 쳐주고 매운탕과 점심식사, 커피 등을 제공하는 금액이 포함되었다.
초보자의 경우, 낚시 지도까지 해준다. 낚시시간은 계절에 따라 조금씩 다르지만 보통 오전 4시30에서 6시 사이이다. 돌아오는 시간은 16시30분이다. 초보자는 낚시 도구를 임대해 주기도 하며 단체로 낚시를 즐기거나 동호회, 친목회 등 인원이 많다면 배를 빌리는 것이 더 저렴하다.
출조지역은 주로 인천 앞바다로서 승봉도, 이작도, 입파도, 삼도, 자월도, 덕적도, 풍도, 영흥도, 울도, 창섬, 승봉도, 무당섬 등 연근해지역이다."
2791838,28,강화 버팔로 캠팜,20211211000345,20230914151402,,,"<a href=""https://camfarm21.modoo.at/"" target=""_blank"" title=""새창 : 캠팜 홈페이지로 이동"">https://camfarm21.modoo.at/</a>",,http://tong.visitkorea.or.kr/cms/resource/38/2791938_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2791938_image2_1.jpg,Type3,2,1,A03,A0302,A03021700,인천광역시 강화군 하점면 고려산로 329-74,,23016,126.4151894562,37.7548167585,6,"강화 버팔로 캠팜은 인천시 강화군 하점면에 자리 잡고 있다. 캠핑장에는 데크, 파쇄석, 잔디로 이루어진 오토캠핑 사이트 35면이 마련되어 있다. 관리소 겸 매점에서는 화로 대를 빌릴 수 있으며, 장작과 식품 등을 살 수 있다. 캠핑장은 서김포 통진IC에서 가까운 거리에 있다. 주변에는 강화전쟁박물관, 갑곶돈대, 교동도가 있어 연계 여행에 나서기 좋다."
1074812,28,강화 자전거 관광코스,20100817023020,20240823133103,032-930-3731,강화군청 건설과 특수지역담당,"<a href=""http://www.ganghwa.go.kr/open_content/tour/trip/bike/all.jsp"" target=""_blank"" title=""새창 : 강화 자전거여행 홈페이지로 이동"">http://www.ganghwa.go.kr</a>",,http://tong.visitkorea.or.kr/cms/resource/96/3350596_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/96/3350596_image3_1.JPG,Type3,2,1,A03,A0302,A03020500,인천광역시 강화군 강화읍,(강화읍),23031,126.4880330099,37.7464579051,6,"역사가 살아 숨 쉬는 강화도를 둘러볼 방법으로 걸어서 둘러볼 수 있는 ‘강화 나들길’과 자전거를 타고 둘러볼 수 있는 강화 자전거 관광코스인 ‘강화 자전거 한바퀴’가 있다. 강화 자전거도로는 교동도 1구간과 석모도 1구간, 강화도 17구간으로 총 19구간으로 이루어져 있다. 구간별로 유명 관광지 및 유적지가 들어있어 아름다운 자연 경치를 즐기며 역사 여행도 함께 할 수 있다."
2733991,28,강화고인돌캠핑장,20210817220628,20241220152823,,,"<a href=""https://cafe.naver.com/ganghwagoindol"" target=""_blank"" title=""새창 : 강화고인돌캠핑장 사이트로 이동"">https://cafe.naver.com/ganghwagoindol</a>",,http://tong.visitkorea.or.kr/cms/resource/94/2734694_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/94/2734694_image2_1.JPG,Type3,2,1,A03,A0302,A03021700,인천광역시 강화군 하점면 장정리 989,,23014,126.4354619918,37.7764812534,6,"강화고인돌 캠핑장은 세계문화유산인 고인돌 유적지를 비롯해 역사박물관과 자연사박물관까지 도보로 방문 가능하다. 자녀와 함께 둘러보기 좋은 곳에 위치하고 있다. 사이트가 넓고 깔끔해 쾌적하게 캠핑하기 좋다. 부대시설로는 샤워실, 화장실, 세척실을 비롯하여 매점 및 수영장이 있으며 캠핑장 앞 낚시터도 무료로 이용할 수 있다."
2754469,28,강화나들 8코스,20211007185529,20241218103652,,,"<a href=""http://www.nadeulgil.org/?c=1/6/69"" target=""_blank"" title=""새창 : 강화나들 8코스사이트로 이동"">http://www.nadeulgil.org/index.php</a>",,,,,2,1,A03,A0302,A03022700,인천광역시 강화군 길상면 해안동로 58,,23049,126.5322738013,37.6326636172,6,"강화나들 8코스(철새 보러 가는 길)는 초지진에서 분오리돈대까지 17.2km이며, 약 4시간 40분이 소요되는 강화도 남단 해안코스다. 상쾌한 바닷바람과 함께 시원하게 펼쳐진 갯벌을 끼고 걷는 것이 특징이다.  8코스는 초지진, 황산도, 선두리 해안경관마을, 후애돈대, 분오리돈대 등 다양한 관광지를 경유하며, 특히 해안을 따라 중간중간 나오는 어판장은 저렴한 가격으로 싱싱한 회를 맛볼 수 있는 바닷가 최고의 관광 명소다.  초지진 > 황산도선착장 > 소황산주차장 > 선암교 > 동검도입구 >선두어시장 > 후애돈대 > 분오리돈대로 이어진다."
2791203,28,강화나들길11코스(석모도바람길),20211210014151,20240710155306,,,"<a href=""https://www.ganghwa.go.kr/open_content/tour/around/intro.jsp"" target=""_blank"" title=""새창 : 강화나들길11코스 사이트로 이동"">https://www.ganghwa.go.kr/open_content/tour/around/intro.jsp</a>",,http://tong.visitkorea.or.kr/cms/resource/61/2791261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2791261_image2_1.jpg,Type3,2,1,A03,A0302,A03022700,인천광역시 강화군 삼산면 삼산북로 14,출발지점,23006,126.3665567310,37.6935536080,6,석모도에서 내려 제방길로 들어서면 시작되는 강화나들길 11코스는 민머루해변을 지나 산으로 오르면 아름다운 서해바다 풍경이 눈앞에 펼쳐진다. 강화나들길 11코스는 ‘바람길’이라고도 불리는데 이름에 걸맞게 바람이 많이 분다. 대부분 바닷길로 걸을 수 있게 되어있으며 바람과 함께 걷다 보면 일출이 예쁜 어류정항을 만날 수 있다. 어류정항은 해변길에서 산길로 바뀌는 지점에 있다. 바다를 끼고 걷는 둑길이 꽤 길며 석모도는 일출과 일몰을 동시에 볼 수 있는 흔치 않은 곳이다. 갯벌과 바다의 풍경이 아름다우며 마지막 코스까지 가는 동안 가게가 없어 물을 미리 준비해 가는 것이 좋다. 화장실도 염전지 부근에 이동식 공중화장 실뿐이라 불편할 수도 있다. 마지막 코스에 있는 우리나라 3대 관음기도도량 보문사에서는 마애석불좌상을 볼 수 있다. 보문사에 도착하면 식당과 편의시설들이 있다. 버스로 선착장으로 돌아갈 수 있다.
2791856,28,강화도 크로바야영장,20211211001208,20240724163527,,,,,http://tong.visitkorea.or.kr/cms/resource/92/2799392_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/92/2799392_image2_1.JPG,Type3,2,1,A03,A0302,A03021700,인천광역시 강화군 길상면 해안남로 497-4,,23051,126.5093213411,37.5968701600,6,"강화도 크로바 야영장은 강화도 초지대교에서 자동차로 10분 거리에 있는 해변 앞 작은 캠핑장이다. 펜션과 캠핑장을 함께 운영하고 있으며, 바다 앞에 있어 아름다운 노을과 갯벌을 감상할 수 있는 좋은 뷰를 갖고 있다, 특히 바다 건너 동검도 너머로 길게 내려앉는 해 질 녘 풍경은 그야말로 예술이다. 사이트는 총 10개로, 전부 파쇄석으로 되어 있다. 사이트 크기는 비교적 넉넉한 편인데, 5m x 8.5m부터 7.6m x 9m까지 다양하게 준비돼 있다. 여름에는 커다란 수영장도 운영하는데 간이 수영장이 아닌 타일을 깔아 제대로 만든 수영장으로, 어른들도 물놀이를 즐길 수 있다. 공용 시설로는 전자레인지와 개수대, 냉장고 등이 있으며, 여름철 물놀이 고개들을 위해 탈수기까지 마련돼 있어 편리하다. 바로 앞 갯벌에서 망둥이와 게도 만나볼 수 있어 캠핑과 더불어 자연 체험을 즐기기 좋은 곳이다."
1516091,28,강화도 황청낚시터,20111229000458,20240621113239,,,"<a href=""http://hwangcheongfish.com"" target=""_blank"" title=""새창 : 황청낚시터 홈페이지로 이동"">http://hwangcheongfish.com</a>",,http://tong.visitkorea.or.kr/cms/resource/76/3042376_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/3042376_image3_1.jpg,Type3,2,1,A03,A0303,A03030500,인천광역시 강화군 내가면 황청포구로443번길 82,,23017,126.3647035503,37.7141928345,6,"황청포구로에 위치한 황청낚시터는 1993년에 축조된 계곡형 저수지로서 주변이 깊은 산과 오래된 노송들로 이루어져 있어 아늑하고 조용하다. 수면적은 약 2만 3천여 평이고, 평균수심은 2.5m~4m이며 최고수심은 15m가 넘으며 넓은 바다가 보이는 전망 좋은 낚시터이다. 준공 후 한 번도 바닥을 드러내지 않았을 정도로 수량이 풍부하며 공기가 맑아 여름에는 반딧불이도 볼 수 있다. 
주로 잡히는 어종은 붕어, 잉어, 향어, 맑은 물에서만 자라는 동자개며, 겨울철 대표 어종은 빙어이다. 상류에는 개울물이 맑아 아직 가재가 살 정도다. 수상 좌대, 개인 좌대 등이 있으며 차양을 설치할 수 있어 날씨와 상관없이 낚시할 수 있고 가족이 머물기 좋은 방갈로와 민박 형태의 콘도를 함께 운영하고 있다."
2753104,28,강화도교동아일랜드카라반,20211006003200,20240613132324,,,"<a href=""https://01099055858.modoo.at/"" target=""_blank"" title=""새창 : 강화도교동아일랜드카라반 사이트로 이동"">https://01099055858.modoo.at/</a>",,http://tong.visitkorea.or.kr/cms/resource/68/2753368_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/68/2753368_image2_1.JPG,Type3,2,1,A03,A0302,A03021700,인천광역시 강화군 교동면 교동남로 275,,23001,126.3007605687,37.7727820987,6,"교통아일랜드는 인천 강화도에서 한 번 더 다리를 건너 들어가는 교동도에 위치한 카라반 캠핑장이다. 쉽게 접하기 어려운 미국 전통 카라반 모델들인 시에라, 쿠거, 에어스트림, 원더러, 알르마스케이가 종류별로 준비되어 있다. 카라반 연식은 있지만, 청결하게 관리되고 있고, 독특한 외관과 내부 구조 종종 드라마 촬영이 이뤄지기도 한다. 주변은 울창한 숲과 산책로로 꾸며져 있고, 단 5개의 카라반이 있어 프라이빗한 느낌으로 한적하게 캠핑을 즐길 수 있다. 아이들과 방문하기에는 놀거리가 다소 부족하지만, 농촌체험 등의 프로그램을 별도로 운영하고 있어 예약 시 문의하면 참가할 수 있다."
2734000,28,강화도산들애캠핑수영장,20210817221903,20240719112311,,,"<a href=""https://sandeurae.modoo.at/"" target=""_blank"" title=""새창 : 강화도산들애캠핑수영장 사이트로 이동"">https://sandeurae.modoo.at/</a>",,http://tong.visitkorea.or.kr/cms/resource/00/2734700_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/00/2734700_image2_1.JPG,Type3,2,1,A03,A0302,A03021700,인천광역시 강화군 강화읍 고비고개로 171,,23028,126.4602273801,37.7409441693,6,"강화도산들애캠핑수영장은 인천광역시 강화도 국화리에 위치한 캠핑장으로 계절별로 다양한 체험을 운영한다. 이곳은 130평 정도의 대형 수영장을 구비하여 여름에는 물놀이를 즐기고, 겨울에는 얼음썰매장으로 운영하며 항시 안전요원이 대기하고 있다. 수영장 외에도 대형 에어바운스와 각종 장난감이 있어 아이들과 가족단위로 여행하기 좋은 곳이다. 사이트 사이로 메타세쿼이아가 늘어서 있어 정취가 좋고 필요한 물품을 구매할 수 있는 편의시설을 갖추고 있다."
