contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
597467,39,가덕도횟집,20080729194018,20241219144037,032-882-8505,가덕도횟집,,,http://tong.visitkorea.or.kr/cms/resource/74/1884774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1884774_image3_1.jpg,Type3,2,10,A05,A0502,A05020100,인천광역시 중구 연안부두로 61,,22348,126.5998642696,37.4534884332,6,"넓은 실내공간을 자랑하는 가덕도횟집에서는 신선한 생선만을 취급한다. 
항상 싱싱하고 푸짐한 활어회와 얼큰하고 시원한 매운탕을 맛볼 수 있다. 인천 연안부두 인근 가성비 횟집으로도 입소문이 나있다. 모둠회가 대표메뉴이며 이 외에도 다양한 구성의 코스요리와 세트메뉴, 점심특선 메뉴를 맛볼 수 있다."
2876098,39,가든파티 계양점,20221026142231,20241212164909,,,"<a href=""http://borigolfood.com""target=""_blank"" title=""새창 : 가든파티 사이트로 이동"">http://borigolfood.com</a>",,http://tong.visitkorea.or.kr/cms/resource/96/2876096_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2876096_image3_1.jpg,Type3,2,2,A05,A0502,A05020100,인천광역시 계양구 경명대로 977,,21042,126.7155150810,37.5441604907,6,"가든파티 계양점은 계양산 입구 계양문화회관, 계양산장미원 인근에 있다. 버스나 지하철 등의 대중교통 이용도 편리하고 주차장이 넓어 자가용 이용도 편리하다. 매장 내부는 넓고 깔끔하며 테이블도 많다. 넓은 개별 룸도 있어 상견례, 돌잔치 등 가족 모임 하기에 좋아 이용객이 많다. 주말에는 예약 후 이용하면 더 편리하다. 대표 메뉴로는 돼지양념구이, 한돈양념구이, 가든양념갈비, 왕양념갈비, 명품생갈비, 양념구이정식 등이 있다. 이외에도 육회비빔밥, 갈비탕, 코다리냉면 등이 있다. 인근에 계양산산림욕장, 계양공원, 용종음식문화시범거리, 인천나비공원 등이 있어 산책하며 둘러보기 좋다."
2768130,39,가리비칼국수,20211104193854,20250117102317,,,,,,,,2,4,A05,A0502,A05020100,인천광역시 남동구 오봉동로4번길 9,(도림동),21656,126.7298895439,37.4168005458,6,가리비칼국수는 인천 남동구 오봉동로에 위치한 가리비 요리 전문점이다. 가리비회와 가리비찜의 단품메뉴와 칼국수까지 세 종류를 모두 맛볼 수 있는 가리비코스가 있다. 가리비 요리를 종류별로 먹어 볼 수 있는 가리비 코스가 인기다. 칼국수에는 가리비와 바지락도 푸짐하게 들어 있다.
135696,39,가마솥손두부,20070613090000,20240227103130,032-426-7270,가마솥손두부,,,http://tong.visitkorea.or.kr/cms/resource/54/1873754_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/1873754_image3_1.jpg,Type3,2,3,A05,A0502,A05020100,인천광역시 미추홀구 소성로326번길 4,,22238,126.6832460000,37.4373973287,6,"가마솥손두부는 문학동에 위치한 두부 요리 전문점으로 문학우체국, 인천문학경기장 등과 인접해 있다. 자연주의를 지향하는 웰빙식당으로 순수 국산콩과 매일 새벽 동해에서 올라오는 바다 심층수로 아침마다 두부를 만든다. 각종 식물들로 꾸민 정원이 있고 가게 곳곳을 골동품으로 장식했다. 대표메뉴는 두부집정식과 두부삼겹보쌈이다. 담백한 손두부에 어떤 음식을 곁들여도 맛있는 한상이 된다. 두부삼겹보쌈은 제주 흑돼지를 사용한다."
600680,39,가보,20080801014818,20241219142627,032-512-8552,가보,,,http://tong.visitkorea.or.kr/cms/resource/71/1884871_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/1884871_image3_1.jpg,Type3,2,6,A05,A0502,A05020400,인천광역시 부평구 평천로 394 (삼산동),6층,21323,126.7340585846,37.5172806109,6,가보는 인천 부평구에 위치한 중식 전문점이다. 삼산 신도시에 접근한 빌딩의 최고층인 6층에 자리하여 스카이라운지로 눈앞에 계양산이 펼쳐지는 경치를 자랑한다. 20년이 훌쩍 넘는 경력을 자랑하는 화교 출신 주방장과 중국 산동성 장성호텔 1급 요리사 2명이 직접 요리를 하기 때문에 중국 현지 요리의 진수를 맛볼 수 있다.
2835371,39,가연식당,20220810100645,20240109155511,,,,,http://tong.visitkorea.or.kr/cms/resource/68/2835368_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2835368_image3_1.jpg,Type3,2,5,A05,A0502,A05020100,인천광역시 동구 어촌로 7,,22506,126.6209365514,37.4821771367,6,"가연식당은 인천역 2번 출구에서 10분 걸으면 나오는 곳이다. 이곳은  1996년 문을 연 이후로 계속 가족이 함께 운영하고 있다. 대표 메뉴는 흑미, 조, 수수 등 건강에 좋은 곡물이 들어간 영양돌솥밥과 매콤한 양념의 쭈꾸미볶음이다. 반찬 중에서 바지락 쌈장이 유명하다. 콩가루, 콩비지, 바지락을 넣어 만든 쌈장으로 상표등록까지 마친 특별한 반찬이다."
2900016,39,가온칼국수 송도본점,20221107142328,20240228155455,,,,,http://tong.visitkorea.or.kr/cms/resource/08/2900008_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2900008_image3_1.jpg,Type3,2,8,A05,A0502,A05020100,인천광역시 연수구 송도과학로28번길 8 더샵 송도트리플타워 East,SM1 225호,21984,126.6606773560,37.3825144152,6,"가온칼국수 송도본점은 인천지하철 1호선 테크노파크역 2번 출구 송도야외스케이트장 앞 상가에 있는 한식당이다. 매장이 있는 상가 건물에 자체 주차장이 있어 방문 시 자동차로 이용하기 편리하다. 매장 내부는 밖이 보이는 통창에 테이블 간격이 넓어 여유 있는 식사를 할 수 있다. 인원별 다양한 테이블 구성이 가능해 단체 행사나 각종 모임에도 적당하다. 메인 메뉴로는 바지락 칼국수, 백합 칼국수, 가리비칼국수, 해물칼국수가 있다. 칼국수는 직접 손으로 빚어 뽑아낸 수타면에 서해 해산물로 우려낸 육수와의 탁월한 조합 수타면으로 매력적이다."
2844590,39,가현산 잔치국수,20220826145551,20240118140115,,,"<a href=""https://www.instagram.com/noodle_gahyeonsan/""target=""_blank"" title=""새창 : 가현산잔치국수 사이트로 이동"">https://www.instagram.com/noodle_gahyeonsan/</a>",,http://tong.visitkorea.or.kr/cms/resource/81/2844581_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2844581_image3_1.jpg,Type3,2,7,A05,A0502,A05020100,인천광역시 서구 대곡로368번길 25,,22600,126.6573818608,37.6305882921,6,"가현산 잔치국수는 인천광역시 서구 대곡동 가현산 인근에 있는 국수 전문점으로 복잡한 도시를 벗어나 푸짐한 국수를 맛볼 수 있는 식당이다. 주차장이 넉넉한 곳으로 2층 가정집을 식당으로 꾸며 마치 시골집에 온 것처럼 느껴진다. 대표 메뉴는 잔치국수, 비빔국수, 열무국수다. 밑반찬은 단무지, 김치 등이 제공된다. 그 외 메뉴로 도토리묵무침, 해물파전, 토종닭볶음탕, 비빔밥, 온묵밥, 냉묵밥 등이 있다. 식사 후 커피를 마실 수 있는 테이블이 식당 밖에 준비돼 있다. 농림축산식품부 제공 안심식당으로 지정된 곳으로 가현산, 세자봉, 도라지골산 등이 가까이 있어 트레킹이나 등산 후 방문하기 좋다."
2853680,39,가회동샤브칼국수 송도컨벤시아점,20220914170547,20240620095304,,,,,http://tong.visitkorea.or.kr/cms/resource/74/2853674_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2853674_image3_1.jpg,Type3,2,8,A05,A0502,A05020100,인천광역시 연수구 센트럴로 123 송도컨벤시아,"1층 M23,24호",21998,126.6466173186,37.3900244069,6,"가회동샤브칼국수 송도컨벤시아점은 인천 연수구 송도국제도시 인천지하철 1호선 인천대입구역 4번 출구 송도컨벤시아 내부에 있다. 이곳은 오픈한 지 13년 된 칼국수 맛집이다. 이곳의 대표 메뉴는 소고기미나리샤브, 소고기버섯샤브다. 소고기미나리샤브는 소고기 90g, 버섯, 미나리, 칼국수, 볶음밥으로 구성되어 있다. 이외 메뉴는 바지락칼국수, 수제고기만두, 국산서리태콩국수, 한우 양지떡만두국이 있다. 가족 단위 손님을 위한 어린이 놀이방이 마련되어 있다. 농림축산식품부에서 인정한 안심식당이다. 식당 인근에는 호텔, 송도센트럴파크, 대형 쇼핑센터 등이 있어 연계 관광할 수 있다.
※반려동물 동반 불가"
2754451,39,강만장,20211007184037,20240801103440,,,,,,,,2,1,A05,A0502,A05020900,인천광역시 강화군 교동면 대룡안길54번길 24,,23002,126.2807593780,37.7817918077,6,"강만장은 인천 교동에 위치한 오토바이 라이더들을 위한 이색카페이다. 이곳의 대표는 교동도 토박이로, 어렸을 적 농협 창고가 있던 자리에 좋아하는 바이크 라이더를 위한 카페를 열었다고 하며, 카페 이름은 양평 만남의 광장을 모티브로 지었다고 한다. 바이크 관련 소품들과 캠핑 용품들로 인테리어를 장식하고 있는데 분위기가 독특하여 사진 찍기 좋은 장소로도 인기다. 음료 외에도 생들기름 꼬막 비빔밥, 생들기름 육회 비빔밥, 생들기름 불고기 비빔밥을 맛볼 수 있다. 또한 국내산 들깨를 볶지 않고 냉압착방식으로 착유한 신선한 생들기름을 구입할 수 있다."
2703381,39,강선생막국수,20210111185939,20250106093016,032-565-9263,,,,,,,2,7,A05,A0502,A05020100,인천광역시 서구 담지로86번길5-41,(청라동),22733,126.6622506718,37.5379602685,6,"강 선생막국수는 인천광역시 서구 청라에 위치한 100% 순 메밀 요리전문점이다. 100% 순 메밀을 사용하는 자가제면이 특징이며 면이 들어가는 모든 메뉴에 순 메밀이 들어간다. 물막국수가 대표메뉴이자 인기메뉴이며, 비빔막국수, 들기름막국수, 평양냉면, 손만두 등을 맛볼 수 있다. ‘셰프를 찾아라’ 인천시 요리경연대회 은상 수상의 이력을 가지고 있으며 <생방송투데이>에 방송이 될 정도의 맛집으로 인정받은 곳이다."
2891607,39,강화국수,20221031145520,20250114130215,,,,,http://tong.visitkorea.or.kr/cms/resource/18/2878018_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2878018_image3_1.jpg,Type3,2,1,A05,A0502,A05020100,인천광역시 강화군 동문안길 12-1 삼성양복점,,23031,126.4863053709,37.7471633481,6,"강화국수는 인천 강화군청과 강화경찰서 유아공원 인근에 있다. 매장이 도로에 있어 전용 주차장은 없다. 자동차를 이용해 방문할 경우 주차는 인근 공영주차장에 할 수 있다. 이곳은 50년 전통의 국수 전문점으로 비빔국수와 잔치국수가 유명하다. 방송사 유명 맛집 소개 프로그램에서도 줄 서도 아깝지 않을 곳으로 선정되었다. 기본적인 웨이팅이 있을 수 있다. 매장 내부는 4인 원목 테이블이 다수이고 인테리어를 리뉴얼해서 깔끔하다. 유명인 사인지도 많이 볼 수 있다. 대표 메뉴로는 비빔국수, 열무 비빔국수, 냉국수가 있다. 식당 인근에는 성공회강화성당, 용흥궁, 관청공원, 견자산, 강화미술관 등이 있어 식사 전후 연계 관광을 하기에 좋다."
2807606,39,강화꽃게집,20220218143924,20240122134115,,,,,,,,2,1,A05,A0502,A05020100,인천광역시 강화군 중앙로 1222,,23054,126.3885210812,37.7044666089,6,아름다운 외포리에 위치한 강화꽃게집은 직접 지은 농산물로 밥과 찬을 만든다. 검정콩을 직접 갈아 만든 손두부와 직접 쑨 고구마묵은 사철 제공되며 그 외에도 제철에 나는 해산물 등을 상에 올리고 있다.
