contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
2986679,15,가족의 달 어린이 축제,20230427173710,20240531153501,032-777-9891,인천 중구청,"<a href=""https://ijcf.or.kr/load.asp?subPage=410.View&category=3&idx=157"" target=""_blank"" title=""새창 : 가족의 달 어린이 축제 홈페이지 이동"">ijcf.or.kr</a>",,http://tong.visitkorea.or.kr/cms/resource/08/3304508_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/3304508_image3_1.jpg,Type3,2,10,A02,A0207,A02070200,인천광역시 중구 구읍로 63 (중산동),,22410,126.5777264136,37.4891227900,6,"가족의 달을 맞이 마련된 이번 ‘어린이 축제’에서는 ‘출동! EBS 지구 구조대’, ‘어린이 뮤지컬’ 등 어린이와 가족이 함께 할 수 있는 다양한 공연과 체험 프로그램이 펼쳐질 예정이다. <br>
특히 재단과 EBS가 공동 기획한 ‘출동! EBS 지구 구조대’는 야외 체험공간에서 멸종 위기 동물에 대해 학습하고 상상의 생명체를 만들어 보는 등의 복합 교육 활동이다. 재단 공식 누리집을 통해 사전 예약 후 체험할 수 있다. 또한 다면 공간 체험(메타버스) 및 AR 콘텐츠 등 다양한 실감 콘텐츠를 보유한 이동형 체험 공간인 ‘E-스쿨버스(School-Verse)’가 함께 운영될 예정이다. 아울러 ‘행복한 가정을 만드는 부모의 소통 스킬’을 주제로 한 ‘교양강의’, 부모님의 소중함을 일깨워주는 ‘어린이 뮤지컬’, 아이들의 경제 관념 확립을 위한 ‘어린이 물물교환’도 함께 열린다. <br>
이 외에도 ‘인천 어린이 공연예술축제(아시테지 in 인천)’와 협업한 서커스 및 목각인형 콘서트는 물론, 영종역사관 주관의 ‘제2회 역사 그림 그리기대회’도 같은 날 진행될 예정이다."
3474530,15,강화 길상 빙어 축제,20250211102130,20250319185442,032-937-6497,강화길상낚시터,,,http://tong.visitkorea.or.kr/cms/resource/28/3474528_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/3474528_image3_1.jpg,Type3,2,1,A02,A0207,A02070200,인천광역시 강화군 길상면 초지리,453 강화 길상낚시터,23049,126.5210719481,37.6362713328,6,"강화 길상 빙어축제는 수도권에서 가까워 접근성이 뛰어나며, 깨끗한 자연 속에서 특별한 경험을 선사한다. 사랑하는 친구, 연인, 가족과 함께 겨울의 매력을 만끽할 수 있는 이곳은 편안한 휴게시설과 안전한 시설을 갖추고 있어 더욱 즐겁고 안심하며 축제를 즐길 수 있다. 다양한 먹거리를 제공해 축제의 즐거움을 더하며, 초보자도 쉽게 따라 할 수 있는 강습으로 더욱 즐겁고 기억에 남는 시간이 될 것이다."
2643189,15,강화 양오 빙어축제,20200109003349,20250316124246,010-4075-5851,양오낚시터,,,http://tong.visitkorea.or.kr/cms/resource/08/3051908_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/3051908_image3_1.jpg,Type3,2,1,A02,A0207,A02070200,인천광역시 강화군 송해면 전망대로423번길 161,양오낚시터,23013,126.4438577810,37.8001841894,6,"겨울 아이들과 함께 즐길수있는 추억의 얼음썰매와 손쉽게 잡을수있는 빙어낚시,빙어뜰채체험이 준비되어 있습니다.다양한 먹거리와 빙어튀김까지 준비되어 있다."
2938676,15,강화도왕방마을얼음축제,20221222175030,20250131101101,010-7617-6606,인산리내수면어업계,"<a href=""http://www.insanry.com/"" target=""_blank"" title=""새창 : 강화도왕방마을겨울축제"">http://www.insanry.com/</a>",,http://tong.visitkorea.or.kr/cms/resource/88/3470688_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/3470688_image3_1.jpg,Type3,2,1,A02,A0207,A02070200,인천광역시 강화군 중앙로787번길 8-1 관리소매점,강화도송어빙어축제장 내,23055,126.4312617608,37.6989596685,6,"은백의 겨울 이곳 왕방마을 인산낚시터에서 제11회 강화도 송어.빙어축제를 개최한다. 주변의 수려한 경관과 산책로, 얼음썰매 등 여러 즐길거리와 이벤트가 준비되어있다. 또한 낚시 체험과 더불어 빙어튀김,분식류 등 맛있는 먹거리가 풍성하게 준비되어있다."
3388431,15,개관 17주년 기념 ESG 사회공헌 행사,20241015174601,20241016174612,032-590-7000,국립생물자원관,,,http://tong.visitkorea.or.kr/cms/resource/28/3387828_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/3387828_image3_1.jpg,Type3,2,7,A02,A0208,A02081300,인천광역시 서구 환경로 42 (오류동),,22689,126.6368245602,37.5614876375,6,"국립생물자원관 개관 17주년을 맞아 야간 탐사, 공연, 참여 이벤트 등을 통해 생물다양성과 지역사회 가치를 실현할 수 있는 ESG 사회공헌 대국민 행사이다. 이벤트부터 공연까지 준비되어 있어 많은 참여와 관심 바란다. 자연관은 살아있다 프로그램은 선착순 마감으로 진행된다."
3377186,15,계양 문화유산 야행,20240930103656,20240930103713,032-450-5753,인천광역시 계양구,"<a href=""https://www.igycc.or.kr/"" target=""_blank"" title=""새창 : 계양 문화유산 야행 홈페이지 이동"">www.igycc.or.kr</a>",,http://tong.visitkorea.or.kr/cms/resource/32/3377132_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/3377132_image3_1.jpg,Type1,2,2,A02,A0207,A02070200,인천광역시 계양구 계양산로 101 (계산동),,21041,126.7270444752,37.5480713510,6,"2024년 10월 보름달이 뜨는 날, 계양구의 첫 문화유산 야행인 “활활” 계양 문화유산 야행이 열린다. 삼국시대부터 중요한 군사적 요충지였던 계양산성을 필두로 유생들이 활을 통해 정신을 수련했던 부평향교, 그리고 정조대왕이 들려 활을 쏜 부평도호부관아 까지 세 개의 계양 문화유산을 활을 통해서 바라봅니다. 계양의 역사를 담은 6야(夜) 프로그램을 통해 다채로운 문화유산의 밤을 느낄 수 있다."
3399342,15,계양 빛축제,20241028153139,20250121134747,032-450-4104,인천광역시 계양구,"<a href=""https://www.gyeyang.go.kr/open_content/tour/event/festival/festival2.jsp"" target=""_blank"" title=""새창 : @@@축제 홈페이지 이동"">www.gyeyang.go.kr</a>",,http://tong.visitkorea.or.kr/cms/resource/07/3399307_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/3399307_image3_1.jpg,Type3,2,2,A02,A0207,A02070200,인천광역시 계양구 경명대로 지하1089 (계산동),,21056,126.7279723005,37.5433469173,6,"계양의 대표 가을 축제인 계양 빛 축제, 올해는 '소풍'을 테마로 우주탐험, 바다 숲, 빛의 바다, 빛담길 등 다채로운 콘셉트의 독특한 빛 조형물과 포토존, 경관조명이 가을 밤을 화려하게 밝힌다."
3329992,15,계양아라온워터축제,20240628110629,20240704153742,032-450-4103,"인천 계양구, K-water","<a href=""https://www.gyeyang.go.kr/open_content/main/bbs/bbsMsgDetail.do?msg_seq=14459&bcd=board_4&pgno=1"" target=""_blank"" title=""새창 : 계양아라온워터축제 페이지"">www.gyeyang.go.kr/open_content/main</a>",,http://tong.visitkorea.or.kr/cms/resource/86/3329986_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/3329986_image3_1.jpg,Type3,2,2,A02,A0207,A02070200,인천광역시 계양구 장기동,109-1 계양아라온,21006,126.7380649442,37.5747323349,6,"올해도 어김없이 찾아오는 한여름 무더위, 계양 아라온 수변에서 제2회 계양아라온 워터축제가 펼쳐진다.행사기간은 7.26.(금) ~ 7. 28.(일) 3일간 이며 물놀이, 워터슬라이드, 카약, 수상자전거, 어린이 체험 등 다채로운 행사가 열릴 예정이다. 물놀이와 카약 체험은 사전과 현장접수로 나누어 진행하는데 사전접수(7.10(수)~7.17(수))를 신청하면 더욱 편하게 축제를 즐길 수 있다."
3116234,15,고고축제,20240503150717,20240503151006,032-777-9891,인천광역시 중구,"<a href=""https://ijcf.or.kr/load.asp?subPage=410.View&category=3&searchValue=&searchType=&page=1&idx=160"" target=""_blank"" title=""새창 : 코리아뷰티페스티벌 홈페이지 이동"">https://ijcf.or.kr
</a>",,http://tong.visitkorea.or.kr/cms/resource/32/3116232_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/3116232_image3_1.jpg,Type3,2,10,A02,A0207,A02070200,인천광역시 중구 우현로67번길 57 (전동),,22316,126.6287026869,37.4757919043,6,"추억과 낭만의 학창시절을 함께했던 그 때 그 시절 동인천으로 돌아가는 레트로 복고축제이다. 자유공원 광장과 동인천 삼치거리 일대에서 펼쳐지는 다양한 레트로 프로그램(레트로 경관 포토존, 교복 의상체험, 추억 놀이터 등)과 인천 관내 고등학교 동문회 부스, 재학생 공연이 그 때 그 시절을 이 자리에 다시 불러온다.<br>관내 고교 재학생이 참여하는 고교예술제,옛 다방 DJ가 진행하는 자유음악다방, 7080 히트곡들로 가득한 특집 공개방송을 통해 그리운 고등학생 시기, 동인천을 누비던 그 시절을 음악과 함께 돌아가는 시간을 마련한다."
3391868,15,남동 빛의 거리,20241018145823,20241128155715,032-453-2143,남동구,,,http://tong.visitkorea.or.kr/cms/resource/62/3391862_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/3391862_image3_1.jpg,Type3,2,4,A02,A0207,A02070200,인천광역시 남동구 만수동,"1069, 만수3지구",21521,126.7360188509,37.4415949966,6,"남동 빛의 거리는 지역별 특색 있는 경관을 조성하여 다양한 볼거리를 제공하며, 뿐만 아니라 버스킹, 지역예술인 문화공연 등 다양한 즐길거리도 제공하고 있다. 빛의 거리는 지역주민과 관광객들에게 힐링과 삼의 여유를 선사하고 있다."
2816928,15,달빛가득 부평향교,20220421104436,20241104120916,032-450-5754,계양구청,"<a href=""http://www.igycc.or.kr/"" target=""_blank"" title=""새창 : 달빛가득 부평향교"">http://www.igycc.or.kr/</a>",,http://tong.visitkorea.or.kr/cms/resource/67/3403967_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/67/3403967_image3_1.JPG,Type3,2,2,A02,A0207,A02070200,인천광역시 계양구 향교로 19 부평향교(지정문화재),,21054,126.7207175131,37.5395472304,6,"2024 <달빛가득 부평향교>는 병자호란이 끝난 후 새롭게 재건된 향교 속에서 다시 새롭게 맞이 하는 삶을 축하하는 선비들의 잔치로 눈을 사로잡는 포토존, 다채로운 전통체험, 낭만적인 달빛 야외 음악회를 즐기며 향교를 살아 숨쉬는 문화공간으로 향유한다."
2560781,15,동인천 낭만축제&낭만놀이터,20180919022546,20241015152412,032-899-7427,인천광역시,"<a href=""https://romancefestival.co.kr/"" target=""_blank"" title=""새창 : 동인천 낭만축제&낭만놀이터 홈페이지 이동"">https://romancefestival.co.kr/</a>",,http://tong.visitkorea.or.kr/cms/resource/40/3013740_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/3013740_image3_1.jpg,Type3,2,5,A02,A0207,A02070200,인천광역시 동구 화도진로 53 (송현동),동인천 아트큐브,22550,126.6319301493,37.4765252097,6,"동인천 낭만축제와 낭만놀이터는 동인천역 북광장에서 열리는 지역 축제이다. 동인천 낭만축제는 2024년 10월 19일부터 10월 20일까지 이틀간, 낭만놀이터는 10월 16일부터 10월 20일까지 5일간 진행된다. 이번 축제는 동인천의 과거 번성기를 재조명하고 지역 상권 활성화를 목표로 기획되었다.<BR>
낭만축제는 ‘낭만’을 주제로, 과거 동인천 지역의 문화와 상업적 번영을 재현하는 다양한 프로그램과 이벤트로 구성된다. 10월 19일에는 중앙시장, 송현시장, 배다리 공예시장을 비롯한 인근 전통시장 상인들이 참여하는 ‘낭만 2일장’이 열리며, 박명수, 나태주, 김혜연 등이 출연하는 ‘낭만 콘서트’와 오케스트라가 함께하는 낭만 시네마 콘서트가 진행된다. 10월 20일에는 인천 지역 학교 동아리가 참여하는 공연이 예정되어 있다. 또한 추억극장 미림과의 협업으로 메인 무대에서 옛 영화를 상영하는 ‘낭만 시네마’도 열린다.<BR>
낭만놀이터는 어린이를 위한 야외 놀이 공간으로, 워킹볼, 모래놀이, 에어바운스 등 다양한 체험을 제공한다. 이 공간은 가족 단위 방문객을 대상으로 안전하게 설계되었으며, 어린이들이 즐길 수 있는 여러 체험 활동이 마련되어 있다."
