addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
서울특별시 종로구 북촌로 41,,1,,A05,A0502,A05020100,1968879,39,20141100000000.0,http://tong.visitkorea.or.kr/cms/resource/77/1968877_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/1968877_image2_1.jpg,Type3,126.9846923,37.58060272,6.0,20221200000000.0,23,02-747-5535,백년토종삼계탕,3055
서울특별시 종로구 서순라길 55,,1,,A05,A0502,A05020900,1968826,39,20141100000000.0,http://tong.visitkorea.or.kr/cms/resource/93/3454193_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3454193_image3_1.jpg,Type3,126.9929917,37.57295098,6.0,20241200000000.0,23,02-3672-1599,순라길 예 & 비비,3134
서울특별시 중구 세종대로21길 49,,1,,A05,A0502,A05020300,1966366,39,20141100000000.0,http://tong.visitkorea.or.kr/cms/resource/18/1966218_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/1966218_image3_1.jpg,Type3,126.9756046,37.56877338,6.0,20250100000000.0,24,02-736-1001,오양회참치,4519
서울특별시 종로구 종로36나길 9 (종로5가),,1,,A05,A0502,A05020100,1965691,39,20141100000000.0,,,,127.0044436,37.57026817,6.0,20241200000000.0,23,02-2266-8125,더 우리곱창,3197
서울특별시 종로구 종로40가길 5,,1,,A05,A0502,A05020100,1965675,39,20141100000000.0,,,,127.0063684,37.57026265,6.0,20241200000000.0,23,02-2279-0996,호남집,3197
서울특별시 중구 남대문시장4길 28-4 (남창동),,1,,A05,A0502,A05020100,1964978,39,20141100000000.0,,,,126.9770658,37.55902454,6.0,20250300000000.0,24,02-753-3263,은호식당,4528
"서울특별시 중구 명동7길 21, 지하1층",,1,,A05,A0502,A05020100,1958200,39,20141000000000.0,http://tong.visitkorea.or.kr/cms/resource/39/2707139_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2707139_image3_1.jpg,Type3,126.9836262,37.56485453,6.0,20250100000000.0,24,02-3789-0080,흑돈가 명동,4534
서울특별시 성동구 성수이로 118,,1,,A05,A0502,A05020100,1958195,39,20141000000000.0,,,,127.0578533,37.54516649,6.0,20241200000000.0,16,02-466-8687,제주국수,4797
서울특별시 종로구 삼청로 22-7,,1,,A05,A0502,A05020100,1947036,39,20140900000000.0,,,,126.9800483,37.57803072,6.0,20240700000000.0,23,02-722-7003,스미스가 좋아하는 한옥,3062
서울특별시 종로구 인사동10길 11-4,,1,,A05,A0502,A05020900,1945693,39,20140900000000.0,http://tong.visitkorea.or.kr/cms/resource/52/3474852_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/3474852_image3_1.jpg,Type3,126.9857146,37.574584,6.0,20250300000000.0,23,02-730-6305,전통다원,3146
