검색어,장소명,평점,주소,리뷰닉네임,별점,날짜,리뷰내용,title,addr1,contentid,contenttypeid,유형,연도월,new_cat,행정동명,자치구,경도,위도
감중공원,감중공원,3.3,인천광역시 서구 가정로98번길 18,헷,5.0,2024.11.14.,,감중공원,인천광역시 서구 가정로98번길 18,2767573.0,12.0,관광지,2024-11,힐링,가좌동,서구,126.662197,37.49160429
갑곶돈대,갑곶돈대,4.4,인천광역시 강화군 강화읍 갑곳리 1022,병권💚,5.0,2025.04.06.,시설이 좋아요 😀 ㅎㅎ  ,갑곶돈대,인천광역시 강화군 강화읍 해안동로1366번길 18,1254680.0,12.0,관광지,2025-04,문화,강화읍,강화군,126.4882367,37.75189091
갑곶돈대,갑곶돈대,4.4,인천광역시 강화군 강화읍 갑곳리 1022,jin-h,2.0,2025.01.28.,안내 시설이 부족하네요. ,갑곶돈대,인천광역시 강화군 강화읍 해안동로1366번길 18,1254680.0,12.0,관광지,2025-01,문화,강화읍,강화군,126.4882367,37.75189091
갑곶돈대,갑곶돈대,4.4,인천광역시 강화군 강화읍 갑곳리 1022,합리적 평가,3.0,2024.10.06.,,갑곶돈대,인천광역시 강화군 강화읍 해안동로1366번길 18,1254680.0,12.0,관광지,2024-10,문화,강화읍,강화군,126.4882367,37.75189091
갑곶돈대,갑곶돈대,4.4,인천광역시 강화군 강화읍 갑곳리 1022,이정명,4.0,2024.04.28.,,갑곶돈대,인천광역시 강화군 강화읍 해안동로1366번길 18,1254680.0,12.0,관광지,2024-04,문화,강화읍,강화군,126.4882367,37.75189091
갑곶돈대,갑곶돈대,4.4,인천광역시 강화군 강화읍 갑곳리 1022,강연,4.0,2024.02.29.,"크게 볼 것은 없지만, 24.04월 부터 유료화 된다고 해서 방문 했습니다. ",갑곶돈대,인천광역시 강화군 강화읍 해안동로1366번길 18,1254680.0,12.0,관광지,2024-02,문화,강화읍,강화군,126.4882367,37.75189091
갑곶돈대,갑곶돈대,4.4,인천광역시 강화군 강화읍 갑곳리 1022,최유식(africa),5.0,2023.07.01.,나들이  ,갑곶돈대,인천광역시 강화군 강화읍 해안동로1366번길 18,1254680.0,12.0,관광지,2023-07,문화,강화읍,강화군,126.4882367,37.75189091
갑곶돈대,갑곶돈대,4.4,인천광역시 강화군 강화읍 갑곳리 1022,AK TV,5.0,2023.06.27.,AK HISTORY TV(방문영상)https://youtu.be/aNFbNLqVHCg ,갑곶돈대,인천광역시 강화군 강화읍 해안동로1366번길 18,1254680.0,12.0,관광지,2023-06,문화,강화읍,강화군,126.4882367,37.75189091
갑곶돈대,갑곶돈대,4.4,인천광역시 강화군 강화읍 갑곳리 1022,정희석,5.0,2023.05.18.,주차창 넓고 깨끗하고 의미있는곳인거 같아 좋아요 ,갑곶돈대,인천광역시 강화군 강화읍 해안동로1366번길 18,1254680.0,12.0,관광지,2023-05,문화,강화읍,강화군,126.4882367,37.75189091
갑곶돈대,갑곶돈대,4.4,인천광역시 강화군 강화읍 갑곳리 1022,송상의,5.0,2023.05.04.,,갑곶돈대,인천광역시 강화군 강화읍 해안동로1366번길 18,1254680.0,12.0,관광지,2023-05,문화,강화읍,강화군,126.4882367,37.75189091
