추천장소,도보이동km_1,추천장소2,도보이동km_2,추천장소3
녹원쌈밥 연희점,2.28,"대청도 농여해변, 백령도 콩돌해변, 옹진 백령도 두무진, 대청도, 검은낭",1.57,"지중해식당, 해명산두부촌, 전득이고개, 원스캠핑장, 해명산, 1.66, 춘하추동, 뜰안에정원, 물레방아식당, 아로니움글램핑, 보문사강화, 1.65, 토담마을, 석모도 수목원, 스카이랜드리조트, 석모도, 강화나들길11코스석모도바람길, 1.74, 석포리선착장, 부자캠핑장, 교동읍성, 강화도교동아일랜드카라반, 계룡돈대, 1.62, 강화 용두레마을, 강화도 황청낚시터, 석모도 자연휴양림, 무태돈대, 교동향교, 1.63"
수빈,2.27,"서풍받이, 백령도, 용틀임 바위, 대청도 옥죽동 해안사구, 심청각",1.56,"망월돈대 및 장성, 교동도선착장대합실, 돌담캠핑가든, 창후리수로, 황청포구, 1.64, 장미횟집, 창후리선착장, 국사봉인천, 국립무의도자연휴양림, 실미해수욕장, 1.77, 실미유원지, 실미도, 하나개해수욕장, 하나개팜, 풍도, 1.83, 무의바다누리길, 해상관광탐방로, 씨스카이월드 짚라인, 큰무리어촌체험마을, 마시안생선구이정식, 1.76, 잠진도, 잠진도선착장, 마시안어부집, 용유도 마시안해변, 큰무리선착장, 1.79"
강수사,2.24,"그린파크식당, 두메칼국수만두, 사곶해변, 소청도 등대, 진촌리 현무암",1.58,"다올, 마시안갯벌체험장, 마시안제빵소, 마시랑카페, 여인천하조개구이, 1.78, 거북바위, 불티나조개구이, 카페 림, 동양염전베이커리카페, 조병수 가옥, 1.76, 선녀바위해수욕장, 선녀풍본점, 을왕리짱구네, 어부신광호, 을왕리해수욕장, 1.73, 영종도힐링캠프, 선녀바위, 카페라봉, 을왕리꾸덕집, 해상궁, 1.69, 을왕리300도씨 해물갈비, 미송쌈정식, 늘목, 고목정쌈밥, 어부의집, 1.74"
카덴,1.82,"백령도 끝섬전망대, 분바위와 월띠, 소청도, 연평도, 연평평화안보수련원",1.57,"더위크앤리조트 THE WEEK & RESORT, 카페오라, 락인뜰, 독독, 용유도, 1.71, 동해막국수, 양자강, 메이드림, 장화리일몰조망지, 바다캠핑장, 1.63, 장봉선착장, 장봉마을, 강화갯벌 및 저어새번식지, 오크힐글램핑, 배미꾸미조각공원, 1.64, 꽃게와낙지, 렛츠고 강화캠핑, 을왕리빵판다카페, 토가, 르 스페이스, 0.71, 멍때림, 노을빛바다애글램핑, 바다로글램핑, 장곶횟집, 카페 트라몬토, 0.68"
로덴드론 연희점,0.91,"굴업도, 소야도 떼뿌리 해변, 밧지름해변, 덕적도 비조봉, 서포리해변",0.33,"씨사이드힐캠핑장, 강화캐라반캠핑장, 스페인마을 카라반, 쌈밥이네, 티라시아리조트, 0.58, 스페인마을, 바다다 캠핑장, 야생화뜰, 행복한 소풍 캠핑장, 서산갯마을, 0.47, 용궁횟집, 선수미락횟집, 후포항 선수포구, 연백호, 유일8호, 0.49, 강화왕새우 박문양식장, 건평항, 강화도동부해안도로, 카페라르고빌, 강화 달빛동화마을, 0.5, 석모도 칠면초 군락지, 카페109하우스, 해운정양식장, 카페칼럼, 천상병 귀천歸天 공원, 0.53"
이대거리,0.92,"서포마을, 덕적도 능동자갈마당, 덕적도 갈대 군락지, 울도, 서포리웰빙삼림욕산책로",0.26,"글램조이, 노을캠핑장, 강화함상공원, 외포리선착장, 일오삼간장게장, 0.55, 서울횟집, 강화젓갈, 외포항젓갈수산시장, 망양돈대, 나룻터 꽃게집, 0.51, 서해꽃게전문, 강화어부네꽃게탕, 장수촌, 산당, 강화꽃게집, 0.53, 충남서산집, 외포리꽃게집, 하랑캠핑장, 덕산국민여가캠핑장, 신선낚시터, 0.79, 우공책방, 강화오상리고인돌군, 적석사, 적석사 낙조대, 강화천문과학관, 0.59"
진돈부리,0.87,"덕적군도, 선미도 등대, 소야도, 회나라식당, 진리도우선착장",0.38,"강화 버팔로 캠팜, 심은미술관, 온달과평강농원, 스톤캠핑장, 하늘채까페, 0.6, 영흥도, 모모카라반, 코코로망스, 포레스트 카라반 파크, 통일사, 0.38, 장경리해수욕장, 용담바다낚시터, 장경리해변야영장, 명성가족캠핑촌, 블랙트리캠핑, 0.29, 노가리해변, 플로레도커피, 영흥면에너지파크, 하늘빛, 솔바다캠핑장, 0.31, 소사나무 군락지, 영흥도 십리포해변, 영흥도농어바위캠핑장, 코세드, 영암어촌계 체험장, 0.32"
신촌그래피티벽화터널,0.78,"대이작도, 작은풀안 해변, 큰풀안 해변, 계남해변, 부아산 구름다리",0.33,"하와이언캠프, 영흥도어울림캠핑장, 몽돌해수욕장옹진군, 광명선착장, 광명항, 0.24, 호룡곡산, 무의도데침쌈밥, 무의도, 거해짬뽕순두부, 바다드림, 0.28, 거잠포선착장, 거잠포해변, 솔밭회조개구이, 카페,잠진도길28, 은행나무집, 0.3, 보테가, 서해안조개광장 신관, C27 다운타운, 엠클리프, 파라다이스 씨티 씨메르인천, 0.31, 철이네물회전문점, 파라다이스시티 원더박스, 현미네 조개구이, 더 스파 앳 파라다이스, 공항마을, 0.31"
이화여대 자연사박물관,0.78,"소이작도, 부아산전망대, 승봉도선착장, 섬마을선생촬영지, 대이작도선착장",0.43,"우리밀손칼국수, 미애네칼국수, 파라다이스 카지노 파라다이스시티, 기와집담, 하늘정원, 0.32, 파라다이스시티, 인천국제공항 제2여객터미널, 용경향, 삼목선착장, 국가유산 방문 캠페인 인천공항 홍보관, 0.35, 해송쌈밥, 스타파이브 카페, 인천공항전망대, 세계평화의숲, 신도선착장, 0.33, 섬마을다리집, 인천 푸른벗말, 신시모도 신도ㆍ시도ㆍ모도, 수기해변, 분오리돈대, 0.42, 일년내내칼국수맛있는집, 토크라피, 해남회조개구이, 강화 동막해변, 강화원조칼국수, 0.46"
이화웰컴센터,0.76,"이레식당슈퍼, 삼신할미약수터, 풀등모래섬, 강화 서도 중앙교회, 주문도",0.48,"하얀꽃메밀, 도레도레, 마호가니 강화점, 햇솔오토캠핑장, 정수사강화, 0.47, 그린홀리데이키친, 그린홀리데이, 함허동천계곡, 마니산산채, 함허동천야영장, 0.48, 맛을담은강된장, 먹골촌, 강화 참성단, 황토옛집, 강화도아침, 0.48, 준스레시피, 강화 사기리 탱자나무, 이건창 생가, 한자리한턱, 삼랑성정족산성, 0.22, 강화 전등사, 마니온, 마니산강화, 마니산국민관광지, 양헌수승전비, 0.22"
