contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
2514028,25,가을은 향기로운 허브와 맑은 공기로 몸과 마음을 채우자,20171103202428,20230808165859,,,,,http://tong.visitkorea.or.kr/cms/resource/17/1589717_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1589717_image3_1.jpg,Type3,31,16,C01,C0114,C01140001,,,,127.3584173556,37.0653607848,,안성허브마을은 웰빙 문화에 발맞춰 기존 허브농장의 모습과 달리 허브에 관련되어 더욱 깊이 &nbsp;체험할 수 있는 실속형 허브마을이다.
1942787,25,가족끼리 대부도 나들이,20140822013653,20240129101412,,,,,http://tong.visitkorea.or.kr/cms/resource/71/1593471_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/1593471_image3_1.jpg,Type3,31,15,C01,C0112,C01120001,,,,126.8139149802,37.3257653744,6,"넓은 공원의 푸른 자연은 마음을 탁 트이게 하고 바쁜 일상에서 놓여나게 한다. 미술 전시관을 둘러보고 여러 가지 프로그램을 통해 미술 공부하는 기회도 갖고, 자연학습을 체험할 수 있는 안산에서의 하루는 잠시 삶의 여유를 갖게 할 것이다."
2012017,25,"가평에서 만나보는 유럽, 이색체험 여행",20150624214452,20230809152932,,,,,http://tong.visitkorea.or.kr/cms/resource/61/1985061_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/1985061_image3_1.jpg,Type3,31,1,C01,C0112,C01120001,,,,127.3519597486,37.7416600981,6,"해외여행을 꿈꾸어 보지만 시간과 여건상 해외여행을 떠날 수 없을 때 국내에서 만나 볼 수 있는 유럽 테마 여행지로 떠나보는건 어떨까?
경기도 가평에는 프랑스의 문화를 체험할 수 있는 쁘띠프랑스와 스위스의 작은 마을 축제를 주제로한 에델바이스 스위스테마파크 까지.
가평에서 만나보는 유럽 테마 여행지로 여행을 떠나보자!"
2568556,25,감성이 꿈틀꿈틀 파주 여행,20181122011533,20230811092245,,,,,,,,31,27,C01,C0115,C01150001,,,,126.6890709905,37.7166316086,6,"독특한 건축물이 즐비한 파주북시티에서도 독보적인 미메시스아트뮤지엄은 건물이 하나의 예술 작품이다. 하얀색의 외관과 곡선의 아름다움이 보는 이를 압도한다. 마치 헌책방골목을 거니는 듯한 구성이 인상적인 블루박스에서는 나만의 보물 같은 책을 발견하는 재미가 있다. 임진강 너머 북녘을 바라볼 수 있는 오두산 통일전망대는 남과 북이 얼마나 가까운 거리인지 실감하는 장소다. 예술과 문화, DMZ 관련 여행지가 어우러지는 여행코스다."
1960918,25,강변 따라 즐기는 오붓한 가족캠핑,20141030024623,20230809091023,,,,,http://tong.visitkorea.or.kr/cms/resource/44/1091644_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/1091644_image3_1.jpg,Type3,31,1,C01,C0116,C01160001,,,,127.5205087944,37.8193319398,4,"가족 단위 캠핑이 늘면서 캠핑장에도 많은 변화가 생기고 있다. 단순히 캠핑 사이트를 제공하던 데서 벗어나, 보다 유익한 시간을 보낼 수 있도록 캠핑장에 부대시설을 늘리는 것이다. 경기도 가평의 자라섬 오토캠핑장과 강원도 춘천의 중도오토캠핑장이 주목 받는 것도 이 때문이다. 자라섬 오토캠핑장과 중도오토캠핑장은 축구장, 족구장, 잔디공원, 물놀이장, 수변산책로 등 다양한 공용 시설은 물론, 자전거와 버기카 등 아이들을 위한 놀이 시설도 갖춰 온 가족이 오붓하게 캠핑을 즐기기에 그만이다."
2514030,25,겨울방학 썰매장과 안성장의 따끈함으로 추위를 달래자,20171103202902,20230811103610,,,,,http://tong.visitkorea.or.kr/cms/resource/70/2048870_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/2048870_image2_1.JPG,Type3,31,16,C01,C0112,C01120001,,,,127.3114447748,37.0312444314,,안성시 시설관리공단(지방공기업)이 운영하고 안성맞춤랜드 내에 있는 안성시사계절썰매장은 쾌적한 시설에서 안전하고 즐겁게 사계절 썰매를 이용할 수 있는 시설이다.
2515446,25,겨울에 먹는 따끈한 삼계탕,20171116194144,20230808152246,,,,,http://tong.visitkorea.or.kr/cms/resource/70/734370_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/734370_image3_1.jpg,Type3,31,4,C01,C0112,C01120001,,,,126.8618741068,37.4396391246,,이 묘소는 조선조 제16대 인조의 원자인 소현세자의 부인 민회빈 강씨(민회빈)가 잠든 농원이다.
1966519,25,경기 가평군 얼음 눈꽃코스,20141120012411,20230808162902,,,,,http://tong.visitkorea.or.kr/cms/resource/96/1589096_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/1589096_image3_1.jpg,Type3,31,1,C01,C0112,C01120001,,,,127.4135593243,37.7543291982,4,"경기도의 동북 산간에 위치하고 북쪽에는 광주산맥이 북동에서 남서방향으로 뻗어 있고, 남쪽에는 북한강이 동서로 흐르고 있다. 계곡과 더불어 조화를 이루며 여름에는 물썰매장, 겨울에는 눈썰매장을 운영하여 아이들에게 어린 시절의 즐거운 추억을 만들어준다. 특히 겨울에 방문하면 스키 아카데미를 운영하고 있다."
1960314,25,경기 안성 문화관광 1일 코스,20141028024224,20230810155319,,,,,http://tong.visitkorea.or.kr/cms/resource/80/1589680_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/1589680_image3_1.jpg,Type3,31,16,C01,C0114,C01140001,,,,127.2281695194,37.0112174698,4,"관광과 전통공연을 접목시킨 코스로서 안성의 대표적 전통문화인 태평무와 남사당 놀이를 관람 한 후 안성의 푸근한 맛을 경험할 수 있는 코스이다. 슬로우푸드를 표방하는 ‘서일농원’에서 전통발효기법을 이용하여 만든 된장찌개와 각종 장아찌류, 빈대떡 등 담백하고 소박한 가정식을 맛 보며 한국 발효음식의 우수성을 느껴보는 좋은 기회가 될 것이다. 
<br /><br />[출처] 안성시 문화관광 투어"
1967350,25,경기도 광주의 자연 속으로,20141124231918,20230811104210,,,,,http://tong.visitkorea.or.kr/cms/resource/21/1589321_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/1589321_image3_1.jpg,Type3,31,5,C01,C0112,C01120001,,,,127.1871573389,37.4773711348,4,"도심에서 가까운 경기도 지역 코스다. 광주의 남한산성 도립공원에서 선성을 따라 거닐어 보고 얼굴 모양을 딴 목각인형, 도자기 등의 특이한 박물관을 방문해보자. 아이들과 함께라면 정말 즐거운 시간을 보낼 수 있을 것이다. 팔당호를 따라 길게 뻗은 드라이브 코스를 달리는 것도 경기도에서 누릴 수 있는 즐거움이다."
