contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
2894914,39,가나안국수,2.02211E+13,2.02501E+13,,,"<a href=""http://www.xn--o39a20ar3ebs0asud.kr/"" target=""_blank"" title=""새창 : 가나안국수 홈페이지로 이동"">http://www.가나안국수.kr/</a>",,http://tong.visitkorea.or.kr/cms/resource/91/2894891_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2894891_image3_1.jpg,Type3,31,2,A05,A0502,A05020100,경기도 고양시 덕양구 행주로15번길 16,,10440,126.8278866,37.600917,6,"경기도 고양시 덕양구 행주로에 위치한 가나안국수는 내산 사골, 닭고기, 사태, 멸치로 최고의 육수를 내어 건강과 맛을 최고로 하는 국수메뉴를 다양하게 판매하고 있다. 명품 잔치국수, 초계국수, 장칼국수에서 다양한 국수요리를 즐길 수 있는 곳이다. 또, 매일 아침 겉절이 김치를 직접 담가 손님들에게 제공한다. 바지락 칼국수는 5~8월에 판매하지 않으며, 국내산 100%  검정콩을 매일 매장에서 직접 삶고 갈아서 만드는 콩국수는 4~9월까지만 판매한다."
2831563,39,가나안장어마을,2.02208E+13,2.02401E+13,,,,,http://tong.visitkorea.or.kr/cms/resource/54/2831554_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/2831554_image3_1.JPG,Type3,31,2,A05,A0502,A05020100,경기도 고양시 일산동구 애니골길 54,1층 전체 호 고기,10301,126.79211,37.67219418,6,"가나안장어마을은 고양시 일산동구 풍동 애니골에 자리 잡고 있다. 가나안장어마을은 애니골 먹자골목 안 터줏대감 가나안덕 외식타운에 포함되어 있다. 가나안 외식타운에는 가나안덕 신관과 본관, 가나안장어마을, 버섯칼국수, 카페 등을 운영하고 있다, 가나안덕 외식타운이란 이름답게 넓은 주차 공간이 마련되어 있다. 식사 후 즐길 거리가 준비되어 있어 가족, 단체 등이 많이 찾고 있다. 국내산 민물장어로 두툼한 장어를 주문과 동시에 손질해서 제공되며 맛있게 굽는 방법을 보면서 구워 먹으면 된다. 장어구이 손님들에게는 마지막에 뚝배기 장어죽이 제공된다. 주변에 가볼 만한 곳은 일산호수공원과 고봉산 등이 있다."
2846052,39,가드너스,2.02208E+13,2.02401E+13,,,"<a href=""https://www.instagram.com/gardenus_/"" target=""_blank"" title=""새창 : 가드너스 인스타그램으로 이동"">https://www.instagram.com/gardenus_/</a>",,http://tong.visitkorea.or.kr/cms/resource/27/2846027_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/27/2846027_image3_1.JPG,Type3,31,27,A05,A0502,A05020900,경기도 파주시 헤이리마을길 59-52,가드너스,10859,126.6961266,37.78970377,6,"가드너스는 경기도 파주시 헤이리 예술마을에 위치한 대형 베이커리 카페이다. 외관 및 내부에서 모던한 분위기를 느낄 수 있으며, 공간마다 작은 테마처럼 각각 다른 분위기로 꾸며져 있어 원하는 좌석을 선택하여 앉아보는 재미가 있다. 또한, 루프탑과 서쪽에 있는 좌식 테이블에서는 지는 노을을 감상할 수 있다.
가드너스는 유기농 밀가루를 사용하여 당일에 빵을 만들고, 단맛과 신맛, 그리고 바디감이 적절하게 밸런싱 된 원두를 선택할 수 있도록 했다. 게다가 이곳은 분기별로 매번 다른 작가들의 작품들을 전시하고 있으며, 관람료는 따로 받고 있지 않고 있어 무료로 관람이 가능하다."
2901496,39,가드니아 제빵소 본점,2.02211E+13,2.02407E+13,,,,,http://tong.visitkorea.or.kr/cms/resource/91/2901491_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2901491_image3_1.jpg,Type3,31,6,A05,A0502,A05020900,경기도 구리시 동구릉로460번길 114,가드니아 타운 2층,11906,127.1445094,37.63793227,6,"? 가드니아 제빵소 본점은 구리시 사노동에 있는 베이커리 카페이다. 자차 이용 시 내비게이션을 구리 왕숙 체육공원을 찍고 가면 힘든 골목길로 가지 않고 편한 큰길로 안내가 된다. 주차는 카페 건물 앞 주차장이 넓어 편리하다. 2층의 단독 건물을 다 쓰고 있는 카페는 매장이 넓고 층고가 높아 개방감이 있다. 2층엔 테라스 자리도 있어 날씨 좋은 날 이용하면 남양주 다산 신도시 등이 한눈에 내려다 보인다. 유기농 밀가루, 천연 발효종, 고급 프랑스 버터를 사용하여 매일 굽는 빵 맛이 좋아 사람들의 발길이 끊이지 않는다.
※ 반려동물 동반가능"
798518,39,가든갤러리,2.00909E+13,2.02406E+13,031-566-7777,가든갤러리,,,,,,31,9,A05,A0502,A05020200,경기도 남양주시 강변북로632번길 57-28,,12268,127.1740748,37.58788307,6,"가든갤러리는 남양주 강변북로에 있는 레스토랑이다. 2007년도에 오픈하였으며 한국의 미슐랭가이드 블루리본서베이 11년째 맛집으로 여러 방송과 드라마 촬영지로 알려져 있다. 1층은 드로잉 카페로 운영하고 있으며 식사 공간은 2층 레스토랑으로 홀과 테라스 자리로 나뉘어 있다. 테라스 자리에서는 아름다운 야경을 보면 식사를 할 수 있으며, 반려동물과 함께 온 손님들을 위한 자리는 따로 구분되어 있어서 비반려인과 반려인 모두가 만족스러운 시간을 보낼 수 있도록 배려하였다. 3층 루프탑은 탁 트인 경관을 배경으로 사진을 찍기 좋도록 조명등을 설치해 예쁜 추억을 만들기 좋으며, 야외 정원에서는 스몰 웨딩이나 웨딩 촬영, 돌잔치, 단체 회식과 모임 등을 할 수 있다. 
서울 근교에 있어 찾아오기 쉬우며, 자작나무 정원과 빈티지 감성의 아늑한 실내는 데이트나 지인, 혹은 가족과 모처럼의 식사 시간을 기분 좋게 해준다. 이곳의 시그니처 메뉴는 정원에서 수비드(저온 숙성으로 육즙을 잡는 과정)로 조리한 바비큐이며, 각종 파스타 소스, 발사믹 드레싱, 프렌치 드레싱도 모두 직접 만들어 제공하고 있다."
2768070,39,가래울 해장국,2.02111E+13,2.02412E+13,,,,,http://tong.visitkorea.or.kr/cms/resource/93/2768293_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2768293_image2_1.jpg,Type3,31,20,A05,A0502,A05020100,경기도 여주시 점동면 가래울길 29,,12665,127.675607,37.20518375,6,경기도 여주시의 해장국 음식점이다. 페럼 컨트리클럽에서 자동차로 5분 이내에 닿을 수 있는 가래울 해장국은 새벽 다섯 시  반부터 문을 열어 라운딩 전 아침 식사를 챙기기 좋은 식당이다. 가래울 해장국에서는 주인이 직접 만드는 정갈한 맛의 반찬과 여주 쌀로 지어진 맛있는 쌀밥을 맛볼 수 있다. 그뿐만 아니라 콩나물과 시래기가 듬뿍 들어간 가래울 해장국과 가래울 정식은 이곳의 대표 메뉴로 든든한 한 끼로 충분하다. 가래울 해장국은 골퍼들 사이에 이름난 여주 맛집이다.
2832447,39,가림시골밥상,2.02208E+13,2.02401E+13,,,,,http://tong.visitkorea.or.kr/cms/resource/44/2832444_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/2832444_image3_1.jpg,Type3,31,27,A05,A0502,A05020100,경기도 파주시 새오리로 68,,10858,126.6858609,37.79064792,6,"경기도 파주시 프로방스 마을 부근에 있는 한정식 전문점이다. 성동리 마을회관 앞에 있어서 찾기 쉽다. 메뉴는 석쇠 소불고기정식, 꽃게장 정식, 가림 시골밥상 세 가지가 있다. 여러 가지 반찬이 제공되고 리필도 가능하다. 내부가 넓고 테이블도 많기 때문에 쾌적하고 깔끔한 분위기에서 여유 있는 식사를 즐길 수 있다.  연중무휴 영업하므로 운영 시간에만 맞추어 가면 언제든지 식사할 수 있지만 점심시간엔 대기가 필요하다.  BTS도 다녀갈 만큼 맛으로 소문난 파주 한정식 전문점이다."
2736051,39,가마솥밥상 철산본점,2.02108E+13,2.02408E+13,,,,,http://tong.visitkorea.or.kr/cms/resource/34/2774734_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/34/2774734_image2_1.jpeg,Type3,31,4,A05,A0502,A05020100,경기도 광명시 안양천로 459,(철산동),14225,126.8695887,37.48848359,6,"매장에서 직접 도정한 8분도 쌀로 밥을 짓는 가마솥 밥 전문점이다. 주문 즉시 테이블에 가마솥을 올려 즉석에서 밥을 짓기 때문에 20분 정도 기다려야 한다. 식사 전, 죽과 샐러드가 나오고 다양한 제철 나물과 잡채, 계란찜, 보쌈과 전 등 풍성한 반찬이 나온다. 금액에 따라 삼합과 오리 훈제, 간장게장이 추가된다. 식후에는 구수한 숭늉으로 마무리 할 수 있다."
2850291,39,가마솥보리밥집,2.02209E+13,2.02412E+13,,,,,http://tong.visitkorea.or.kr/cms/resource/74/2850274_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2850274_image3_1.jpg,Type3,31,26,A05,A0502,A05020100,경기도 이천시 서이천로 129-3,,17385,127.3733831,37.24753723,6,"가마솥보리밥집은 경기도 이천시 마장면에 있는 보리밥 전문 한식당이다. 매장은 넓고 쾌적하다. 이천 쌀로 가마솥에 밥을 지어 각종 나물과 비벼 먹을 수 있도록 제공한다. 밥은 보리밥, 쌀밥, 보리밥과 쌀밥을 반반 섞은 것을 선택할 수 있으며 식사 전에 생수 대신 숭늉을 제공한다. 생수는 셀프로 먹을 수 있다. 밥과 함께 5가지의 나물과 새싹, 비빔용과 쌈용 강된장, 계란찜, 콩비지, 쌈 채소와 더불어 다양한 밑반찬이 나온다. 나물들은 간이 세지 않고 추가로 더 먹을 수 있다. 뚝배기에 담긴 된장찌개는 불 위에서 가열해서 먹도록 제공한다. 제육볶음도 인기 메뉴인데 고춧가루 색이 곱고 간이 적당하며 매콤 달콤하다. 어린이와 동반 고객에겐 어린이용 수저와 포크를 따로 챙겨준다. 부담 없는 가격으로 한 상 가득 건강한 식사를 할 수 있어 가성비 좋은 곳이다. 4km 거리에 덕평공룡수목원, 8km 이내에 설봉공원, 안흥지, 애련정, 복하천수변공원, 다수의 골프장이 있다."
2838121,39,가마솥회관,2.02208E+13,2.02401E+13,,,,,http://tong.visitkorea.or.kr/cms/resource/14/2838114_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/14/2838114_image3_1.jpeg,Type3,31,3,A05,A0502,A05020100,경기도 과천시 과천대로 161 가마솥회관,,13840,126.984558,37.41614404,6,"‘가마솥회관’은 경기도 과천시 갈현동에 있는 곰탕 전문점이다. 대표 메뉴는 사골곰탕으로 탕에 들어가는 재료인 고기와 사골과 뼈로 고아내며 다른 첨가물을 넣지 않은 진한 국물이 특징이다. 사골곰탕 외에도 꼬리곰탕, 양곰탕, 만두 곰탕 등 다양한 곰탕을 맛볼 수 있다. 또한, 얼큰한 소고기 해장국과 내장탕, 모둠 수육 등의 메뉴도 있다. 매장 앞에 주차장이 마련되어 있다. 대중교통 이용 시 지하철 4호선 정부과천청사역이나 인덕원역에서 도보로 약 20분 정도 소요된다. 덜어 먹기 가능한 도구 비치·제공, 위생적 수저 관리, 종사자 마스크 착용을 준수하는 곳으로 소재지 지자체의 인증을 받은 안심식당이다."
