contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
3396501,15,강천섬 힐링 문화축제,20241023173210,20241023173401,031-884-7880,강천섬 축제 추친위원회,,,http://tong.visitkorea.or.kr/cms/resource/42/3396442_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/3396442_image3_1.jpg,Type3,31,20,A02,A0207,A02070200,경기도 여주시 강천면 강천리길 88-70,,12665,127.6938184005,37.2339946426,6,"강천섬 힐링 문화축제는 남한강과 넓은 잔디밭, 은행나무길 등 아름다운 자연과 함께 다양한 프로그램을 즐길 수 있는 축제이다. 주요 프로그램으로는 초대가수 및 밴드공연, 한국 전통놀이 체험, 버스킹, 힐링콘서트, 불꽃놀이 등이 있으며 부스 및 푸드트럭을 배치하여 여주시 농특산물(고구마, 땅콩, 쌀, 밤)과 다양한 먹거리를 만나볼 수 있다. 강천섬은 수도권에서도 접근성이 좋아 매년 많은 관광객이 방문하고 있으며, 섬 내에서는 차량이 통제되어 아이들과 함께 자연속에서 마음껏 힐링할 수 있는 지역문화축제이다. 강천섬 힐링문화축제는 강천섬축제 추진위원회에서 주최하며, 여주시매립장 주민지원 협의체에서 후원하고 있다."
3113148,15,거북섬 봄 달콤축제,20240405091749,20240408142508,031-310-2930,시흥시,"<a href=""http://sstfestival.com/"" target=""_blank"" title=""새창 : 거북섬 봄 달콤축제 홈페이지 이동"">sstfestival.com</a>",,http://tong.visitkorea.or.kr/cms/resource/43/3113143_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/3113143_image3_1.jpg,Type3,31,14,A02,A0207,A02070200,경기도 시흥시 거북섬둘레길 42 (정왕동),,15119,126.6806993687,37.3241520972,6,"거북섬 축제는 사계절 테마에 맞춰 봄, 여름, 가을, 겨울 동안 펼쳐진다. 봄에열리는 축제는 거북섬 봄 달콤축제로 달콤한 디저트와 피크닉을 즐기 수 있는 축제로 가족의 달을 맞이한 관람객이 즐길 수 있는 프로그램을 선사한다. 아빠와 함께 만드는 '케이크 만들기 쿠킹클래스'와, 로맨틱한 '듀엣가요제', 지역 소상공인이 참여하는 '달콤디저트페어' 및 '달콤디저트공방'등이 마련되어 있다. 또한 시화호 마리나 경관브릿지에서는 피크닉 라이프 소풍, '버스킹'공연이 펼쳐질 예정이며 일상에서 벗어나 봄의 여유를 만끽할 수 있도록 축제를 준비하였다."
2866387,15,거북섬 해양축제,20221012164557,20240730161711,031-310-2930,시흥시,"<a href=""https://sstfestival.modoo.at/"" target=""_blank"" title=""새창 : 시흥거북썸축제"">http://sstfestival.com/</a>",,http://tong.visitkorea.or.kr/cms/resource/40/2990840_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/40/2990840_image3_1.png,Type3,31,14,A02,A0207,A02070200,경기도 시흥시 거북섬둘레길 42 웨이브파크,광장,15119,126.6806993687,37.3241520972,6,"거북섬 축제는 사계절 테마에 맞춰 봄, 여름, 가을, 겨울동안 펼쳐진다. 그 중 여름에 개최하는 해양축제는 물과 빛의 다채로운 향연을 선보인다. 시화호에서 즐길 수 있는 해양레저체험과 가족이 함께 참여하여 만드는 화채 만들기 프로그램인 '화채에 빠질 수박에'부터, 여름이면 빠질 수 없은 물총놀이, 다양한 여름 테마의 수공예품 만들기인 썸머마켓까지 다양한 프로그램이 마련되어 있다."
3360113,15,게임문화축제,20240905164646,20240923170332,070-4414-5959,문화체육관광부,"<a href=""https://kgcf.kr/"" target=""_blank"" title=""새창 : 게임문화축제 페이지"">https://kgcf.kr/</a>",,http://tong.visitkorea.or.kr/cms/resource/75/3360075_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/75/3360075_image3_1.png,Type3,31,23,A02,A0207,A02070200,경기도 용인시 처인구 포곡읍 에버랜드로 199,에버랜드,17023,127.2149184795,37.2893100954,6,"게임을 매개로 모든 세대가 소통할 수 있는 건강한 게임문화의 확산과 게임 향유 기회 확대를 위해 진행되는 축제이다.
호탐이 스토리텔링을 기반으로 한 미션게임, 전시 및 체험, 이스포츠 대회 등 관람객 누구나 함께 참여할 수 있는 다양한 현장 프로그램이 운영된다."
3049823,15,겨울엔 양평,20231127173236,20250114164530,031-770-1072,양평군,"<a href=""https://xn--h89ak68bzfap6a619b.kr/"" target=""_blank"" title=""새창 : 겨울엔 양 축제 페이지"">https://xn--h89ak68bzfap6a619b.kr/</a>",,http://tong.visitkorea.or.kr/cms/resource/66/3423766_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/3423766_image3_1.jpg,Type3,31,19,A02,A0207,A02070200,경기도 양평군 양평읍 마유산로 11,양평군 전역,12546,127.4857713336,37.4967798701,6,"'양평에서 따뜻한 겨울나기'를 슬로건으로, 2개월 간 양평의 따뜻함을 소재로 지역자원을 연계한 몸과 마음을 따뜻하게 만들어 줄 특별한 겨울 여행을 선사한다. 양평의 대표 음식인 해장국과 순댓국 등 식당, 도서관 및 서점, 반려동물 동반숙소 등을 연계한 스탬프투어를 통해 다양한 장소를 탐방할 수 있으며, 스탬프 개수에 따라 관광기념품을 받을 수 있다. 축제기간 동안 양평 곳곳에서 열리는 '유튜버스킹'은 누구나 사전 신청을 통해 버스킹에 참가할 수 있으며, 뚝배기왕 선발, sns인증 이벤트 등 관광객이 직접 참여할 수 있는 다양한 이벤트가 있다."
2508283,15,경기 다독다독 축제,20170922003232,20241010092330,031-8008-4612,"경기도, 안성시 공동","<a href=""https://www.gg.go.kr/"" target=""_blank"" title=""새창: 경기도청 홈페이지로 이동"">www.gg.go.kr</a>",,http://tong.visitkorea.or.kr/cms/resource/85/3361685_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/3361685_image3_1.jpg,Type3,31,16,A02,A0207,A02070200,경기도 안성시 보개면 남사당로 198,,17508,127.3054285825,37.0336857086,6,"경기도의 대표적인 책 축제인 '경기 다독다독(多讀) 축제'가 오는 10월 11일과 12일 안성맞춤랜드에서 열린다. 올해 9회째를 맞은 '경기 다독다독 축제'는 안성시와 공동으로 개최하며 축제 주제는 '안성맞춤 독서 1일장'이다.  11일은 도서관 종사자들을 대상으로 '인공지능과 도서관'을 주제로 김장현 성균관대 교수의 특강이 진행되며, 본 축제인 12일에는 관람객을 대상으로 김영하 작가의 강연 '우리는 왜 책을 읽는가'를 포함하여 그림책 인형극, 버스킹, 아름드리 다문화 어린이 합창단 공연, 어린이 북토크, 독서퀴즈 등이 진행된다. 특히 체험부스에서는 '나의 독서 MBTI 분석', '안성의 작가 : 이억배 정유정 특별관', '도자문화체험' 등이 준비되어 있고, 야외에서 즐기는 북크닉을 통해 생애주기별 추천도서와 MBTI별 추천도서를 만나볼 수 있다."
2648430,15,경기곤충페스티벌,20200222013342,20240902174643,031-8008-9445,경기도농업기술원,"<a href=""https://blog.naver.com/ggbug20"" target=""_blank"" title=""새창 : 경기곤충페스티벌 홈페이지 이동"">https://blog.naver.com/ggbug20</a>",,http://tong.visitkorea.or.kr/cms/resource/49/3357849_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/3357849_image3_1.jpg,Type3,31,31,A02,A0207,A02070200,경기도 화성시 병점중앙로 283-33 (기산동),,18388,127.0433998356,37.2209788174,6,곤충을 주제로 다양한 경험을 할 수 있는 축제를 마련하여 곤충에 대한 선입견 감소 및 곤충 소비 증대기여를 목적으로 하는 축제이다.
3011169,15,경기도 세계커피콩 축제,20230914174635,20240717211537,070-7769-5731,"은계호수상인연합회, 은행동주민자치회 공동개최",,,http://tong.visitkorea.or.kr/cms/resource/08/3334308_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/08/3334308_image3_1.jpeg,Type3,31,14,A02,A0207,A02070200,경기도 시흥시 은행동,601-150 은계호수공원 일원,14921,126.8067956497,37.4446570072,6,세계 커피생산국가의 대사관과 농장을 초대해 커피문화의 핵심인 커피콩을 소개하고 '뉴욕과 런던의 커피거래소 명소'와 '독일의 옥토버페스트' 같은 세계적인 축제를 뛰어넘어 커피무역의 중심이자 대한민국의 대표 관광지로 자리매김 할 수 있는 특색 있는 축제 콘텐츠로 운영한다.
3368470,15,경기미디저트페스타,20240913144625,20240919103145,070-4205-1233,경기도,"<a href=""https://www.ricedessertfesta.com/"" target=""_blank"" title=""새창 : 경기미 쌀 디저트페스타 홈페이지 이동"">www.ricedessertfesta.com</a>",,http://tong.visitkorea.or.kr/cms/resource/63/3368463_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3368463_image3_1.jpg,Type3,31,13,A02,A0207,A02070200,경기도 수원시 권선구 세화로134번길 37 (서둔동),,16621,126.9971971906,37.2668587922,6,"경기미디저트페스타는 경기미로 만든 쌀디저트 박람회로 쌀디저트 경연대회 ,체험,전시,판매전 등 먹고 보고 즐길수 있는 페스티벌이다."
3370048,15,경기민족예술제,20240920100328,20241017100958,031-235-6155,경기민예총,"<a href=""https://kgminyechong.oopy.io/"" target=""_blank"" title=""새창 : 경기민족예술제 축제 페이지"">https://kgminyechong.oopy.io/</a>",,http://tong.visitkorea.or.kr/cms/resource/47/3370047_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/3370047_image3_1.jpg,Type3,31,13,A02,A0207,A02070200,경기도 수원시 권선구 서둔로 166 (서둔동),경기상상캠퍼스,16614,126.9811903187,37.2665807612,6,"경기민족예술제는 경기민예총을 대표하는 종합예술제로 문학, 미술, 음악, 연극, 풍물, 춤 등 다양한 장르예술로 구성된다. 남녀노소 구분 없이 누구나 쉽고 편하게 즐길 수 있는 예술 축제를 준비했다. 특히 2024년 축제는 '놀이'를 컨셉으로 적정기술 우드놀이터, 폐박스 블록 놀이터 등 아이들과 함께 할 수 있는 예술x놀이 요소를 다양하게 준비했다."
