contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
3061205,12,갈현체육공원,20231128171735,20241121150237,,,,,http://tong.visitkorea.or.kr/cms/resource/37/3001237_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/3001237_image3_1.jpg,Type3,2,2,A02,A0202,A02020700,인천광역시 계양구 황어로 66 (갈현동),,21002,126.7285768374,37.5777207077,6,"인천시 계양구 갈현동에 위치한 갈현체육공원은 인천시와 김포시의 경계에 위치하고 있다. 체육공원이란 이름에 걸맞게 다목적구장과 야구장이 조성되어 있으며 주민들이 체력단련을 할 수 있는 야외 운동기구들이 갖춰져 있다. 
주차장에서 산책로를 따라가다 보면 공원에서 가장 높은 지대에 전망을 볼 수 있는 정자가 있어 계양산과 그 아래 하부도로까지 한눈에 볼 수 있으며, 계양산 해넘이와 경인아라뱃길의 경관까지 볼 수 있다. 정자를 지나 산책로를 걷다 보면 청동기 시대 집터와 통일신라시대의 돌방무덤과 토기가마, 조선시대 무덤 등 공원 조성 사업으로 발굴된 유적들도 들러볼 수 있다."
2767573,12,감중공원,20211103190015,20250318131811,,,,0,http://tong.visitkorea.or.kr/cms/resource/10/3395610_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/10/3395610_image3_1.JPG,Type3,2,7,A02,A0202,A02020700,인천광역시 서구 가정로98번길 18,(가좌동),22838,126.6736203249,37.4932378921,6,"감중공원은 국내 자동차 관련 최대 단지인 인천 서구 가좌동에 위치한 근린공원이다. 아담한 크기의 공원이지만 알차게 시설들이 설치되어 있다. 산업단지 주변에 휴식 공간과 쉼터를 만들어, 인근 직장인들과 주민들이 애용하고 있다. 어르신들이 쉴 수 있는 정자와 다양한 운동시설을 갖춰 놓았고 아이들을 위한 놀이시설도 현대식으로 보수되었다. 체육시설로는 배드민턴장과 농구장이 있다. 분수대는 날씨가 따뜻한 여름철에 가동된다. 편안한 분위기 속에서 휴식을 취할 수 있는 감중공원을 추천한다."
1254680,12,갑곶돈대,20110412020054,20250314100215,,,"<a href=""https://www.ghss.or.kr/user/facilities/tour/gapgot.do"" target=""_blank"" title=""새창 : 강화군시설관리공단 홈페이지로 이동"">https://www.ghss.or.kr/user/main.do</a>",0,http://tong.visitkorea.or.kr/cms/resource/71/3364171_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/3364171_image3_1.jpg,Type3,2,1,A02,A0201,A02010200,인천광역시 강화군 강화읍 해안동로1366번길 18,,23027,126.5171140395,37.7335377029,6,"돈대는 해안가나 접경지역에 돌이나 흙으로 쌓은 소규모 관측·방어시설로, 조선시대 강화도 해안에 돌로 쌓은 돈대 53개가 설치됐다. 갑곶돈대는 1679년 5월에 완성된 48 돈대 가운데 하나이다. 강화 돈대는 황해도·강원도·함경도 승군 8,900명과 어영청 소속 어영군 4,262명이 80일 정도 걸려서 쌓았다. 갑곶돈대는 망해돈대·제승돈대·염주돈대와 함께 제물진의 관할 하에 있었으며, 포좌가 있는 본래의 갑곶돈대는 옛 강화대교 입구 북쪽 언덕에 있었다. 지금 사적으로 지정된 갑곶돈대는 제물진과 강화 외성의 일부이다. 갑곶돈대에서는 강화전쟁박물관, 강화 갑곶리 탱자나무, 홍이포, 이섭정, 비석군 등을 관람할 수 있다.
 
(출처: 강화군시설관리공단 홈페이지)"
2768133,12,갑곶순교성지,20211104194215,20240502111559,,,"<a href=""http://gabgot.com/"" target=""_blank"" title=""새창 : 갑곶순교성지 사이트로 이동"">http://gabgot.com/</a>",0,,,,2,1,A02,A0201,A02010900,인천광역시 강화군 강화읍 해안동로1366번길 35,,23027,126.5174945418,37.7341959658,6,"1866년 프랑스인 성직자 9명을 처형한 책임을 물어 프랑스 함대가 갑곶 돈대로 상륙했다. 이로 인해 강화 지방에서는 혹독한 박해가 시작됐고 갑곶 성지가 보이는 백사장에서 많은 신자가 순교했다. 또 1871년에는 미국 군함에 다녀왔다는 죄로 우윤집, 최순복, 박상손 등이 갑곶 진두에서 순교했다. 후에 천주교 인천 교구는 갑곶 진두의 정확한 위치를 찾아 지금의 갑곶 순교성지를 조성하고 2004년 2월 10일 갑곶 순교성지 첫 미사를 드렸다. 강화도 성지로 일만 위 순교자 현양 동산, 진무영(鎭武營) 순교성지, 관청리 형방이 있으며, 십자가의 길, 순교자 삼위비, 박순집 베드로 묘 등을 순례할 수 있다. 성지순례를 위해서는 홈페이지를 통해 사전 예약해야 한다."
1619788,12,강화 갑곶리 탱자나무,20120501020349,20240617150847,,,"<a href=""https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaCpno=1362300780000&pageNo=1_1_1_1&sngl=Y"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.heritage.go.kr/</a>",0,http://tong.visitkorea.or.kr/cms/resource/80/1579080_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/1579080_image3_1.jpg,Type3,2,1,A01,A0102,A01020100,인천광역시 강화군 강화읍 동문로 119,(강화읍),23022,126.4948543916,37.7541460175,6,"갑곶리에 있는 탱자나무는 사기리에 있는 탱자나무와 함께 천연기념물로 보호되고 있는 보호수이다. 1962년 12월 3일 천연기념물로 지정되었으며 강화군이 관리하고 있다. 수령 400년 정도의 노거수로서 나무의 크기는 높이 4m, 뿌리목 둘레 1m, 2갈래로 갈라진 부분의 가슴높이 지름이 각각 14cm와 10cm 안팎이다. 이곳에 탱자나무를 심게 된 이유는 성벽 밑에 적군을 막기 위함이었다고 전해진다. 탱자나무의 억센 가시가 오늘날의 철조망 역할을 해서 성벽에 붙여 심었다 한다."
125565,12,강화 고인돌 유적 [유네스코 세계유산],20060302090000,20250313165158,,,"<a href=""https://www.ganghwa.go.kr/open_content/tour/tour/tourInfoDetail.do?tour_seq=29&keyword=%EB%B6%80%EA%B7%BC%EB%A6%AC&tourdiv=all"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.ganghwa.go.kr/open_content/tour/</a>",1,http://tong.visitkorea.or.kr/cms/resource/97/3309797_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/3309797_image3_1.jpg,Type3,2,1,A02,A0201,A02010700,인천광역시 강화군 하점면 부근리,,23014,126.4374730037,37.7734344221,6,"고인돌은 청동기시대의 대표적인 무덤으로, 주로 경제력이 있거나 정치권력을 가진 지배층의 무덤으로 알려져 있다. 강화 부근리 고인돌은 길이 710cm, 높이 260cm, 넓이 550cm의 커다란 돌을 사용했으며, 형태는 북방식 고인돌로서 고대사 연구에 좋은 자료가 되고 있다. 2000년 11월 29일 호주 케인즈 제24차 유네스코 세계문화유산위원회에서 고창, 화순의 고인돌과 함께 세계문화유산으로 등재됐다. 강화도 고인돌 유적은 고인돌의 제작 기겁과 선사시대의 다양한 무덤 형태 등에 대해 알 수 있는 공간으로 아이와 함께 역사 여행을 즐기기 좋은 곳이다."
800798,12,강화 달빛동화마을,20090910185833,20250314094916,,,"<a href=""http://xn--bk1bprn6l1nf6nn84v.kr/""target=""_blank"" title=""팜스테이"">http://달빛동화마을.kr/</a>",0,http://tong.visitkorea.or.kr/cms/resource/51/3351651_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/3351651_image3_1.jpg,Type3,2,1,A02,A0203,A02030100,인천광역시 강화군 양도면 강화남로921번길 10-6,,23056,126.4164969660,37.6803032508,6,"강화 달빛동화마을은 인근 진강산과 덕정산, 용천과 삼흥천 등과 어우러져 평화로운 분위기를 자아내는 농촌체험마을이다. 이곳에서는 짚풀 공예, 버섯 수확 체험, 인삼고추장 만들기, 수제 쑥비누 만들기 등 다양한 체험 프로그램을 즐길 수 있다. 또한 3~5월에는 딸기 수확, 6~8월에는 블루베리, 7~9월에는 고추 따기, 10~11월에는 속 노란 고구마 캐기 등 계절별로 체험 활동을 할 수 있다. 아이들과 함께 좋은 추억을 만들 수 있는 자연 친화적인 공간이다."
127185,12,강화 덕진진,20040224090000,20250313165809,,,"<a href=""https://www.ganghwa.go.kr/open_content/tour/tour/tourInfoDetail.do?tour_seq=43"" target=""_blank"" title=""새창 : 강화군 문화관광 홈페이지로 이동"">https://www.ganghwa.go.kr</a>",0,http://tong.visitkorea.or.kr/cms/resource/91/3307391_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3307391_image3_1.jpg,Type3,2,1,A02,A0201,A02010200,인천광역시 강화군 불은면 덕진로 31-9,,23047,126.5256656119,37.6492060173,6,"고려시대에 강화해협을 지키던 외성의 요충지이다. 병자호란 뒤 강화도를 보호하기 위한 방법으로 내성·외성·돈대·진보 등의 12 진보를 만들었는데 그중의 하나이다. 현종 7년(1666) 국방력 강화를 위해 해군주둔지(수영)에 속해 있던 덕진진을 덕포로 옮겼으며, 숙종 5년(1679)에 용두돈대와 덕진돈대를 거느리고 덕진포대와 남장포대를 관할함으로써 강화해협에서 가장 강력한 포대로 알려져 있었고, 강화 12 진보 가운데 가장 중요한 곳을 지키고 있었다. 1866년 병인양요 때는 양헌수의 군대가 덕진진을 거쳐 정족산성으로 들어가 프랑스 군대를 격파하였으며, 1871년 신미양요 때는 미국 함대와 가장 치열한 포격전을 벌인 곳이다. 그러나 초지진에 상륙한 미국군대에 의하여 점령당하였다. 이때 건물에 몸을 숨겨서 적과 싸울 수 있도록 쌓았던 낮은 담은 모두 파괴되었다. 1976년 성곽과 돈대를 고치고 남장포대도 고쳐 쌓았으며, 앞면 3칸·옆면 2칸의 문의 누각도 다시 세웠고, 당시의 대포를 복원하여 설치하였다.

(출처 : 국가유산청)"
127291,12,강화 동막해변,20060302090000,20241209141526,,,"<a href=""https://www.ganghwa.go.kr/open_content/tour/tour/tourInfoDetail.do?tour_seq=111&tourdiv=beach_park"" target=""_blank"" title=""새창 : 강화군 문화관광 홈페이지로 이동"">https://www.ganghwa.go.kr</a>",0,http://tong.visitkorea.or.kr/cms/resource/87/1577287_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/1577287_image3_1.jpg,Type3,2,1,A01,A0101,A01011200,인천광역시 강화군 화도면 해안남로 1481,,23062,126.4570623331,37.5932918804,6,"강화에서 가장 큰 모래톱을 자랑하는 동막해변은 세계 5대 갯벌 중 하나로 꼽힐 만큼 갯벌 체험을 하기에 좋은 곳이다. 동막 해변은 백사장과 울창한 소나무 숲으로 둘러싸여 천혜의 자연경관을 자랑하고 있다. 밀물 시에는 해수욕을 즐길 수 있고, 썰물 시에는 갯벌에 사는 여러 가지 생물들을 관찰할 수 있다. 물이 빠지면 끝없이 펼쳐진 갯벌이 드러나면서  칠게, 가무락, 쌀무늬고둥, 갯지렁이 등 다양한 바다 생물들을 관찰할 수 있어 가족단위의 여름 휴양지로 널리 알려져 있다. 
해변 한쪽으로는 ‘저어새 보러 가는 길’이라는 해안 산책로가 조성되어 있다. 저어새는 세계적인 멸종 위기종으로 천연기념물로 지정해 보호하고 있는데 강화 갯벌에서 번식지가 발견된 바 있다. 강화 갯벌 및 저어새 번식지는 천연기념물로 지정됐다."
128817,12,강화 사기리 탱자나무,20060308090000,20250314141901,,강화군청,"<a href=""https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaCpno=1362300790000&pageNo=1_1_1_1&sngl=Y"" target=""_blank"" title=""새창 : 국가유산청홈페이지로 이동"">https://www.khs.go.kr/main.html</a>",0,http://tong.visitkorea.or.kr/cms/resource/33/3383833_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/33/3383833_image3_1.JPG,Type3,2,1,A01,A0102,A01020100,인천광역시 강화군 화도면 해안남로1114번길 6,,23059,126.4567228313,37.6165030596,6,"탱자나무는 주로 영·호남지방에 분포하며 일본과 중국에서도 자란다. 우리나라와 일본의 나무는 중국에서 전래된 것으로 추측되고 있다. 열매와 껍질은 약재로 사용되며 줄기에 가시가 나 있어 과수원 울타리용으로 적합하다. 강화 사기리 탱자나무의 나이는 약 400살 정도로 추정되며, 나무 높이는 4.7m, 뿌리목 부분 둘레 2.2m이다. 강화도는 고려 고종(재위 1213∼1259)이 몽고의 침입을 피해 있었던 곳이며, 조선 인조(재위 1623∼1649)도 정묘호란(1627) 때 난을 피했던 장소이다. 이때 외적을 막는 수단으로 강화도에 성을 쌓고, 성 바깥쪽에 탱자나무를 심어서 외적이 쉽게 접근하지 못하도록 했다고 한다. 이 탱자나무는 그때 심은 것이 살아남은 것으로 추측된다. 강화 사기리 탱자나무는 우리 조상들이 외적의 침입에 대비하여 심은 국토방위의 유물로서 역사성을 지니고 있으며, 탱자나무가 자랄 수 있는 가장 북쪽 한계선인 강화도에 자리하고 있어 천연기념물로 지정·보호하고 있다. 

(출처 : 국가유산청)"
