contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
130105,14,가천박물관,20060724090000,20240617162754,032-833-4747,가천박물관,"<a href=""https://www.gachonmuseum.or.kr/"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.gachonmuseum.or.kr/</a>",0,,,,2,8,A02,A0206,A02060100,인천광역시 연수구 청량로102번길 40-9,,21942,126.6576044255,37.4182241030,6,"가천박물관은 1995년 10월 문을 연 가천문화재단 부속 박물관으로, 국내 사립박물관 가운데 77번째로 등록된 박물관이다. 가천박물관은 우리나라의 의료생활사와 삼국시대 의료기부터 근현대의 의료기 자료를 한눈에 볼 수 있다.
1층은 의학사료관, 2층은 국보‧보물관과 창간호실로 운영 중이다. 박물관 안에는 여러 국가지정문화재를 소장, 전시하고 있다. 대표적인 소장물은 인천 유일의 국보인 [초조본유가사지론 권 제53]이다. 이 소장물은 고려시대 대표적인 불교문화재 가운데 하나로, 불력을 이용해 거란군의 침입을 물리치려 했던 조상들의 정성을 엿볼 수 있는 문화재다. 우리나라에 자생하는 약초를 집대성한 향약집성방의 기초가 되는 [향약제집성방]과 중국에서 전해오는 한의학서를 우리나라 실정에 맞게 편찬한 전문 의학서인 [태산요록] 등 귀중한 보물 13점도 이곳에 소장되어 있다. 이 밖에도 의학 전문 박물관으로 면모를 갖추기 위해 일반 고서 5,200점과 의료, 생활 유물 1,000여점, 근대정부기록 외 국내 최다 소장 창간호 등 2만여 점의 자료를 소장하고 있다. 
교육 프로그램으로는 박물관 길위의 인문학, 향낭 만들기, 차 예절 체험, 국보-보물 인경 체험이 있다. 
인근에는 인천상륙작전 기념관과 인천광역시립 박물관 등이 위치한다."
130733,14,강화 화문석 문화관,20060220090000,20240603165202,,,"<a href=""http://www.ghss.or.kr/"" target=""_blank"" title=""새창 : 강화군시설관리공단 홈페이지로 이동"">http://www.ghss.or.kr</a>",0,,,,2,1,A02,A0206,A02060300,인천광역시 강화군 송해면 장정양오길 413,,23013,126.4547735697,37.7957598993,6,"2005년 개관한 강화화문석문화관은 화문석과 관련한 다양한 자료를 전시하고 있다. 화문석은 여러 색으로 물들인 왕골을 가지고 꽃무늬 등을 놓아 짠 돗자리로 강화도의 특산물이다. 화문석문화관은 1층에는 체험장과 작업장, 2층에는 전시실로 전시실은 짚과 인간, 완초 재배와 가공, 화문석 제작, 화문석 역사와 문화라는 주제로 구성되어 있다. 고려의 수도였던 강화도 시대부터 조선에 이르기까지 왕실과 상류층을 위한 화문석의 제작 역사를 살펴볼 수 있다. 화문석의 재료가 되는 왕골에 대한 다양한 정보와 화문석 직조 방법 등이 모형으로 전시돼 볼거리를 제공한다. 다채로운 크기와 문양의 화문석을 감상할 수 있으며 현지 공예인들과 함께 왕골 공예품을 만드는 체험 프로그램도 있다."
130219,14,강화문예회관,20071106104721,20241202141901,,,"<a href=""https://www.ghss.or.kr/user/welfare/literature/literature.do"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.ghss.or.kr</a>",0,http://tong.visitkorea.or.kr/cms/resource/82/3350582_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/82/3350582_image3_1.JPG,Type3,2,1,A02,A0206,A02060600,인천광역시 강화군 강화읍 고비고개로19번길 12,,23028,126.4746009394,37.7453439098,6,"1991년 12월에 건립된 강화문예회관은 강화읍의 공설운동장 내에 있으며 연면적 4,056㎡에 지층, 지상 1층, 지상 3층으로 건립되었다. 문예회관을 중심으로 각종 공식 행사는 물론 문화공연과 체육행사 등 꾸준히 개최되고 있으며, 최근에는 문화의 집을 개관함으로써 청소년들의 이용이 급증하고 있다. 새로운 종합 문화공간으로서 지역 문화 발전을 위해 대표적인 문화시설로 자리매김 중인 문예회관의 주요 시설을 살펴보면 지층에는 식당과 기계실이 있고 1층에는 수용인원 1,300명의 대공연장이 있으며 대규모 문화행사는 대공연장에서 주로 이루어진다."
2657498,14,강화문학관,20200526200600,20241210160000,,,"<a href=""http://www.ganghwa.go.kr/open_content/museum_literature"" target=""_blank"" title=""새창 : 강화자연사박물관 홈페이지로 이동"">http://www.ganghwa.go.kr/</a>",0,http://tong.visitkorea.or.kr/cms/resource/14/3350514_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/14/3350514_image3_1.JPG,Type3,2,1,A02,A0206,A02060200,인천광역시 강화군 강화읍 관청길 40,,23030,126.4855887017,37.7496074946,6,"강화문학관은 인천광역시 강화군에 있는 문학관이다. 이곳은 강화 출신의 수필가 故 조경희 선생의 유지에 의해 건립되었다. 조경희 선생이 강화군에 기증한 소장품 8,000여 점이 보관되어 있다. 강화문학관은 1층의 전시실과 2층의 조경희 수필 문학관으로 이루어져 있다.
1층 전시실에는 한국 문학사에 이름을 남긴 이규보, 정철, 정제두 등 강화도와 관련이 있는 옛 문인들의 작품들을 소개하고 있으며, 2층 수필 문학관에는 조경희 선생의 육필원고와 생전에 사용하던 책상, 안경 등과 미술품 40여 점의 유품을 전시하고 있다.
강화문학관은 다양한 문학 교실과 문학 강좌를 개설·운용하고 있으며, 앞으로도 문예 창작 교육의 장으로 지역 문학의 활성화를 위해 노력하고 있다."
129867,14,강화문화원(강화미술관),20071106103340,20241202123925,,,"<a href=""https://iq.ifac.or.kr/artPlace/view.do?placeSn=233&placeGbn=PLACE004&sc_placeGbn=PLACE004&pageIndex=1&key=m2102173966264&sc_gu=&sc=PLACE_NM&sw=%EA%B0%95%ED%99%94%EB%AC%B8%ED%99%94%EC%9B%90#none"" target=""_blank"" title=""새창 : 인천문화정보 홈페이지로 이동"">https://iq.ifac.or.kr</a>",0,http://tong.visitkorea.or.kr/cms/resource/36/1895136_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/1895136_image3_1.jpg,Type3,2,1,A02,A0206,A02060700,인천광역시 강화군 강화읍 남문로 52,,23037,126.4879775686,37.7425639138,6,"강화군청 남쪽에 자리한 강화문화원은 1947년 개관한 한국 최초의 문화원으로, 강화도 향토 문화를 연구하고 발전시키기 위해 설립되었다. 강화와 인연이 있는 작가들의 전시를 선보이고 강화 예술인들의 교류하는 장으로서 그 역할을 톡톡히 하고 있다. 문화원이 운영하는 강화문화학교는 요일별로 서예와 캘리그라피, 가야금, 클래식 기타 등 다양한 문화 강좌를 열어 강화군민들의 문화센터 역할을 담당하고 있다."
129810,14,강화역사박물관,20071106103126,20250314130638,,,"강화역사박물관 <a href=""http://www.ganghwa.go.kr/open_content/museum_history"" target=""_blank"" title=""새창 : 강화역사박물관 홈페이지로 이동"">http://www.ganghwa.go.kr</a>",0,http://tong.visitkorea.or.kr/cms/resource/21/3383821_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/21/3383821_image3_1.JPG,Type3,2,1,A02,A0206,A02060100,인천광역시 강화군 하점면 강화대로 994-19,,23014,126.4352815292,37.7737399035,6,"강화역사박물관은 강화의 문화유산을 보존·연구하여 전시할 목적으로 세워진 공립박물관으로 갑곶돈대 옆에 있었던 것을 2010년 지금의 자리로 이전했다. 상설전시실, 기획전시실을 비롯하여 영상실 등 다양한 부대시설을 갖추고 있다. 상설전시실에는 강화의 선사유적지와 고려왕릉에서 출토된 유물과 향교, 전통 사찰 소장품 등의 문화재가 전시되어 있고, 기획전시실에서는 해마다 다채로운 주제의 특별전이 열린다. 강화 역사의 이해를 돕기 위해 영상실과 교육프로그램을 함께 운영하고 있어 복합문화공간으로서 역할을 다하고 있다. 강화역사박물관은 고인돌공원 옆에 자리 잡고 있어 세계문화유산으로 지정된 강화고인돌과 길이 710cm, 너비 550cm 되는 거석인 청동기시대의 대표적 유물인 강화지석묘를 볼 수 있다."
2523291,14,강화자연사박물관,20171218225634,20250313162345,,,"<a href=""http://www.ganghwa.go.kr/open_content/museum_natural/"" target=""_blank"" title=""새창 : 강화자연사박물관 홈페이지로 이동"">http://www.ganghwa.go.kr/</a>",0,http://tong.visitkorea.or.kr/cms/resource/19/3303819_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3303819_image3_1.jpg,Type3,2,1,A02,A0206,A02060100,인천광역시 강화군 하점면 강화대로 994-33,,23014,126.4347315543,37.7746508985,6,"강화자연사박물관은 산업화 도시화로 오염되어 가는 환경에 대한 소중함을 일깨우고 자연과 생명에 대한 올바른 인식을 세우는데 도움이 되고자 2015년에 개관하였다. 강화자연사박물관은 수집 및 연구, 전시를 통해 자연의 신비를 체험하고 학습할 수 있는 공간으로,  우리가 사는 지구가 속한 태양계의 탄생에서 지구를 구성하고 있는 다양한 광물, 생물들을 각각의 특별한 주제로 나누어 전시하고 있다. 이를 통해 박물관을 방문하는 관람객들이 자연보존과 생명의 중요성을 다시 한번 생각하게 하며, 자연과학에 대해 이해를 높일 수 있도록 한다. 세계문화유산인 강화고인돌유적지 부근에 위치해 있어 고인돌과 함께 관람하기 좋다."
2657495,14,강화전쟁박물관,20200526195909,20240607141154,,,"<a href=""http://www.ganghwa.go.kr/open_content/museum_war"" target=""_blank"" title=""새창 : 강화자연사박물관 홈페이지로 이동"">http://www.ganghwa.go.kr/</a>",0,,,,2,1,A02,A0206,A02060100,인천광역시 강화군 강화읍 해안동로1366번길 18,,23027,126.5160613555,37.7336321177,6,"강화전쟁박물관은 강화에서 일어난 전쟁과 관련한 유물을 전시하고 있다. 강화도는 지정학적 위치 때문에 항쟁의 역사가 많은 곳이다. 선사시대부터 근현대에 이르기까지 강화에서 일어난 각종 전쟁 유물 120점을 전시하고 있다. 총 4개의 주제로 구성된 전시관에서 제1전시실은 선사시대부터 삼국시대 주제관으로, 돌화살촉, 고리자루칼 등을 전시하고 있고, 제2전시실은 고려시대의 철제은입사투구, 철투구, 철도자 등을 전시하고 있다. 제3전시실에서는 신미양요 때 어재연 장군이 광성보에 걸고 싸웠던 깃발인 수자기와 면제갑옷 등을 볼 수 있다. 제4전시실에는 조선시대 주력 화포인 불랑기포, 항일 의병들이 사용한 화승총 등 근현대 유물이 전시돼 있다. 이 밖에도 항일 의병을 체험하는 코너와 포토존도 있다."
3340253,14,강화천문과학관,20240730162202,20250313155223,,,"<a href=""https://www.ganghwa.go.kr/star/"" target=""_blank"" title=""새창 : 강화천문과학관 홈페이지로 이동"">https://www.ganghwa.go.kr/star/</a>",,http://tong.visitkorea.or.kr/cms/resource/32/3340232_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/3340232_image3_1.jpg,Type3,2,1,A02,A0206,A02060300,인천광역시 강화군 하점면 강화서로 915-1,,23015,126.3908883872,37.7735030392,6,"강화천문과학관은 1945년 개교하여 2000년 폐교한 옛 강후초등학교 건물을 리모델링하여 탄생하였다. 마을 어린이들의 꿈과 희망이 자라나던 학교에서 모두의 우주 상상력을 더하는 과학관으로 탈바꿈하였다. 어린아이들에게는 우주에 대한 호기심과 상상력을 무한으로 자극해 주며 어른들에게는 최고의 야간관광 명소로 자리 잡고 있다. 강화천문과학관에서 가장 중요한 주관측실에서는 망원경으로 성단과 성운들, 외부 은하들을 관측할 수 있다."
130290,14,계양문화회관,20071106105043,20240611135629,,,"계양문화회관 <a href=""http://www.gysiseol.or.kr/culturebuilding/
"" target=""_blank"" title=""새창 : 계양문화회관 홈페이지로 이동"">http://www.gysiseol.or.kr/culturebuilding</a>",0,http://tong.visitkorea.or.kr/cms/resource/09/1577309_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/1577309_image3_1.jpg,Type3,2,2,A02,A0206,A02060600,인천광역시 계양구 계양산로35번길 11,(계산동),21042,126.7181286785,37.5460492061,6,"인천광역시 계양구 계양산로에 자리하고 있는 계양문화회관은 총 795석을 갖춘 공연장, 연습실, 생활문화센터 등으로 구성되어 있다. 
외부 유수의 교향악단이 참여하는 클래식 공연부터 뮤지컬, 연극, 아트 공연까지 다양한 장르의 공연을 볼 수 있으며, 계양문화회관 소속 교향악단, 소년소녀합창단, 여성합창단, 풍물단 등 구민들이 참여하는 공연도 가까운 곳에서 관람할 수 있는 다양한 공간으로 활용되고 있다.
이 밖에도 댄스스포츠, 웰빙댄스, 한국무용, 서예 교실, 바리스타 등 다양한 강좌도 함께 운영하고 있어 원하는 구민이라면 누구나 참여할 수 있다."
