addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
서울특별시 구로구 공원로 15 시립구로도서관,,1,0.0,A02,A0206,A02060900,130771,14,20060300000000.0,,,,126.8918614,37.49859948,6.0,20241100000000.0,7,,서울특별시교육청 구로도서관,8298
서울특별시 동작구 장승배기로 94,(노량진동),1,0.0,A02,A0206,A02060900,130770,14,20060300000000.0,,,,126.9405206,37.50593283,6.0,20240400000000.0,12,,서울특별시교육청 동작도서관,6925
서울특별시 양천구 목동서로 113,(목동),1,0.0,A02,A0206,A02060900,130769,14,20060300000000.0,http://tong.visitkorea.or.kr/cms/resource/73/1807873_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/1807873_image3_1.jpg,Type3,126.8762257,37.53354792,6.0,20240900000000.0,19,,서울특별시교육청 양천도서관,7988
서울특별시 서대문구 모래내로 412,(연희동),1,0.0,A02,A0206,A02060900,130767,14,20060300000000.0,,,,126.9408851,37.58330996,6.0,20241200000000.0,14,,서울특별시교육청 서대문도서관,3717
서울특별시 송파구 동남로 263 송파도서관,,1,0.0,A02,A0206,A02060900,130765,14,20060300000000.0,http://tong.visitkorea.or.kr/cms/resource/22/1895022_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/1895022_image3_1.jpg,Type3,127.134867,37.50004811,6.0,20241200000000.0,18,,서울특별시교육청 송파도서관,5725
서울특별시 구로구 고척로45길 31,(고척동),1,0.0,A02,A0206,A02060900,130764,14,20060300000000.0,,,,126.8530397,37.50535633,6.0,20241100000000.0,7,,서울특별시교육청 고척도서관,8239
서울특별시 도봉구 삼양로 556,(쌍문동),1,0.0,A02,A0206,A02060900,130763,14,20060600000000.0,,,,127.0127432,37.65253375,6.0,20241200000000.0,10,,서울특별시교육청 도봉도서관,1368
서울특별시 노원구 동일로204길 13,,1,0.0,A02,A0206,A02060900,130761,14,20060300000000.0,,,,127.0677941,37.63951126,6.0,20241100000000.0,9,,서울특별시교육청 노원평생학습관,1783
서울특별시 종로구 사직로9길 15-14,(사직동),1,0.0,A02,A0206,A02060900,130759,14,20060300000000.0,http://tong.visitkorea.or.kr/cms/resource/82/2023282_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2023282_image3_1.jpg,Type3,126.9664385,37.57643621,6.0,20241100000000.0,23,,서울특별시교육청 종로도서관,3027
서울특별시 광진구 능동로 76,(자양동),1,0.0,A02,A0206,A02060600,130699,14,20051200000000.0,http://tong.visitkorea.or.kr/cms/resource/91/1570791_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/1570791_image3_1.jpg,Type3,127.0704301,37.53740928,6.0,20241000000000.0,6,,나루아트센터,5065
서울특별시 중구 퇴계로 387,,1,0.0,A02,A0206,A02060600,130695,14,20051200000000.0,http://tong.visitkorea.or.kr/cms/resource/25/3467525_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/3467525_image3_1.jpg,Type3,127.0148011,37.56556612,6.0,20250100000000.0,24,,충무아트센터,4569
서울특별시 종로구 북촌로5나길 2 (화동),,1,0.0,A02,A0206,A02060100,130688,14,20051100000000.0,http://tong.visitkorea.or.kr/cms/resource/90/933690_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/933690_image3_1.jpg,Type3,126.9818203,37.5810304,6.0,20250100000000.0,23,,세계장신구박물관,3053
서울특별시 종로구 북촌로5길 48,(화동),1,0.0,A02,A0206,A02060100,130678,14,20070900000000.0,http://tong.visitkorea.or.kr/cms/resource/69/1568469_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/1568469_image3_1.jpg,Type3,126.9832369,37.57976113,6.0,20250400000000.0,23,,서울교육박물관,3055
서울특별시 성동구 청계천로 530 (마장동),,1,0.0,A02,A0206,A02060100,130658,14,20050900000000.0,,,,127.0350574,37.5713186,6.0,20250300000000.0,16,,청계천박물관,4704
서울특별시 종로구 인사동길 19-11,,1,0.0,A02,A0206,A02060100,130648,14,20050700000000.0,http://tong.visitkorea.or.kr/cms/resource/57/951357_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/951357_image3_1.jpg,Type3,126.9858591,37.57236481,6.0,20241200000000.0,23,,아름다운 차박물관,3162
서울특별시 종로구 인사동길 44 (관훈동),지하1층 하나아트갤러리,1,0.0,A02,A0206,A02060500,130645,14,20050600000000.0,http://tong.visitkorea.or.kr/cms/resource/54/682454_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/682454_image3_1.jpg,Type3,126.9848674,37.57430624,6.0,20241100000000.0,23,,하나아트갤러리,3146
서울특별시 종로구 새문안로 68,(신문로1가),1,0.0,A02,A0206,A02060500,130640,14,20060600000000.0,http://tong.visitkorea.or.kr/cms/resource/07/1895007_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/1895007_image3_1.jpg,Type3,126.9721604,37.56961766,6.0,20241100000000.0,23,,세화미술관,3184
서울특별시 용산구 소월로44길 7 어반아트,,1,0.0,A02,A0206,A02060500,130637,14,20050600000000.0,http://tong.visitkorea.or.kr/cms/resource/34/2565934_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/34/2565934_image3_1.bmp,Type3,126.9927954,37.54248785,6.0,20241200000000.0,21,,어반아트,4344
서울특별시 종로구 삼청로7길 25,,1,0.0,A02,A0206,A02060500,130636,14,20050600000000.0,http://tong.visitkorea.or.kr/cms/resource/59/3414059_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/3414059_image3_1.jpg,Type3,126.9804454,37.58380783,6.0,20241100000000.0,23,,아트파크,3054
서울특별시 용산구 이태원로27길 77,(이태원동),1,0.0,A02,A0206,A02060500,130630,14,20050600000000.0,http://tong.visitkorea.or.kr/cms/resource/39/1865339_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1865339_image3_1.jpg,Type3,126.9948593,37.53651081,6.0,20250300000000.0,21,,백해영갤러리,4349
