addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
서울특별시 종로구 백석동길 153,,1,,A05,A0502,A05020900,2836148,39,20220800000000.0,http://tong.visitkorea.or.kr/cms/resource/43/2836143_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2836143_image3_1.jpg,Type3,126.9679823,37.59547569,6.0,20240200000000.0,23,,산모퉁이,3020
서울특별시 종로구 진흥로 455,,1,,A05,A0502,A05020100,2836141,39,20220800000000.0,http://tong.visitkorea.or.kr/cms/resource/34/2836134_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2836134_image3_1.jpg,Type3,126.9589189,37.6072325,6.0,20240100000000.0,23,,구기동오면,3007
서울특별시 은평구 대서문길 43-16,,1,,A05,A0502,A05020100,2836111,39,20220800000000.0,http://tong.visitkorea.or.kr/cms/resource/06/2836106_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2836106_image3_1.jpg,Type3,126.9492545,37.65618774,6.0,20240100000000.0,22,,산들애건강밥상,3307
서울특별시 용산구 독서당로 124-7 태흥영화주식회사,,1,,A05,A0502,A05020400,2836098,39,20220800000000.0,http://tong.visitkorea.or.kr/cms/resource/93/2836093_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2836093_image3_1.jpg,Type3,127.0128076,37.53753879,6.0,20240600000000.0,21,,쥬에,4420
서울특별시 용산구 이태원로 240,"3,4,5층",1,,A05,A0502,A05020900,2836080,39,20220800000000.0,http://tong.visitkorea.or.kr/cms/resource/76/2836076_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2836076_image3_1.jpg,Type3,127.0001782,37.53616094,6.0,20240100000000.0,21,,앤트러사이트 한남점,4400
서울특별시 용산구 한강대로80길 17,,1,,A05,A0502,A05020100,2836064,39,20220800000000.0,http://tong.visitkorea.or.kr/cms/resource/53/2836053_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2836053_image3_1.jpg,Type3,126.9737916,37.54280136,6.0,20240200000000.0,21,,남영돈,4352
서울특별시 성동구 아차산로9길 8,,1,,A05,A0502,A05020900,2835889,39,20220800000000.0,http://tong.visitkorea.or.kr/cms/resource/78/2835878_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2835878_image3_1.jpg,Type3,127.0581338,37.54483875,6.0,20240100000000.0,16,,어니언 성수,4797
서울특별시 성동구 연무장5길 20,,1,,A05,A0502,A05020900,2835871,39,20220800000000.0,http://tong.visitkorea.or.kr/cms/resource/54/2835854_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2835854_image3_1.jpg,Type3,127.0532593,37.54488311,6.0,20240200000000.0,16,,Scene,4782
서울특별시 강서구 공항대로71길 5,,1,,A05,A0502,A05020100,2835842,39,20220800000000.0,http://tong.visitkorea.or.kr/cms/resource/37/2835837_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2835837_image3_1.jpg,Type3,126.8717368,37.5478795,6.0,20250200000000.0,4,,유림,7559
서울특별시 중랑구 망우로 353 상봉 프레미어스 엠코,C동 지하1층,1,,A05,A0502,A05020100,2835826,39,20220800000000.0,http://tong.visitkorea.or.kr/cms/resource/13/2835813_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2835813_image3_1.jpg,Type3,127.0913376,37.59813871,6.0,20240100000000.0,25,,더아너스,2087
